titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image
Sabotage,2023-07-26,Drame,104.0,Daniel Goldhaber,Tandem,"Ariela Barer,Kristine Frøseth,Lukas Gage",U.S.A.,Anglais,Long-métrage,2023,20,"Face à l’urgence écologique, un groupe de jeunes activistes se fixe une mission périlleuse : saboter un pipeline qui achemine du pétrole dans tous les Etats-Unis. Car parfois, le seul moyen d’être entendu est de passer à l’action.",306923,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/15/11/0970773.jpg
La Vache qui chantait le futur,2023-07-26,Drame,98.0,Francisca Alegría,Nour Films,"Léonor Varela,Mia Maestro,Alfredo Castro",Chili,Espagnol,Long-métrage,2022,7,"Cecilia, chirurgienne à la ville, doit revenir précipitamment avec ses deux enfants à la ferme familiale où vivent son père et son frère dans le sud du Chili. Au même moment, des dizaines de vaches sont frappées d’un mal mortel et la mère de Cecilia, disparue depuis plusieurs années, réapparaît.",299331,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/29/18/47/5197077.jpg
Les Déguns 2,2023-07-26,Comédie,88.0,Cyrille Droux,Apollo Films,"Karim Jebli,Nordine Salhi,Sofiane Zermani",France,Français,Long-métrage,2023,59,"Après leurs déboires et leurs aventures du premier opus, Nordine Salhi et Karim Jeb alias Karim et Nono reviennent plus en forme et plus déterminés que jamais et continuent leur quête de succès par tous les moyens. Après un premier échec cuisant dans l’univers de la télé-réalité, les deux acolytes décident de se lancer dans le rap. Dans sa recherche du succès musical, Karim, alias Nécrophile, aidé de son manager Nono, ne cesse d’accumuler des tentatives ratées. Une opportunité vers la célébrité est saisie, mais tout ne se passe pas comme prévu, et les mésaventures vont s'enchaîner pour les deux protagonistes.",308779,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/22/15/30/1276000.jpg
Les Damnés ne pleurent pas,2023-07-26,Drame,111.0,Fyzal Boulifa,New Story,"Aïcha Tebbae,Abdellah El Hajjouji,Antoine Reinartz",France,"Français, Arabe",Long-métrage,2022,9,"Fatima-Zahra traîne son fils de 17 ans, Selim, de ville en ville, fuyant les scandales qui éclatent sur sa route. Quand Selim découvre la vérité sur leur passé, Fatima-Zahra lui promet un nouveau départ. Ils arrivent alors à Tanger, où de nouvelles rencontres leur donnent l’espoir d’atteindre la légitimité qu’ils recherchent tant. Mais ces aspirations menacent la relation fusionnelle qui les lie depuis toujours.",306744,https://fr.web.img4.acsta.net/c_310_420/pictures/23/06/27/14/59/0529508.jpg
Sur la branche,2023-07-26,Comédie,91.0,Marie Garel-Weiss,Pyramide Distribution,"Daphne Patakia,Benoît Poelvoorde,Agnès Jaoui",France,Français,Long-métrage,2023,18,"Mimi a presque trente ans et rêve toujours à ce qu'elle pourrait faire quand elle sera grande. Alors qu'elle se décide à chercher du travail, elle fait la connaissance de Paul, un avocat sur la touche. Ensemble ils vont tenter de défendre Christophe, un petit arnaqueur qui clame son innocence. Si Paul voit dans cette affaire un moyen de se refaire, Mimi y voit, elle, une mission, un chemin vers la justice et la vérité.",302134,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/14/14/03/1885759.jpg
Un hiver en été,2023-07-26,Drame,110.0,Laetitia Masson,Jour2fête,"Benjamin Biolay,Élodie Bouchez,Judith Chemla",France,Français,Long-métrage,2022,13,"Dix personnages surpris par un froid glacial en plein été. Des rencontres, de la solitude, de l’espoir, de la peur, de l’amour, une chanson, la lutte des classes, et des rêves. Dix fragments d’humanité qui forment un tableau impressionniste de la France, aujourd’hui. Un hommage aux Nymphéas.",284499,https://fr.web.img5.acsta.net/c_310_420/pictures/23/04/27/15/34/4316060.jpg
Juniors,2023-07-26,Comédie,95.0,Hugo P. Thomas,The Jokers / Les Bookmakers,"Vanessa Paradis,Ewan Bourdelles,Noah Zandouche",France,Français,Long-métrage,2023,13,"Jordan, 14 ans, s’ennuie dans le petit village de Mornas. Sa mère infirmière étant souvent absente, il s’occupe avec son meilleur ami Patrick en jouant à leur console affectueusement nommée Jessica. Mais lorsque Jessica rend l’âme, Jordan décide de simuler une maladie et de monter une cagnotte en ligne pour s’en racheter une. Quand ce mensonge se propage dans la cour du collège, les regards se tournent enfin vers eux. Un début de popularité qui mettra leur amitié indéfectible à rude épreuve...",291283,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/29/14/46/1069982.jpg
Le Manoir hanté,2023-07-26,Aventure,122.0,Justin Simien,The Walt Disney Company France,"Rosario Dawson,Lakeith Stanfield,Tiffany Haddish",U.S.A.,Anglais,Long-métrage,2023,17,"Inspiré de l’attraction mythique des parcs Disneyland, LE MANOIR HANTÉ raconte l’histoire d’une mère et son fils qui engagent une équipe de pseudo-experts pour les aider à chasser les différents spectres et fantômes qui hantent leur maison.",183693,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/17/14/45/5710121.jpg
Paint,2023-07-31,Comédie,96.0,Brit McAdams,-,"Owen Wilson,Stephen Root,Wendi McLendon-Covey",U.S.A.,Anglais,Long-métrage,2023,4,Carl Nargle présente depuis 27 ans une émission sur la peinture jusqu'à ce que la chaîne engage un peintre plus jeune et meilleur qui vole tout et tous ceux que Carl aime.,292161,https://fr.web.img5.acsta.net/c_310_420/pictures/23/03/07/10/21/4538648.jpg
Pour le meilleur et pour le pire,2023-07-31,Comédie,96.0,John Schultz,United International Pictures (UIP)," Cedric The Entertainer,Mike Epps,Regina Hall",U.S.A.,Anglais,Long-métrage,2005,3,"Un chauffeur de bus new-yorkais, Ralph Kramden, rêve de devenir riche et invente toujours des procédés ridicules pour gagner de l'argent rapidement, dans lesquel il entraîne son meilleur ami Ed Norton...",58180,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/54/69/18412316.jpg
The Cursed,2023-08-02,Epouvante-horreur,113.0,Sean Ellis,-,"Boyd Holbrook,Kelly Reilly,Alistair Petrie",Grande-Bretagne,Anglais,Long-métrage,2021,18,"XIXe siècle, dans la campagne française. John McBride doit déterminer si le cadavre d'un adolescent de quatorze ans, retrouvé dans les bois, est l'oeuvre d'un homme ou d'une bête. Il est hebergé par un riche propriétaire terrien, Seamus Laurent et sa femme, Isabelle. Eux-mêmes sont désemparés car leur fils, un ami de la victime, a disparu depuis deux semaines. Isabelle va trouver du réconfort dans les bras de John tandis que ce dernier va devoir affronter les horreurs de son passé.",273323,https://fr.web.img2.acsta.net/c_310_420/pictures/22/01/31/11/19/5469261.jpg
The Machine,2023-08-02,Action,112.0,Peter Atencio,-,"Bert Kreischer,Mark Hamill,Jimmy Tatro",U.S.A.,Anglais,Long-métrage,2023,3,"Inspiré des aventures réelles de Bert Kreischer et de son numéro de stand-up ""The Machine"", qui a été vu plus de 85 millions de fois. Le passé d'ivrogne de Bert le rattrape 20 ans plus tard, lorsque son père et lui sont kidnappés par ceux que Bert a trompés il y a 20 ans, alors qu'il était ivre pendant un semestre universitaire en Russie.",291999,https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/28/09/00/3721584.jpg
Kandahar,2023-08-03,Action,119.0,Ric Roman Waugh,-,"Gerard Butler,Navid Negahban,Travis Fimmel",U.S.A.,Anglais,Long-métrage,2023,14,"Tom Harris est un agent secret de la CIA infiltré au Moyen-Orient. Une fuite des renseignements révèle son identité alors qu’il est en mission. Coincés au cœur d’un territoire hostile, Harris et son interprète afghan Kahil, doivent se frayer un chemin hors du désert jusqu’à Kandahar, leur point d’exfiltration, tout en échappant aux forces spéciales d’élite qui les pourchassent. La course contre la montre commence.",284784,https://fr.web.img5.acsta.net/c_310_420/pictures/23/04/24/10/35/2719620.jpg
