acteurs,annee_production,date,description,distributeur,duree,film_id_allocine,genre,image,langue_d_origine,nationalites,realisateur,titre,type_film
"Xolo Maridueña,Bruna Marquezine,Susan Sarandon",2023,2023-08-16,"Jaime Reyes est un jeune plein d’ambition. Alors qu’il rentre de l’université, le Scarabée, une ancienne relique d’une biotechnologie extraterrestre choisit de faire de lui son hôte. Ce dernier se voit alors revêtu d’une armure hors du commun qui lui octroie des pouvoirs extraordinaires – et imprévisibles. Tout bascule alors pour Jaime qui devient le super-héros Blue Beetle…",Warner Bros. France,127,270074,Action_Aventure_Fantastique,https://fr.web.img3.acsta.net/c_310_420/pictures/22/12/08/13/02/0696232.jpg,Anglais,U.S.A.,Angel Manuel Soto,Blue Beetle,Long-métrage
"Philippe Bozo,Laurent Morteau,Pascal Casanova",2023,2023-08-16,"Qui appelle-t-on à la rescousse quand un mystérieux super-vilain recouvre la jungle d’une mousse rose qui explose au contact de l’eau ? Les As de la Jungle ! Moins d’un mois avant la saison des pluies, la course contre la montre est lancée. Du Pôle Nord à l’Extrême-Orient, traversant des montagnes, des déserts et des océans, nos héros vont devoir parcourir le monde à la recherche d’un antidote, loin de leur jungle favorite !",SND,89,309058,Animation_Aventure_Comédie_Famille,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/19/12/03/5714427.jpg,Français,France,Laurent Bru,Les As de la jungle 2 - Opération tour du monde,Long-métrage
"Anaïs Demoustier,Tom Mercier,Béatrice Dalle",2023,2023-08-16,"La Bête dans la jungle, librement adapté de la nouvelle de Henry James, est l’histoire d’un huis clos vertigineux : pendant 25 ans, dans une immense boîte de nuit, un homme et une femme guettent ensemble un événement mystérieux. De 1979 à 2004, l’histoire du disco à la techno, l’histoire d’un amour, l’histoire d’une obsession. La « chose » finalement se manifestera, mais sous une forme autrement plus tragique que prévu.",Les Films du Losange,103,280227,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/30/10/58/4389327.jpg,Français,France,Patric Chiha,La Bête Dans La Jungle,Long-métrage
"Manolo Solo,José Coronado,Ana Torrent",2023,2023-08-16,"Julio Arenas, un acteur célèbre, disparaît pendant le tournage d'un film. Son corps n’est jamais retrouvé, et la police conclut à un accident. Vingt-deux ans plus tard, une émission de télévision consacre une soirée à cette affaire mystérieuse, et sollicite le témoignage du meilleur ami de Julio et réalisateur du film, Miguel Garay. En se rendant à Madrid, Miguel va replonger dans son passé…",Haut et Court,169,311149,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/19/17/15/3823758.jpg,Espagnol,Espagne,Victor Erice,Fermer les yeux,Long-métrage
" Chiranjeevi,Tamannaah Bhatia,Vennela Kishore",2023,2023-08-11,Bhola Shankar est un ancien gangster qui arrive à Kolkata avec sa sœur adoptive Radha pour son éducation et également pour une mission personnelle de traquer un réseau criminel responsable de la mort de la famille de Radha.,Friday Entertainment,150,317869,Action_Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/27/14/01/2154313.jpg,Autre,Inde,Meher Ramesh,Bholaa Shankar,Long-métrage
"Harriet Andersson,Gunnel Lindblom,Gio Petré",1964,1966-03-02,"1914, Stockholm. Trois femmes sur le point d’accoucher se rendent à l’hôpital. De conditions sociales diverses, Agda, Adele et Angela se remémorent leur enfance, leurs amours déçus et leurs illusions perdues…",Carlotta Films,118,59476,Drame_Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/23/08/07/17/05/1961884.jpg,Suédois,Suède,Mai Zetterling,Les Amoureux,Long-métrage
Inconnu,2023,2023-08-21,"Le M72 World Tour de Metallica débarque sur grand écran pour la seconde des deux soirées diffusées en direct d’Arlington, au Texas, dans les cinémas du monde entier.",Pathé Live,165,316604,Concert,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/25/12/14/3086130.jpg,Anglais,U.S.A.,Gene McAuliffe,Metallica M72 World Tour Live from TX #2,Evénement spécial
"Ingrid Thulin,Keve Hjelm,Lena Brundin",1966,1966-09-14,"En compagnie de sa fiancée Mariana, Jan retourne dans le château où il a passé son enfance. Dans ces murs hantés par la présence de ses anciens occupants, les souvenirs ressurgissent, en particulier celui de sa mère Irene, belle femme fantasque et hédoniste que le jeune garçon vénérait…",Carlotta Films,105,1543,Drame,https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/07/17/05/2974397.jpg,Suédois,Suède,Mai Zetterling,Jeux de nuit,Long-métrage
"David Harbour,Orlando Bloom,Archie Madekwe",2023,2023-08-09,"Gran Turismo retrace l'incroyable histoire vraie d'une équipe d'outsiders : un gamer issu de la classe ouvrière, un ex-pilote de course raté et un cadre idéaliste de l’industrie du sport automobile. Ensemble, ils risquent tout et s'attaquent au sport le plus élitiste au monde.",Sony Pictures Releasing France,134,222943,Action_Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/23/05/03/10/55/2291595.jpg,Anglais,U.S.A.,Neill Blomkamp,Gran Turismo,Long-métrage
"Sunny Deol,Ameesha Patel,Gaurav Chopra",2023,2023-08-11,"Pendant le conflit indo-pakistanais de 1971, Tara Singh décide de retourner au Pakistan afin de ramener son fils, Charanjeet, avec lui.",Night ed films,165,312858,Action_Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/18/16/10/4825236.jpg,Hindi,Inde,Anil Sharma,Gadar 2,Long-métrage
