titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
La Nuit du 12,20/07/2022,96667,72191,295635
Donjons & Dragons : L'Honneur des voleurs,19/04/2023,420168,314725,221359
Terrible Jungle,05/08/2020,83427,43860,274312
Meurs un autre jour,27/11/2002,1447434,848002,29274
Alibi.com 2,08/02/2023,81100,1017788,281261
Le Processus de paix,21/06/2023,34918,15048,290254
Scream VI,15/03/2023,464821,372605,300624
Harry Potter à l'école des sorciers,12/12/2001,2316734,1597958,29276
Le Nouveau Jouet,26/10/2022,271139,263862,286890
Indiana Jones et le Royaume du Crâne de Cristal,28/05/2008,1674041,1007135,45890
Mort sur le Nil,16/02/2022,336133,217714,260812
Dune,22/09/2021,1030687,662287,133392
Une femme de notre temps,12/10/2022,13090,5004,288821
La Nuit du verre d’eau,21/06/2023,12657,7364,287446
The Wave,03/08/2016,16236,5870,233552
Mascarade,02/11/2022,91498,295895,289268
Inception,28/07/2010,1305534,830961,143692
Barbaque,03/11/2021,126252,59617,285749
Normale,12/04/2023,12196,5807,285266
Tout Le Monde M'appelle Mike,12/07/2023,397,58,275141
L'Exorciste du Vatican,17/05/2023,155555,115170,287490
Erreur de la banque en votre faveur,15/04/2009,304692,176540,133826
Nightmare Alley,26/01/2022,142309,97546,261339
La Guerre des Boutons,21/09/2011,635321,282620,188649
Novembre,12/10/2022,592681,429138,290915
La Cage Dorée,01/05/2013,288750,243837,109860
Toi non plus tu n'as rien vu,15/03/2023,4869,1201,298733
La Baleine et l'escargote,28/10/2020,40156,12035,283811
À la belle étoile,01/03/2023,67974,23228,291293
En corps,06/04/2022,332971,254871,287738
Top Gun: Maverick,01/06/2022,1529608,1188176,186636
Corsage,21/12/2022,35145,17271,287317
Joker,16/10/2019,1576425,1228940,258374
Tout Simplement Noir,15/07/2020,255537,152152,277532
Cendrillon,01/04/2015,636418,369136,182022
Case départ,13/07/2011,571106,402098,182097
De Grandes espérances,29/03/2023,82734,47503,294679
À l’abordage,28/07/2021,5612,2371,276223
Bonne conduite,05/04/2023,71102,30818,303446
Marinette,14/06/2023,26273,12278,299647
La Guerre des Lulus,25/01/2023,200047,71781,289992
Sexygénaires,21/06/2023,63084,31575,287311
Les Bad Guys,13/04/2022,259472,176979,263272
Assaut,19/07/2023,1204,796,280814
Carmen,21/06/2023,24397,11694,256034
Les Filles du Docteur March,08/01/2020,242663,152480,224808
La Syndicaliste,08/03/2023,192422,119585,288269
Dunkerque,26/07/2017,925204,540377,240850
Uncharted,23/02/2022,955650,551715,186437
Titanic,11/04/2012,498212,332440,5818
Ollie & compagnie,19/07/2023,284,177,315306
Suzume,19/04/2023,181032,128662,299413
Angélique,25/12/2013,70300,33482,209768
Stars 80,31/10/2012,526445,520540,180270
Maestro(s),14/12/2022,111837,64856,291285
Marcel le Coquillage (avec ses chaussures),21/06/2023,7514,4259,298612
65 - la Terre d'avant,22/03/2023,187043,68511,286208
Ouistreham,19/01/2022,126975,85285,268224
Retour chez ma mère,08/06/2016,643863,412121,243501
Mon Crime,15/03/2023,427391,309967,304685
La Chambre des merveilles,22/03/2023,298308,117724,287538
J’irai mourir dans les Carpates,23/09/2020,50838,25462,274282
Tenet,02/09/2020,948378,411702,251315
