date
2023-05-04
2023-07-06
2023-05-07
2017-01-03
2022-10-08
2023-10-05
2009-04-02
2023-08-03
2023-01-03
2017-01-12
2023-12-04
2020-01-01
2022-01-11
2006-03-05
2001-05-12
2020-05-02
2022-07-12
2017-03-05
2023-12-05
2014-08-10
2013-09-10
2021-06-10
2019-05-06
2022-02-03
2022-05-10
2022-12-10
2021-01-09
2022-06-04
2009-08-04
1998-09-12
2013-04-12
2013-01-02
2009-03-06
2012-04-01
2023-12-07
2006-09-08
2022-04-05
1999-07-07
2013-06-03
2017-03-07
2022-03-08
2001-07-02
2019-09-10
2021-03-09
1950-01-12
2020-08-07
2019-03-04
2022-09-02
2016-01-06
2022-12-01
2023-08-02
1985-06-02
2022-02-11
2018-01-08
2018-12-12
1998-07-01
2004-05-02
2014-05-11
2022-07-09
2015-12-08
2013-05-06
2023-04-01
2004-08-07
2001-06-03
1945-10-02
2014-07-05
2023-01-02
2019-11-09
2023-03-05
2000-11-10
2022-09-11
2011-10-08
2009-04-03
2010-03-02
2016-12-10
2022-05-01
2002-06-11
2004-08-09
2018-12-09
2015-11-02
2019-06-03
2002-05-06
2014-04-06
2023-07-04
2016-09-11
1963-05-06
2014-01-01
2018-05-09
2011-06-07
2022-08-06
2017-04-10
2021-08-12
1962-01-03
2017-01-11
2013-06-11
2003-12-02
2021-01-12
2023-11-01
2001-03-10
2016-01-01
2021-08-09
2011-05-10
2012-08-02
2008-04-06
2018-03-01
2011-02-11
2014-03-12
2006-01-08
2018-03-10
2016-07-12
1997-03-09
2018-06-06
2009-12-08
2015-08-04
2017-08-03
2018-07-11
2014-06-08
2013-02-10
2006-11-10
2002-10-04
2018-02-05
2023-06-07
2011-07-09
2005-06-04
2018-07-02
2014-01-10
2004-03-11
1996-12-06
1974-11-09
2004-07-01
2008-12-03
2015-09-12
2002-09-10
1998-03-06
2004-06-10
1993-10-11
2015-07-10
2013-09-01
2022-02-02
2003-02-04
2009-10-06
2002-02-10
2014-09-04
2020-10-04
2012-04-04
2012-07-11
2005-06-07
2010-05-05
2006-06-12
2016-09-03
2016-03-08
2011-09-03
2011-12-01
2015-04-11
2022-09-03
2001-08-08
2021-11-08
2018-11-04
2018-11-07
2016-06-01
2015-08-07
2011-12-10
2008-09-01
2022-11-05
1960-09-03
2008-10-09
2005-12-10
2018-05-12
2015-01-07
2016-05-10
2010-10-11
2021-04-11
2001-10-10
2006-08-02
2021-03-11
2021-07-07
2020-01-12
2012-04-07
1982-01-12
2001-06-06
2015-09-09
2004-03-02
2019-01-05
2009-07-01
2021-02-06
2010-09-06
2021-04-06
2000-05-01
2019-02-01
2021-09-06
2014-10-09
2012-03-10
2018-04-07
2015-04-02
2006-04-10
2012-12-09
2001-12-12
2020-10-05
2002-12-06
2007-10-01
2005-05-01
2006-04-01
2011-01-07
2017-08-11
2011-02-02
2019-06-02
2017-10-05
2021-04-08
2007-01-08
2000-05-07
2009-02-12
2012-01-02
2006-01-11
2008-11-06
2011-09-02
2018-07-04
2017-07-06
2013-11-09
2016-01-11
1966-12-05
2016-06-04
1974-03-04
2005-12-01
2002-06-02
2004-10-03
2005-04-05
2021-10-11
2018-01-09
2002-04-12
2011-03-08
2015-10-06
2006-02-08
2007-05-12
2017-04-01
2021-09-07
2010-07-04
2020-09-09
2007-11-07
2006-01-02
2011-08-06
2019-04-12
2007-07-02
2004-03-03
2020-05-08
2010-07-03
2015-02-12
2004-02-06
2017-12-07
2007-11-04
2000-03-05
2020-04-03
2016-10-02
2019-12-03
2009-01-04
2007-06-06
2008-10-12
2020-11-03
2007-09-05
2006-01-03
2010-10-02
2018-08-08
2008-05-11
2012-11-01
2003-01-10
2006-12-04
2012-02-05
2002-01-11
2009-09-09
2019-07-08
2012-12-12
2018-10-10
2003-12-04
2012-05-09
2015-01-04
2010-07-07
2023-06-09
2004-10-11
2018-01-12
2014-03-09
2004-04-02
1953-01-04
2006-06-09
2014-12-11
2017-11-01
2013-01-03
2016-04-05
2019-03-07
2022-01-02
2020-11-09
2016-03-02
2023-08-04
2019-09-01
2010-01-12
2008-07-05
2020-12-02
2015-07-01
2008-11-03
2009-11-11
2011-07-12
2005-01-06
2018-04-04
2004-11-08
2021-02-09
2015-10-11
2007-07-11
2002-10-07
