titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
Police,02/09/2020,Drame,99.0,Anne Fontaine, StudioCanal ,"Omar Sy,Virginie Efira,Grégory Gadebois",,,Français,Long-métrage,2020,-,"3,3","2,2",31 articles de presse,,"Virginie, Erik et Aristide, trois flics parisiens, se voient obligés d’accepter une mission inhabituelle : reconduire un étranger à la frontière. Sur le chemin de l’aéroport, Virginie comprend que leur prisonnier risque la mort s’il rentre dans son pays. Face à cet insoutenable cas de conscience, elle cherche à convaincre ses collègues de le laisser s’échapper.",84 682
"Bruno Reidal, confession d'un meurtrier",23/03/2022,Historique,101.0,Vincent Le Port, Capricci Films ,"Dimitri Doré,Jean-Luc Vincent,Roman Villedieu",,,Français,Long-métrage,2020,-,"4,1","3,7",27 articles de presse,2 prix et 5 nominations,"1er septembre 1905. Un séminariste de 17 ans est arrêté pour le meurtre d’un enfant de 12 ans. Pour comprendre son geste, des médecins lui demandent de relater sa vie depuis son enfance jusqu’au jour du crime. D’après l’histoire vraie de Bruno Reidal, jeune paysan du Cantal qui, toute sa vie, lutta contre ses pulsions meurtrières.",4 760
Drunk,14/10/2020,Comédie,117.0,Thomas Vinterberg, Haut et Court ,"Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang",Druk,,Danois,Long-métrage,2020,-,"3,9","4,1",39 articles de presse,3 prix et 6 nominations,"Quatre amis décident de mettre en pratique la théorie d’un psychologue norvégien selon laquelle l’homme aurait dès la naissance un déficit d’alcool dans le sang. Avec une rigueur scientifique, chacun relève le défi en espérant tous que leur vie n’en sera que meilleure ! Si dans un premier temps les résultats sont encourageants, la situation devient rapidement hors de contrôle.",114 935
Belle-Fille,19/08/2020,,96.0,Méliane Marcaggi, UGC Distribution ,"Alexandra Lamy, Miou-Miou,Jonathan Zaccaï",,,Français,Long-métrage,2020,4.8 M euros,"3,3","2,5",9 articles de presse,,"Découvrant que son mari la trompe, Louise décide de penser enfin à elle et part décompresser en Corse le temps d’un week-end. Elle passe une folle nuit avec un bel inconnu... Une seule puisque, au petit matin, il ne se réveille pas. Andréa, la mère de celui-ci,  débarque sur les lieux et prend immédiatement Louise pour la belle-fille dont elle a toujours rêvé! Prise au piège, Louise va devoir jouer le rôle de la belle-fille idéale pour quelques jours. Problème : sa nouvelle belle-mère ne veut plus la lâcher...",141 458
Cette musique ne joue pour personne,29/09/2021,Romance,107.0,Samuel Benchetrit, UGC Distribution ,"François Damiens,Ramzy Bedia,Vanessa Paradis",,"France,Belgique",Français,Long-métrage,2020,-,"3,1","2,7",28 articles de presse,2 nominations,"Dans le Nord de la France, alors que sa femme Katia est comme hypnotisée par l'écran devant lequel elle passe ses journées, Jeff s'éprend de Roxanne, une caissière. Il lui déclare sa flamme par le biais de Neptune, un de ses hommes de main. Jeff charge par ailleurs Jacky de réclamer ses dettes à un mauvais payeur. Mais ce dernier a été tué d'une gifle assénée par sa femme Suzanne, une actrice bègue qui fait découvrir l'univers du théâtre à Jacky. Quant à Jésus et Poussin, ils intimident les condisciples de Jessica, la fille de Jeff, afin qu'ils viennent à une fête qu'elle organise. Samuel Benchetrit réunit un casting quatre étoiles pour une fable décalée où des voyous sont attendris par l'amour ou l'art.",51 677
C'est quoi ce papy ?!,11/08/2021,,103.0,Gabriel Julien-Laferrière, UGC Distribution ,"Chantal Ladesou,Patrick Chesnais,Julie Gayet",,,Français,Long-métrage,2020,-,"3,0","2,1",6 articles de presse,,"Aurore, la plus déjantée des mamies fait une chute spectaculaire lors d’une danse endiablée. Elle perd la mémoire et se retrouve en convalescence dans une maison de repos. Elle ne parle que d’un mystérieux Gégé…qui pourrait être son amour de jeunesse et lui faire retrouver toute sa tête. Ses sept petits enfants décident de faire le mur pour faire évader leur mamie. Ils partent à travers la France à la recherche de celui qu’ils croient être leur Papy. Mais quand Mamie rencontre Papy…La famille n’est pas au bout de ses surprises !",120 764
Piro Piro,01/02/2023,Famille,40.0,Sung-ah Min, Cinéma Public Films ,,,,Muet,Long-métrage,2020,-,"3,3","2,9",3 Critiques Spectateurs,,"Un ensemble de 6 films d’animation poétiques et sensibles où le talent de 2 de jeunes réalisatrices sud coréennes, Baek Miyoung et Min Sung-Ah, dévoile des univers aux couleurs pastel et chaleureuses. Des petits oiseaux tissent le lien entre ces films, dans lesquels on partage des instants de tendresse et d’humour.",6 853
En décalage,03/08/2022,Thriller,104.0,Juanjo Giménez Peña, Le Pacte ,"Marta Nieto,Miki Esparbé,Fran Lareu",Tres,"Espagne,France,Lituanie",Espagnol,Long-métrage,2020,-,"3,5","3,1",17 articles de presse,,"C. est une ingénieure du son talentueuse, passionnée par son travail. Un jour, elle découvre qu’elle commence à se désynchroniser. Elle réalise alors que son cerveau s’est mis à percevoir le son plus tard que les images qu’il reçoit. C. doit renoncer à son travail et reconsidérer toute sa vie.",4 494
L'Un des nôtres,16/06/2021,Drame,115.0,Thomas Bezucha, Universal Pictures International France ,"Kevin Costner,Diane Lane,Lesley Manville",Let Him Go,,Anglais,Long-métrage,2020,-,"2,7","3,3",10 articles de presse,,"Après la perte de leur fils, le shérif à la retraite George Blackledge et son épouse, Margaret quittent leur ranch du Montana pour sauver leur jeune petit-fils des griffes d'une dangereuse famille tenue d'une main de fer par la matriarche Blanche Weboy. Quand ils découvrent que les Weboy n'ont pas l'intention de laisser partir l'enfant, George et Margaret n'ont pas d'autre choix que de se battre pour réunir enfin leur famille.",10 884
Fuis-moi je te suis,18/05/2022,Drame,124.0,Kôji Fukada, Art House ,"Win Morisaki,Kaho Tsuchimura,Shohei Uno",The Real Thing,,Japonais,Long-métrage,2020,-,"3,9","3,6",21 articles de presse,,,6 917
