titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
La Ruche,,,,Christophe Hermans,,"Ludivine Sagnier,Sophie Breyer,Mara Taquin",,"Belgique,France",Français,Long-métrage,2020,-,"2,6",,2 Critiques Spectateurs,,"Du plus loin qu'elles s'en souviennent, Marion, Claire et Louise ont toujours vécu au rythme des joies et de la douleur d'Alice, leur mère. Aujourd'hui, elles n'ont plus que leur amour à opposer à cette spirale destructrice dans laquelle Alice sombre chaque jour davantage. Un amour infini, aussi violent qu’indicible.",2 197
La Ruche,01/06/2022,,84.0,Blerta Basholli, ASC Distribution ,"Yllka Gashi,Cun Lajci,Aurita Agushi",Zgjoi,"Kosovo,Suisse,Albanie,Macédoine",Albanian,Long-métrage,2021,-,"3,4","3,7",16 articles de presse,,"Le mari de Fahrije est porté disparu depuis la guerre du Kosovo. Outre ce deuil, sa famille est également confrontée à d’importantes difficultés financières. Pour pouvoir subvenir à leurs besoins, Fahrije a lancé une petite entreprise agricole. Mais, dans le village traditionnel patriarcal où elle habite, son ambition et ses initiatives pour évoluer avec d’autres femmes ne sont pas vues d’un bon œil. Fahrije lutte non seulement pour faire vivre sa famille mais également contre une communauté hostile, qui cherche à la faire échouer.",2 197
"Chien Pourri, la vie à Paris !",07/10/2020,,60.0,Davy Durand, KMBO ,,,"France,Belgique,Espagne",Français,Long-métrage,2020,-,"3,4","3,4",3 Critiques Spectateurs,,,15 304
Mon année à New York,,,101.0,Philippe Falardeau, Metropolitan FilmExport ,"Margaret Qualley,Sigourney Weaver,Douglas Booth",My Salinger Year,"Canada,Irlande",Anglais,Long-métrage,2020,-,"3,1",,17 Critiques Spectateurs,,"Joanna débarque à Manhattan des rêves plein la tête : elle espère devenir une grande romancière. Pour son premier job elle devient l’assistante de la redoutable Margaret, l’agent de J.D. Salinger, l’auteur légendaire qui mène une vie recluse loin de New York. En voulant bien faire, Joanna va cependant se mettre dans une situation qui pourrait bouleverser tout ce qu’elle a accompli…",28 851
Crescendo,06/07/2022,,111.0,Dror Zahavi, Bodega Films ,"Peter Simonischek,Daniel Donskoy,Mehdi Meskar",Crescendo - #Makemusicnotwar,,"Allemand, Anglais",Long-métrage,2020,-,"2,1","3,5",9 articles de presse,,"Eduard Sporck, chef d'orchestre de renommée mondiale, accepte de fonder un orchestre de jeunes israélo-palestiniens. Il est rapidement confronté à des jeunes musiciens qui ont grandi dans un état de guerre et de répression... et loin d'être en harmonie. Les deux meilleurs violonistes, Layla, la palestinienne émancipée, et le beau israélien Ron, se méfient profondément l'un de l'autre. Sporck réussira-t-il à relever le défi ?",5 161
Vous ne désirez que moi,09/02/2022,,95.0,Claire Simon, Dulac Distribution ,"Swann Arlaud,Emmanuelle Devos,Christophe Paou",,,Français,Long-métrage,2020,-,"3,6","3,0",23 articles de presse,,,22 526
Filles de joie,22/06/2020,,91.0,Frédéric Fonteyne, KMBO ,"Sara Forestier,Noémie Lvovsky,Annabelle Lengronne",,"Belgique,France",Français,Long-métrage,2020,-,"3,1","2,1",24 articles de presse,,"Axelle, Dominique et Conso partagent un secret. Elles mènent une double vie. Elles se retrouvent tous les matins sur le parking de la cité pour prendre la route et aller travailler de l’autre côté de la frontière. Là, elles deviennent Athéna, Circé et Héra dans une maison close. Filles de joie, héroïnes du quotidien, chacune se bat pour sa famille, pour garder sa dignité. Mais quand la vie de l’une est en danger, elles s’unissent pour faire face à l’adversité.",28 192
All My Life,02/06/2021,Romance,93.0,Marc Meyers, Universal Pictures International France ,"Jessica Rothe,Harry Shum Jr.,Kyle Allen",,,Anglais,Long-métrage,2020,-,"3,0",,4 Critiques Spectateurs,,"Inspiré par la véritable histoire d’amour qui a passionné un pays entier,",36
Koati,21/09/2022,"Aventure,Famille",92.0,Rodrigo Perez-Castro, Paradis Films ,"Sofia Vergara,Adriana Barraza,Joe Manganiello",,"Mexique,U.S.A.","Anglais, Espagnol",Long-métrage,2020,-,"2,7","2,8",4 Critiques Spectateurs,,"En Amérique latine, une joyeuse bande d’animaux cohabite en harmonie au pays de Xo, au cœur de la forêt tropicale. En marge de cette communauté vit Nachi, un jeune coati orphelin, débrouillard et solitaire. Une catastrophe naturelle menace soudain les habitants de Xo. La perfide Saina, un serpent manipulateur, profite de la situation désespérée pour s’emparer du pouvoir et inciter tous les animaux à quitter leur forêt. Mais pour le vieux sorcier Cocopa, un espoir subsiste – et cet espoir, contre toute attente, c’est Nachi… Nachi quitte donc sa communauté, accompagné par Pako, une grenouille de verre hyperactive, et par Xochi, un papillon monarche intrépide. Ensemble, ces trois improbables aventuriers s’engagent dans une quête dangereuse afin de sauver leur foyer et, peut-être, percer le mystère des origines de Nachi…",39 343
L'Homme de l'Eau,,Fantastique,92.0,David Oyelowo,,"Lonnie Chavis,Rosario Dawson,David Oyelowo",The Water Man,,Anglais,Long-métrage,2020,-,"2,3",,12 Critiques Spectateurs,,"Un jeune garçon précoce, Gunner, part à la recherche d'un mystérieux être appelé ""Water Man"" avec l'aide d'une inadaptée locale, Jo. Le personnage légendaire aurait la faculté de tromper la mort et pourrait ainsi sauver la mère gravement malade de Gunner...",181 046
À La Folie,06/04/2022,,82.0,Audrey Estrougo, Damned Distribution ,"Virginie Van Robby,Lucie Debay,Anne Coesens",,,Français,Long-métrage,2020,-,"3,0","3,0",10 articles de presse,,"Pour fêter l'anniversaire de sa mère, Emmanuelle vient passer quelques jours dans la maison de son enfance. Elle y retrouve temps passé et souvenirs qui règnent dans les lieux, mais aussi sa sœur aînée dont l’instabilité psychologique a trop souvent affecté les relations familiales. Personne ne se doute que cette fête de famille va rapidement prendre une tournure inattendue…",1 150
My Hero Academia: Heroes Rising,20/08/2020,"Animation,Comédie",104.0,Kenji Nagasaki, CGR EVENTS ,"Daiki Yamashita,Nobuhiko Okamoto,Yuka Terasaki",,,Japonais,Long-métrage,2020,-,"4,2",,14 Photos,,"La classe 1-A visite l'île de Nabu où ils peuvent enfin faire un vrai travail de héros. L'endroit est si paisible que ça ressemble plus à des vacances… jusqu'à ce qu'ils soient attaqués par un super-vilain avec un alter insondable ! Son pouvoir est étrangement familier, et il semble que Shigaraki ait joué un rôle dans son plan. Mais avec All Might à la retraite et la vie des citoyens en jeu, il n'y a pas de temps pour les questions. Deku et ses amis sont la prochaine génération de héros, et ils sont le seul espoir de l'île.",5 796 862
"Mia et moi, L’Héroïne de Centopia",20/07/2022,"Fantastique,Famille",82.0,Adam Gunn, Alba Films ,"Margot Nuccetelli,Dave Willetts,Rick Kavanian",Mia And Me - The Movie,"Allemagne,Australie,Belgique,Inde",Anglais,Long-métrage,2020,-,"2,4","2,5",9 articles de presse,,"Plongez dans le monde féérique de MIA ET MOI pour la première fois au cinéma ! Mia, une brillante jeune fille, a la capacité, grâce à un bracelet magique, de se transformer en elfe dans le monde magique des Licornes de Centopia, où vivent d’extraordinaires créatures. Après avoir découvert que la pierre magique de son bracelet était liée à une ancienne prophétie, elle se lance dans un voyage palpitant vers les îles les plus éloignées de Centopia. Grâce à l’aide de ses amis, elle va devoir affronter l’immonde Toxor et son armée pour sauver l’île du Lotus. Les défis qui l’attendent pousseront Mia à prendre une décision qui changera sa vie pour toujours…",42 006
Éléonore,23/09/2020,,85.0,Amro Hamzawi, ARP Sélection ,"Nora Hamzawi,André Marcon,Dominique Reymond",,,Français,Long-métrage,2020,-,"2,4","1,8",27 articles de presse,7 nominations,"Sous la pression de sa mère et de sa sœur, Eléonore, apprentie écrivain, change de vie et devient l’assistante d’un éditeur spécialisé dans les romances érotiques.",20 445
Mon légionnaire,06/10/2021,,107.0,Rachel Lang (II), Bac Films ,"Louis Garrel,Camille Cottin,Ina Marija Bartaité",,"France,Belgique","Français, Anglais",Long-métrage,2020,-,"3,3","2,7",26 articles de presse,3 prix et 5 nominations,"Ils viennent de partout, ils ont désormais une chose en commun : la Légion Étrangère, leur nouvelle famille. Mon Légionnaire raconte leurs histoires : celle de ces femmes qui luttent pour garder leur amour bien vivant, celle de ces hommes qui se battent pour la France, celle de ces couples qui se construisent en territoire hostile.",19 728
Wendy,23/06/2021,Drame,112.0,Benh Zeitlin, Condor Distribution ,"Devin France,Yashua Mack,Gage Naquin",,,Anglais,Long-métrage,2020,-,"3,3","2,7",25 articles de presse,,"Elevée par sa mère célibataire, Wendy s'étiole dans un quotidien dénué de magie. Un soir, la fillette part à l'aventure en sautant dans un train en marche avec ses deux petits frères, les jumeaux James et Douglas. Au terme du voyage, ils débarquent sur une île mystérieuse, où les enfants ne semblent pas vieillir et où règne un garçon rebelle, nommé Peter Pan.",8 414
Les Sans-dents,20/04/2022,,85.0,Pascal Rabaté, Jour2fête ,"Yolande Moreau,Gustave Kervern,François Morel",,,Français,Long-métrage,2020,-,"1,8","1,6",13 articles de presse,,"Un clan vit à rebours de la civilisation, dans l'inframonde d'une décharge. Cette mini-tribu recycle en toute illégalité notre rebut pour s'aménager de manière étonnante un hameau de bric et de broc. La vie pourrait ainsi couler si une équipe policière ne se mettait sur leurs traces…",8 798
Sentimental,11/08/2021,,82.0,Cesc Gay, Wild Bunch Distribution ,"Javier Cámara,Griselda Siciliani,Belén Cuesta",,,Espagnol,Long-métrage,2020,-,"3,2","3,4",13 articles de presse,,"Après des années de vie commune, Julio et Ana traversent une crise dans leur couple. Jusqu’au soir où Ana décide d'inviter leurs voisins du dessus à dîner, sans prévenir Julio, qui ne les porte pas dans son cœur. Son grief : le bruit qu'ils font chaque soir lors de leurs ébats déchainés. Au fil de ce dîner, la routine de Julio et Ana se heurte aux mœurs plus que libérées de leurs voisins : les langues se délient, les secrets se dévoilent et les masques tombent.",9 914
Si demain,08/12/2021,,86.0,Fabienne Godet, Jour2fête ,"Julie Moulier,Lucie Debay,Arnaud Valois",,,Français,Long-métrage,2020,-,"2,0",,7 Critiques Spectateurs,,"Esther reçoit anonymement un carnet, écrit 20 ans plus tôt sous forme de journal intime par une jeune fille dont l’histoire fait écho avec la sienne, elle qui est en pleine rupture amoureuse. Poussée par sa meilleure amie, Esther se met en tête de retrouver l’autrice et d’apprendre ce qu’elle est devenue. Son enquête se transforme en un véritable voyage intime au travers duquel Esther se libère, se déploie, se reconstruit.",174
Les Mal-aimés,16/09/2020,,40.0,Hélène Ducrocq, Cinéma Public Films ,,,,Français,Long-métrage,2020,-,"3,5","3,7",8 Critiques Spectateurs,,"Notre planète regorge de vie, et il nous appartient de la sauvegarder. Mais cette protection peut-elle exister ou être efficace alors même que nous ignorons le rôle et le fonctionnement de la plupart des espèces, ou pire, que certaines nous font peur ? Ce programme de 4 courts métrages montre avec douceur et tendresse l’univers de certains de ces « mal-aimés » auxquels les contes et légendes ou simplement les préjugés ont malheureusement donné une mauvaise réputation.",4 986
"Billie Holiday, une affaire d'état",02/06/2021,"Musical,Drame",128.0,Lee Daniels, Metropolitan FilmExport ,"Andra Day,Trevante Rhodes,Garrett Hedlund",The United States Vs. Billie Holiday,,Anglais,Long-métrage,2020,-,"3,4","3,3",20 articles de presse,1 prix et 2 nominations,"Billie Holiday est sans conteste l’une des plus fascinantes icônes du jazz, mais derrière sa voix légendaire, se cache une femme dont le combat acharné pour la justice a fait d’elle la cible du plus puissant des pouvoirs…",39 905
Bloody Hell,,Epouvante-horreur,95.0,Robert Benjamin,,"Ben O'Toole,Meg Fraser,Caroline Craig",,"U.S.A.,Australie",Anglais,Long-métrage,2020,-,"2,7",,13 Critiques Spectateurs,,Un homme fuit son passé et s'installe dans un nouveau pays. L'endroit se révèle dangereux et horrifique...,13 144
L'Ennemi,26/01/2022,,105.0,Stephan Streker, Alba Films ,"Jérémie Renier,Alma Jodorowsky,Emmanuelle Bercot",,"Belgique,Luxembourg,France",Français,Long-métrage,2020,-,"2,8","2,5",13 articles de presse,8 nominations,"Un célèbre homme politique est accusé d’avoir tué son épouse retrouvée morte, une nuit, dans leur chambre d’hôtel. Est-il coupable ou innocent ? Personne ne le sait. Et peut-être lui non plus.",6 436
Bob l'éponge - Le film : Éponge en eaux troubles,,Comédie,91.0,Tim Hill, Netflix ,"Tom Kenny,Bill Fagerbakke,Clancy Brown",The Spongebob Movie: Sponge on the Run,,Anglais,Long-métrage,2020,-,"3,0","2,7",38 Critiques Spectateurs,,"Suite à l’escargotnapping de Gary, son compagnon de toujours, Bob entraîne Patrick dans une folle aventure vers la Cité Perdue d’Atlantic City afin de le retrouver. A travers cette mission sauvetage pleine de surprises, de merveilles et de dangers, Bob l’Éponge et ses acolytes vont réaliser que rien n’est plus fort que le pouvoir de l’amitié.",345 000
Le Traducteur,13/10/2021,Drame,105.0,Rana Kazkaz, Alba Films ,"Ziad Bakri,Yumna Marwan,David Field",,"Syrie,France,Suisse,Belgique,Qatar","Arabe, Anglais",Long-métrage,2020,-,"3,2","2,9",15 articles de presse,,"En 2000, Sami était le traducteur de l’équipe olympique syrienne à Sydney. Un lapsus lors de la traduction le contraint à rester en Australie, où il obtient le statut de réfugié politique. En 2011, la révolution syrienne éclate et le frère de Sami est arrêté pendant une manifestation pacifique. Malgré les dangers il décide de tout risquer et de retourner en Syrie pour aller le libérer..",2 975
200 mètres,09/06/2021,Drame,97.0,Ameen Nayfeh, Shellac ,"Ali Suliman,Anna Unterberger,Gassan Abbas",200 Meters,"Palestine,Jordanie,Qatar,Suède,Italie",Arabe,Long-métrage,2020,-,"3,7","3,7",16 articles de presse,,"Mustafa d’un côté, Salwa et les enfants de l’autre, une famille vit séparée de chaque côté du Mur israélien à seulement 200 mètres de distance. Ils résistent au quotidien avec toute la ruse et la tendresse nécessaires pour « vivre » comme tout le monde, quand un incident grave vient bouleverser cet équilibre éphémère. Pour retrouver son fils blessé de l’autre côté, le père se lance dans une odyssée à travers les checkpoints, passager d’un minibus clandestin où les destins de chacun se heurtent aux entraves les plus absurdes.",5 684
Psycho Goreman,,"Epouvante-horreur,Comédie",98.0,Steven Kostanski,"
1 nomination
","Matthew Ninaber,Rick Amsbury,Adam Brooks (II)",PG: Psycho Goreman,,Anglais,Long-métrage,2020,-,"2,0",,15 Critiques Spectateurs,,"2019, dans la périphérie d’une petite ville américaine. Mimi et son frère Luke découvrent la tombe de Psycho Goreman, un seigneur de guerre extraterrestre endormi dont le seul désir est de détruire tout l’univers. Fort heureusement, ils trouvent aussi une pierre précieuse magique qui leur permet de le contrôler. Mais une ligue intergalactique de chasseurs renégats apprend la résurrection de Psycho Goreman et décide de le rejoindre sur Terre…",40 366
Sous les étoiles de Paris,28/10/2020,"Drame,Comédie",82.0,Claus Drexel, Diaphana Distribution ,"Catherine Frot,Mahamadou Yaffa,Jean-Henri Compère",,,Français,Long-métrage,2020,-,"3,1","2,4",20 articles de presse,,"Depuis de nombreuses années, Christine vit sous un pont, isolée de toute famille et amis. Par une nuit comme il n’en existe que dans les contes, un jeune garçon de 8 ans fait irruption devant son abri. Suli ne parle pas français, il est perdu, séparé de sa mère… Ensemble, ils partent à sa recherche. A travers les rues de Paris, Christine et Suli vont apprendre à se connaître et à s’apprivoiser. Et Christine à retrouver une humanité qu’elle croyait disparue.",7 734
Le Procès de l'herboriste,30/06/2021,"Drame,Historique",119.0,Agnieszka Holland, KMBO ,"Ivan Trojan,Josef Trojan,Juraj Loj",Charlatan,"Pologne,République tchèque,Irlande,Slovaquie",Tchèque,Long-métrage,2020,-,"3,0","3,5",12 articles de presse,,"Dès son plus jeune âge, Jan Mikolášek se passionne pour les plantes et leurs vertus médicinales. Il devient l’un des plus grands guérisseurs de son époque. Dans la tourmente de la guerre et des crises du XXe siècle, il consacre sa vie à soigner sans distinction les riches comme les pauvres, les Allemands nazis sous l’Occupation comme les fonctionnaires communistes d’après-guerre. Sa popularité finira par irriter les pouvoirs politiques. Accusé de charlatanisme, Mikolášek doit alors prouver le bien-fondé de sa science lors de son procès.",17 917
Gretel And Hansel,,"Fantastique,Thriller",87.0,Osgood Perkins (II),,"Sophia Lillis,Alice Krige,Samuel Leakey",,"U.S.A.,Canada,Irlande,Afrique du Sud",Anglais,Long-métrage,2020,-,"3,0",,10 Critiques Spectateurs,,,6 154 007
Selon La Police,23/02/2022,Policier,111.0,Frédéric Videau, Pyramide Distribution ,"Patrick d'Assumçao,Sofia Lesaffre,Laetitia Casta",,,Français,Long-métrage,2020,"2,8M€","2,4","2,3",15 articles de presse,,"Un matin, un flic de terrain usé jusqu’à la corde, que tous dans son commissariat appellent Ping-Pong, brûle sa carte de police et disparaît sans prévenir. Durant un jour et une nuit, ses collègues le cherchent, le croisent et le perdent dans Toulouse et sa banlieue. Mais chaque heure qui passe rapproche un peu plus Ping-Pong de son destin.",5 704
Crisis,,,118.0,Nicholas Jarecki, Metropolitan FilmExport ,"Gary Oldman,Greg Kinnear,Evangeline Lilly",,"U.S.A.,Canada,Belgique",Anglais,Long-métrage,2020,-,"2,7",,26 Critiques Spectateurs,,"L’arrestation à la frontière canadienne d’un passeur en possession d’une cargaison d’un puissant anti-douleur opioïde déclenche une série d’évènements incontrôlables. Désormais compromise, l’opération sous couverture d’un agent du FBI se complique encore avec la vendetta d’une ancienne addicte.",190 649
Villa Caprice,02/06/2021,,103.0,Bernard Stora, Bac Films ,"Niels Arestrup,Patrick Bruel,Irène Jacob",,"France,Belgique",Français,Long-métrage,2020,"3,2 M€","3,0","2,5",21 articles de presse,,"Avocat célèbre, Luc Germon pense atteindre la consécration lorsque Gilles Fontaine, l'un des patrons les plus puissants de France, lui demande de prendre sa défense. L’homme d’affaires est soupçonné d'avoir acquis dans des conditions douteuses une magnifique propriété sur la Côte d'Azur, la Villa Caprice. Humilié et furieux de s'être laissé piéger, Fontaine compte sur l'habileté de Germon pour le tirer de ce mauvais pas. Mais une étrange relation de pouvoir s'installe bientôt entre les deux hommes, en principe alliés. Qui prendra l'avantage ?",67 576
Blackbird,23/09/2020,,97.0,Roger Michell, Metropolitan FilmExport ,"Susan Sarandon,Kate Winslet,Mia Wasikowska",,,Anglais,Long-métrage,2020,-,"3,4","3,5",29 articles de presse,,"Lily et son mari Paul décident de réunir enfants et petits-enfants pour un week-end dans leur maison de campagne. Trois générations d’une même famille se retrouvent, avec Jennifer, l’aînée, son mari Michael et leur fils de 15 ans, Jonathan, mais aussi Anna, la cadette, venue avec Chris, sa compagne. En fait, cette réunion de famille a un but bien particulier : atteinte d'une maladie dégénérative incurable, Lily refuse de subir une fin de vie avilissante et décide de prendre son destin en main. Mais tout le monde n’accepte pas cette décision. Non-dits et secrets remontent à la surface, mettant à l’épreuve et redessinant tous les liens qui unissent les membres de cette famille, alors que le temps des adieux approche…",47 384
Chère Léa,15/12/2021,,90.0,Jérôme Bonnell, Diaphana Distribution ,"Grégory Montel,Grégory Gadebois,Anaïs Demoustier",,,Français,Long-métrage,2020,-,"3,4","2,5",23 articles de presse,,"Après une nuit arrosée, Jonas décide sur un coup de tête de rendre visite à son ancienne petite amie, Léa, dont il est toujours amoureux. Malgré leur relation encore passionnelle, Léa le rejette. Éperdu, Jonas se rend au café d’en face pour lui écrire une longue lettre, bousculant ainsi sa journée de travail, et suscitant la curiosité du patron du café. La journée ne fait que commencer...",24 517
Slalom,19/05/2021,,92.0,Charlène Favier, Jour2fête ,"Noée Abita,Jérémie Renier,Marie Denarnaud",,"France,Belgique",Français,Long-métrage,2020,-,"3,8","3,4",29 articles de presse,3 prix et 12 nominations,"Lyz, 15 ans, vient d'intégrer une prestigieuse section ski-études du lycée de Bourg-Saint-Maurice. Fred, ex-champion et désormais entraîneur, décide de tout miser sur sa nouvelle recrue. Galvanisée par son soutien, Lyz s'investit à corps perdu, physiquement et émotionnellement. Elle enchaîne les succès mais bascule rapidement sous l'emprise absolue de Fred...",16 200
Aristocrats,30/03/2022,,125.0,Yukiko Sode, Art House ,"Mugi Kadowaki,Kiko Mizuhara,Kengo Kora",Anoko wa kizoku,,Japonais,Long-métrage,2020,-,"3,5","3,8",28 articles de presse,,"A presque 30 ans, Hanako est toujours célibataire, ce qui déplait à sa famille, riche et traditionnelle. Quand elle croit avoir enfin trouvé l’homme de sa vie, elle réalise qu’il entretient déjà une relation ambiguë avec Miki, une hôtesse récemment installée à Tokyo pour ses études. Malgré le monde qui les sépare, les deux femmes vont devoir faire connaissance.",28 303
De nos frères blessés,23/03/2022,,95.0,Hélier Cisterne, Diaphana Distribution ,"Vincent Lacoste,Vicky Krieps,Jules Langlade",,,Français,Long-métrage,2020,6.7 M euros,"3,2","3,3",26 articles de presse,2 nominations,"1954, Hélène et Fernand tombent amoureux. Avec lui elle part pour Alger, découvre sa beauté et l’attachement que Fernand porte à son pays. Alors que l’Algérie et la France se déchirent, leur vie bascule. L’histoire vraie du combat d’un couple pour la liberté.",24 444
Le Braquage du siècle,08/09/2021,Policier,114.0,Ariel Winograd, Eurozoom ,"Guillermo Francella,Diego Peretti,Juan Alari",El robo del siglo,,Espagnol,Long-métrage,2020,-,"3,4","3,8",16 articles de presse,,"Argentine, 2006. Un groupe de cambrioleurs s’apprête à réaliser un des plus célèbres et des plus ingénieux braquages de l'histoire d'Argentine, celui de la banque Río.",5 589
A Good Man,10/11/2021,,108.0,Marie-Castille Mention-Schaar, Pyramide Distribution ,"Noémie Merlant, Soko,Vincent Dedienne",,,Français,Long-métrage,2020,3.408.000€,"3,1","3,0",20 articles de presse,3 nominations,Aude et Benjamin s’aiment et vivent ensemble depuis 6 ans. Aude souffre de ne pas pouvoir avoir d’enfant alors Benjamin décide que c’est lui qui le portera.,8 255
"Josée, le tigre et les poissons",16/06/2021,"Drame,Romance",98.0,Kotaro Tamura, Eurozoom ,"Kaya Kiyohara,Taishi Nakagawa,Matsutera Chiemi",Josee to Tora to Sakana-tachi,,Japonais,Long-métrage,2020,-,"3,6","4,1",16 Critiques Spectateurs,4 nominations,"Kumiko, paraplégique depuis l’enfance, vit avec sa grand-mère, qui la sur-protège du monde extérieur. Elle sort peu et s’est créé son propre univers, aidée par la lecture, sa fascination pour la mer et son imagination débordante. Elle demande qu’on l’appelle Josée, du nom d'une jeune héroïne d’un roman de Sagan. Tsuneo, brillant étudiant en biologie marine, aimerait poursuivre ses études au Mexique où il pourrait vivre son rêve, plonger dans les eaux tropicales. Pour cela il lui faut de l’argent et il cherche donc des petits boulots. Un soir, il tombe littéralement sur Josée et la sauve d’une horrible chute. Suite à cette rencontre accidentelle, la grand-mère de Josée engage Tsuneo comme aide-soignant. Josée se révèle autoritaire et têtue, mais Tsunéo est d’une grande patience. Ils apprennent à se connaître et même à s’apprécier. Un jour, il emmène Josée à la mer…",10 060
Kokon,05/04/2023,Romance,95.0,Leonie Krippendorff, Outplay Films ,"Lena Urzendowsky,Jella Haase,Lena Klenke",,,Allemand,Long-métrage,2020,-,"3,2","3,6",11 articles de presse,,"Un de ces étés caniculaires où l’on grandit si vite : premiers amours et premiers déboires, Nora cherche sa voie dans le Berlin populaire de Kreuzberg, entre une mère absente et une grande sœur protectrice. Mais du haut de ses 14 ans, Nora se moque des injonctions sociales, de genre et des modèles instagramables : elle veut vivre, briser son cocon et prendre son envol.",487
Possessor,07/04/2021,"Science fiction,Epouvante-horreur",104.0,Brandon Cronenberg, The Jokers / Les Bookmakers ,"Andrea Riseborough,Christopher Abbott,Rossif Sutherland",,"Canada,Grande-Bretagne",Anglais,Long-métrage,2020,-,"3,9","2,4",12 articles de presse,1 prix et 4 nominations,Tasya Vos travaille au sein d’une organisation secrète qui utilise une technologie neurologique de pointe à des fins criminelles : habiter le corps d’une personne dans le but de la pousser à tuer aux profits de clients très riches. Tout se complique pour Tasya lorsqu’elle se retrouve dans le corps d’un homme dont l’appétit pour le meurtre et la violence dépasse de très loin le sien… Au point de la déposséder de sa propre identité ?,227 500
Tove,01/03/2023,,103.0,Zaida Bergroth, Outplay Films ,"Alma Pöysti,Krista Kosonen,Shanti Roney",,"Finlande,Suède",Finnois,Long-métrage,2020,-,"2,8","3,1",4 articles de presse,,"Femme libre, artiste, écrivain,… Qui est Tove Jansson, la célèbre créatrice des Moomins ? De la bohême d’Helsinki au Paris d’après Guerre, TOVE nous emporte dans le tourbillon de sa vie d’artiste et de son amour dévorant pour Vivica Bandler, et nous invite dans son imaginaire : la vallée des Moomins.",2 306
Vaurien,09/06/2021,Drame,95.0,Peter Dourountzis, Rezo Films ,"Pierre Deladonchamps,Ophélie Bau,Sébastien Houbani",,,Français,Long-métrage,2020,-,"3,0","2,5",23 articles de presse,1 prix et 2 nominations,,4 233
The Night,,"Thriller,Epouvante-horreur",105.0,Kourosh Ahari, First International Production ,"Shahab Hosseini,Niousha Noor,George Maguire (II)",,"U.S.A.,Iran","Anglais, Perse",Long-métrage,2020,-,"1,7",,34 Critiques Spectateurs,,"Après avoir dîné chez des amis dans la banlieue de Los Angeles, un couple avec leur bébé décide de rentrer chez eux malgré l’heure tardive et l’excès d’alcool. Sur le chemin du retour, ils tombent en panne de GPS et se perdent. Vaincus par la fatigue, ils doivent trouver un endroit où passer la nuit, quand leur route les amène à l’Hôtel Normandie... La nuit s’annonce être sans fin...",11 010
Tendre Et Saignant,19/01/2022,Romance,91.0,Christopher Thompson, Orange Studio Distribution / UGC Distribution ,"Géraldine Pailhas,Arnaud Ducret,Alison Wheeler",,,Français,Long-métrage,2020,"4,2 M€","2,9","2,9",10 articles de presse,,"Rédactrice en chef d’un magazine de mode, Charly hérite de la boucherie familiale. Alors qu’elle s’apprête à la vendre, elle rencontre Martial, l’artisan-boucher de son père, bien décidé à se battre pour sauver le commerce. Séduite malgré elle par le charisme de Martial, Charly pourrait être amenée à changer d’avis…",72 295
L'Esprit de famille,29/01/2020,Drame,99.0,Eric Besnard, Apollo Films ,"Guillaume De Tonquédec,François Berléand,Josiane Balasko",,,Français,Long-métrage,2020,5 400 000 €,"2,6","2,3",11 articles de presse,,"Alexandre s'embrouille une nouvelle fois avec son père Jacques. A priori, il ne devrait pas, car ce dernier vient de décéder, mais Jacques, ou plutôt son esprit, est bien là, à râler à ses côtés. Et comme Alexandre est le seul à le voir et donc à lui parler, sa mère, sa femme et son frère commencent à s’inquiéter de son étrange comportement.",122 373
The Rental,19/08/2020,Thriller,88.0,Dave Franco, Metropolitan FilmExport ,"Dan Stevens,Alison Brie,Sheila Vand",,,Anglais,Long-métrage,2020,-,"2,3","2,0",4 articles de presse,,"Deux couples louent une sublime maison face à l’océan pour un week-end de fête. Les quatre amis comprennent très vite que derrière la beauté de l’endroit, un danger les guette : une présence mystérieuse semble les espionner et révèle des secrets inavouables sur chacun d’eux. La tension monte et le week-end de rêve va virer au cauchemar absolu…",45 458
Vanille,02/02/2022,Famille,43.0,Guillaume Lorin, Gebeka Films ,"Marie-Eva Phaan,Macéo Carole,Tricia Evy",,,Français,Long-métrage,2020,-,"3,9","3,2",3 Critiques Spectateurs,,,6 401
United fight,,Policier,101.0,,," Ice-T,Robert Clohessy,Jules Willcox",Equal Standard,,Anglais,Long-métrage,2020,-,"2,6",,3 Critiques Spectateurs,,"La vie d'officiers de police de New York s'entremêlent dans des histoires d'ethnies, de rang, de pertes et de trahisons.",15 938
Hunter Hunter,,Thriller,93.0,Shawn Linden,,"Camille Sullivan,Summer H. Howell,Devon Sawa",,,Anglais,Long-métrage,2020,-,"2,2",,21 Critiques Spectateurs,,"Joseph Mersault, sa femme Anne et leur fille Renée vivent dans une région sauvage et reculée. Le père gagne sa vie comme trappeur mais depuis quelques temps, les affaires vont mal. Joseph pense qu'un loup est responsable de cela. Il est déterminé à le traquer et à l'abattre laissant sa femme et sa fille, seules dans leur maison au milieu de la nature hostile. Bientôt, elles entendent un bruit étrange à l'extérieur de leur cabane, Anne espère que c'est Joseph mais trouve à la place un homme nommé Lou, qui a été gravement blessé et laissé pour mort. Et si le mystérieux prédateur n'était autre que Lou ? Pourquoi Joseph ne revient pas auprès des siens ?",12 010
