titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Many Saints Of Newark - Une histoire des Soprano,03/11/2021,Drame,123,Alan Taylor, Warner Bros. France ,"Alessandro Nivola,Leslie Odom Jr.,Vera Farmiga",The Many Saints Of Newark,,Anglais,Long-métrage,2021,-,"3,0","2,7",19 articles de presse,,"Avant d’être une légende du crime, Tony Soprano a fait ses gammes auprès de son oncle, Dickie Moltisanti. Dans un contexte explosif de guerre des gangs, cet intraitable parrain a ouvert les portes de la mafia à son neveu."
Belfast,02/03/2022,,99,Kenneth Branagh, Universal Pictures International France ,"Caitriona Balfe,Jamie Dornan,Jude Hill",,,Anglais,Long-métrage,2021,-,"3,3","3,7",28 articles de presse,3 prix et 16 nominations,"Été 1969 : Buddy, 9 ans, sait parfaitement qui il est et à quel monde il appartient, celui de la classe ouvrière des quartiers nord de Belfast où il vit heureux, choyé et en sécurité."
Mystère à Saint-Tropez : une enquête de l'inspecteur Boulin,14/07/2021,,91,Nicolas Benamou, StudioCanal ,"Christian Clavier,Benoît Poelvoorde,Thierry Lhermitte",Mystère à Saint-Tropez,"France,Belgique",Français,Long-métrage,2021,-,"3,0","1,6",5 articles de presse,,"Août 1970, en pleine période yéyé. Comme chaque année, le milliardaire Claude Tranchant et sa femme Eliane ont invité le gratin du show-business dans leur somptueuse villa tropézienne. Rien ne semble pouvoir gâcher les festivités, si ce n'est l'inquiétant sabotage de la décapotable du couple. Persuadé d'être victime d'une tentative de meurtre, Tranchant fait appel à son ami Chirac pour bénéficier des services du meilleur flic de Paris. Mais au coeur de l'été, seul le commissaire Boulin, à quelques semaines de la retraite, est disponible. Aussi arrogant qu'incompétent, c'est avec des méthodes toutes personnelles que le policier va se lancer sur les traces du trouble-fête."
Rumba la vie,24/08/2022,,103,Franck Dubosc, Gaumont Distribution ,"Franck Dubosc,Louna Espinosa,Jean-Pierre Darroussin",,,Français,Long-métrage,2021,-,"3,5","3,4",16 articles de presse,2 nominations,"Tony, la cinquantaine, chauffeur d’autobus scolaire renfermé sur lui-même, vit seul après avoir abandonné femme et enfant vingt ans plus tôt. Bousculé par un malaise cardiaque, il trouve le courage nécessaire pour affronter son passé et s’inscrire incognito dans le cours de danse dirigé par sa fille, qu’il n’a jamais connue, dans le but de la (re)conquérir et de donner un sens à sa vie."
"Miraculous World : Shanghai, la légende de Ladydragon",04/04/2021,"Action,Aventure,Famille,Fantastique,Romance",52,Thomas Astruc, TF1 ,"Anouck Hautbois,Benjamin Bollen",Miraculous World: Shanghai – The Legend of Lady Dragon,"U.S.A.,France","Français, Anglais",Télefilm,2021,-,"3,3",,,,"Ce sont les vacances et tout va bien pour Marinette… jusqu’à ce qu’elle apprenne qu'Adrien a dû partir avec son père pour Shanghai, en Chine. Heureusement, c’est là qu’habite son Oncle Wang, dont l’anniversaire approche. Pour retrouver Adrien et découvrir ses origines, Marinette décide d’aller donner en mains propres son cadeau à Oncle Wang. Mais peu après son arrivée, Marinette perd toutes ses affaires, dont son sac, Tikki… et le Miraculous de la coccinelle qui lui permet de devenir Ladybug ! Pour les retrouver, elle va faire équipe avec Fei, ignorant que c'est celle qui a volé ses affaires !"
Serre Moi Fort,08/09/2021,,97,Mathieu Amalric, Gaumont Distribution ,"Vicky Krieps,Arieh Worthalter,Aurélia Petit",,,"Français, Allemand",Long-métrage,2021,-,"3,8","3,3",29 articles de presse,1 prix et 3 nominations,
À quel prix ?,,"Judiciaire,Drame",118,Sara Colangelo,,"Michael Keaton,Amy Ryan,Stanley Tucci",Worth,,Anglais,Long-métrage,2021,-,"3,6",,20 Critiques Spectateurs,,"Retour sur le parcours de l'avocat bénévole Kenneth Feinberg, expert dans la rémunération des victimes comme ceux des attentats du 11 septembre 2001, de la marée noire de Deepwater Horizon, de l’attentat du marathon de Boston ou encore la fusillade terroriste à Orlando."
Blood Red Sky,,"Epouvante-horreur,Thriller",121,Peter Thorwarth,,"Peri Baumeister,Carl Koch (III),Alexander Scheer",,"Allemagne,U.S.A.","Anglais, Allemand",Long-métrage,2021,-,"2,5",,131 Critiques Spectateurs,,"Lorsque des terroristes tentent de détourner leur vol, une femme voyageant avec son fils et atteinte d'une maladie mystérieuse est forcée de dévoiler un sombre secret."
Le Monde de John,,Thriller,104,Pascual Sisto,"
1 prix et 5 nominations
","Charlie Shotwell,Michael C. Hall,Jennifer Ehle",John and the Hole,,Anglais,Long-métrage,2021,-,"1,5",,24 Critiques Spectateurs,1 prix et 5 nominations,"John ressemble à tous les collégiens de son âge ; élève moyen, il aime jouer aux jeux vidéo en ligne avec ses copains. En famille aussi, il se sent bien… Un jour, il découvre, par hasard, au fond de son jardin, un vieux bunker. Contre toute attente, il décide d’y enfermer sa sœur et ses parents après les avoir drogués..."
La Vie Extraordinaire de Louis Wain,,Drame,111,Will Sharpe,,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough",The Electrical Life of Louis Wain,,Anglais,Long-métrage,2021,-,"3,4",,25 Critiques Spectateurs,,"En Angleterre, à la fin du XIXe siècle, aîné de six enfants, Louis Wain est contraint de subvenir aux besoins de sa mère et de ses soeurs après le décès de son père. Il devient illustrateur et se faire remarquer par ses dessins de chats. Parallèlement, il tombe amoureux de la gouvernante de ses soeurs, Emily."
Inexorable,06/04/2022,,99,Fabrice Du Welz, The Jokers / Les Bookmakers ,"Benoît Poelvoorde,Alba Gaia Bellugi,Mélanie Doutey",,"France,Belgique",Français,Long-métrage,2021,-,"3,3","2,9",30 articles de presse,,"À la mort de son père, éditeur célèbre, Jeanne Drahi emménage dans la demeure familiale en compagnie de son mari, Marcel Bellmer, écrivain à succès, et de leur fille. Mais une étrange jeune fille, Gloria, va s’immiscer dans la vie de la famille et bouleverser l’ordre des choses..."
La Traversée,29/09/2021,Drame,84,Florence Miailhe, Gebeka Films ,"Emilie Lan Dürr,Florence Miailhe,Maxime Gémin",,,Français,Long-métrage,2021,-,"4,2","3,9",26 Critiques Spectateurs,2 prix et 5 nominations,"Un village pillé, une famille en fuite et deux enfants perdus sur les routes de l’exil..."
Escape Game 2 - Le Monde est un piège,11/08/2021,Thriller,88,Adam Robitel, Sony Pictures Releasing France ,"Taylor Russell,Logan Miller,Thomas Cocquerel",Escape Room: Tournament of Champions,,Anglais,Long-métrage,2021,-,"2,1","2,6",10 articles de presse,,"Escape Game 2 - Le Monde est un piège est la suite du thriller psychologique à succès qui a terrifié les spectateurs à travers le monde. Dans cet opus, six personnes se retrouvent involontairement enfermés dans une nouvelle succession d'escape games. Ils découvrent peu à peu leurs points communs qui peuvent leur permettre de survivre... et se rendent compte qu'ils ont déjà tous joué à ce jeu auparavant."
The Witcher : le cauchemar du Loup,,"Fantastique,Epouvante-horreur",83,Kwang Il Han,,"Theo James,Graham McTavish,Mary McDonnell",The Witcher: Nightmare Of The Wolf,"U.S.A.,Corée du Sud",Anglais,Long-métrage,2021,-,"3,8",,25 Photos,,"Ce spin-off animé se concentrera sur le mentor de Geralt, Vesemir et certainement sur les origines de Kaer Morhen, le sanctuaire des sorceleurs. Vesemir est une véritable figure paternelle de Geralt de Riv. L'histoire explorera ses premières années en tant que Witcher après que le mystérieux Deglan l'ait revendiqué par le biais de la loi de la surprise."
Je suis toutes les filles,,,107,Donovan Marsh,,"Hlubi Mboya,Erica Wessels,Deon Lotz",I Am All Girls,,Anglais,Long-métrage,2021,-,"3,2",,23 Critiques Spectateurs,,Un détective trouve un terrain d'entente avec un tueur s'en prenant aux auteurs d'un puissant réseau de trafic d'enfants.
Yara,,"Drame,Policier",94,Marco Tullio Giordana,,"Isabella Ragonese,Alessio Boni,Thomas Trabacchi",,,Italien,Long-métrage,2021,-,"3,2",,22 Critiques Spectateurs,,"Hantée par la disparition d'une enfant de 13 ans, une procureure déterminée ne recule devant rien pour découvrir la vérité sur l'affaire. Inspiré d'une histoire vraie."
Yes Day,,Famille,86,Miguel Arteta,,"Jennifer Garner,Édgar Ramírez,Jenna Ortega",,,Anglais,Long-métrage,2021,-,"2,4",,46 Critiques Spectateurs,,"Un couple de parents décide de dire ""oui"" à tout pendant 24 heures. Avec leurs demandes les plus folles, ses enfants lui font passer une journée mémorable."
Sans répit,,"Thriller,Policier",96,Régis Blondeau,,"Franck Gastambide,Simon Abkarian,Michaël Abiteboul",,,Français,Long-métrage,2021,-,"2,8","1,9",4 articles de presse,,"Alors qu'il fait l'objet d'une enquête pour corruption, le lieutenant Thomas Blin doit se rendre en pleine nuit aux funérailles de sa mère. En voulant éviter un chien sur le route, il percute accidentellement un homme et le tue sur le coup. Paniqué, il décide de cacher le corps. Croyant être tiré d'affaires, il se retrouve embarqué dans une spirale infernale, quand l'enquête sur l'individu disparu est confiée à un de ses collègues, et qu'un mystérieux témoin tente de le faire chanter..."
Présidents,30/06/2021,,100,Anne Fontaine, Universal Pictures International France ,"Jean Dujardin,Grégory Gadebois,Doria Tillier",,,Français,Long-métrage,2021,-,"3,5","2,6",30 articles de presse,,"Nicolas, un ancien Président de la République, supporte mal l’arrêt de sa vie politique. Les circonstances lui permettent d’espérer un retour sur le devant de la scène. Mais il lui faut un allié. Nicolas va donc partir en Corrèze, pour convaincre François, un autre ancien Président (qui, lui, coule une retraite heureuse à la campagne) de faire équipe avec lui. François se pique au jeu, tandis que Nicolas découvre que le bonheur n’est peut-être pas là où il croyait… Et leurs compagnes respectives, elles, vont bientôt se mettre de la partie."
Awake,,"Thriller,Drame",96,Mark Raso,,"Gina Rodriguez,Ariana Greenblatt,Lucius Hoyos",,,Anglais,Long-métrage,2021,-,"2,0","1,8",6 articles de presse,,"Après qu'une catastrophe planétaire prive l'humanité de ses appareils électroniques et de son sommeil, le monde plonge soudain dans le chaos. Jill, une ex-soldate au passé trouble, semble être la seule à détenir la clef permettant de trouver un remède universel : sa fille. Mais Jill peut-elle la protéger et sauver l'humanité avant de perdre la raison à son tour ?"
Robuste,02/03/2022,"Drame,Comédie",95,Constance Meyer, Diaphana Distribution ,"Gérard Depardieu,Déborah Lukumuena,Lucas Mortier",,"France,Belgique",Français,Long-métrage,2021,"3,349 M€","3,6","2,6",30 articles de presse,2 nominations,"Lorsque son bras droit et seul compagnon doit s’absenter pendant plusieurs semaines, Georges, star de cinéma vieillissante, se voit attribuer une remplaçante, Aïssa. Entre l’acteur désabusé et la jeune agente de sécurité, un lien unique va se nouer."
Dans les angles morts,,Thriller,119,Robert Pulcini,,"James Norton,Amanda Seyfried,Ana Sophia Heger",Things Heard And Seen,,Anglais,Long-métrage,2021,-,"2,8","2,1",5 articles de presse,,
Swan Song,,Science fiction,112,Benjamin Cleary,"
2 nominations
","Mahershala Ali,Naomie Harris, Awkwafina",,,Anglais,Long-métrage,2021,-,"4,0","3,6",3 articles de presse,2 nominations,Dans un avenir proche. Jusqu'où un homme est prêt à faire des sacrifices pour rendre la vie plus agréable aux gens qu'il aime ?
Les Folies fermières,11/05/2022,Drame,109,Jean-Pierre Améris, Apollo Films ,"Alban Ivanov,Sabrina Ouazani,Michèle Bernier",,,Français,Long-métrage,2021,-,"3,3","3,2",10 articles de presse,,
Halloween Kills,20/10/2021,,106,David Gordon Green, Universal Pictures International France ,"Jamie Lee Curtis,Judy Greer,Andi Matichak",,,Anglais,Long-métrage,2021,-,"2,2","2,3",18 articles de presse,,"Laurie Strode, sa fille Karen et sa petite fille Allyson viennent d’abandonner le monstre au célèbre masque, enfermé dans le sous-sol de la maison dévorée par les flammes. Grièvement blessée, Laurie est transportée en urgence à l’Hôpital, avec la certitude qu’elle vient enfin de se débarrasser de celui qui la harcèle depuis toujours. Mais Michael Myers parvient à s’extirper du piège où Laurie l’avait enfermé et son bain de sang rituel recommence. Surmontant sa douleur pour se préparer à l’affronter encore une fois, elle va inspirer la ville entière qui décide de l’imiter et de se soulever pour exterminer ce fléau indestructible. Les trois générations de femmes vont s’associer à une poignée de survivants du premier massacre, et prennent les choses en main en formant une milice organisée autour de la chasse et la destruction du monstre une fois pour toutes. Le mal meurt cette nuit."
Compartiment N°6,03/11/2021,Comédie,102,Juho Kuosmanen, Haut et Court ,"Seidi Haarla,Yuriy Borisov,Dinara Drukarova",Hytti nro 6,"Finlande,Russie,Estonie,Allemagne","Russe, Finnois",Long-métrage,2021,-,"3,9","3,8",24 articles de presse,2 prix et 13 nominations,Une jeune Finlandaise prend un train à Moscou pour se rendre sur un site archéologique en mer arctique. Elle est contrainte de partager son compartiment avec un inconnu. Cette cohabitation et d’improbables rencontres vont peu à peu rapprocher ces deux êtres que tout oppose.
Spirale : L'Héritage de Saw,21/07/2021,Thriller,93,Darren Lynn Bousman, Metropolitan FilmExport ,"Chris Rock,Max Minghella,Samuel L. Jackson",Spiral: From The Book Of Saw,,Anglais,Long-métrage,2021,-,"2,8","2,0",23 articles de presse,,"Travaillant dans l'ombre de son père, une légende locale de la police, le lieutenant Ezekiel «Zeke» Banks et son nouveau partenaire enquêtent sur une série de meurtres macabres dont le mode opératoire rappelle étrangement celui d’un tueur en série qui sévissait jadis dans la ville. Pris au piège sans le savoir, Zeke se retrouve au centre d’un stratagème terrifiant dont le tueur tire les ficelles."
SAS: Rise of the Black Swan,,Action,124,Magnus Martens,,"Sam Heughan,Ruby Rose,Andy Serkis",SAS: Red Notice,"Grande-Bretagne,Hongrie,Pays-Bas,Suisse",Anglais,Long-métrage,2021,-,"2,1",,64 Critiques Spectateurs,,"Un membre du Special Air Service, Tom Buckingham, tente de sauver 400 otages retenus par des criminels de guerre dans le tunnel sous la Manche."
La Proie d'une ombre,15/09/2021,"Epouvante-horreur,Fantastique",108,David Bruckner, The Walt Disney Company France ,"Rebecca Hall,Sarah Goldberg,Vondie Curtis-Hall",The Night House,,Anglais,Long-métrage,2021,-,"2,7","2,6",14 articles de presse,5 nominations,"Déchirée par la mort brutale de son mari, Beth se retrouve seule dans la maison au bord du lac qu’il avait construite pour elle. Elle s’efforce de faire face, mais d’inexplicables cauchemars font leur apparition. Dans de troublantes visions, une présence insaisissable semble l’appeler..."
Le Dernier Mercenaire,,Action,112,David Charhon,,"Jean-Claude Van Damme,Alban Ivanov,Samir Decazza",,,Français,Long-métrage,2021,-,"2,4","2,0",5 articles de presse,,"Richard Brumère dit « La brume » une véritable légende des services secrets, disparu depuis des années, est de retour en France. L’immunité qu'il avait négociée il y a vingt-cinq ans pour son fils caché, Archibald, est étrangement levée. Pour le sauver d'une opération mafieuse dont il est innocent mais qui pourrait lui coûter la vie, La Brume va devoir réactiver ses contacts un peu vieillissants, faire équipe avec une bande de jeunes plus ou moins téméraires, affronter un bureaucrate zélé, gérer les rapports père-fils nouveau pour lui, mais surtout trouver le courage de révéler à Archibald qu’il est son père."
The Dig,,Historique,112,Simon Stone,"
5 nominations
","Ralph Fiennes,Carey Mulligan,Lily James",,,Anglais,Long-métrage,2021,-,"4,0","3,7",6 articles de presse,5 nominations,"Une riche veuve engage un archéologue amateur pour exhumer une sépulture dans sa propriété. Ils découvrent alors un ancien navire funéraire saxon et son trésor qui pourrait bouleverser l’histoire de l’humanité. Ensemble, ils doivent se serrer les coudes face au British Museum qui entend bien s’emparer du vaisseau en prétendant l’avoir découvert …"
Charlotte,09/11/2022,"Drame,Historique,Biopic",92,Eric Warin, Nour Films ,"Marion Cotillard,Keira Knightley,Romain Duris",,"Canada,France,Belgique",Français,Long-métrage,2021,-,"3,4","3,7",31 Critiques Spectateurs,,"Charlotte Salomon est une jeune peintre juive allemande, dont le destin bascule à la veille de la Seconde Guerre mondiale. Face au tourbillon de l’histoire et à la révélation d’un secret de famille, seul un acte extraordinaire pourra la sauver. Elle entame alors l’oeuvre de sa vie..."
Spider-Man : No Way Home - Version longue,07/09/2022,"Aventure,Science fiction",157,Jon Watts, Sony Pictures Releasing France ,"Tom Holland, Zendaya,Benedict Cumberbatch",Spider-Man: No Way Home (Re-Release),,Anglais,Long-métrage,2021,-,"3,3",,16 Critiques Spectateurs,,Version longue de Spider-Man: No Way Home.
Onoda - 10 000 nuits dans la jungle,21/07/2021,"Guerre,Historique",167,Arthur Harari, Le Pacte ,"Yûya Endô,Kanji Tsuda,Yuya Matsuura",Onoda,"France,Japon,Allemagne,Belgique,Italie,Cambodge",Japonais,Long-métrage,2021,-,"4,4","4,0",27 articles de presse,1 prix et 14 nominations,"Fin 1944. Le Japon est en train de perdre la guerre. Sur ordre du mystérieux Major Taniguchi, le jeune Hiroo Onoda est envoyé sur une île des Philippines juste avant le débarquement américain. La poignée de soldats qu'il entraîne dans la jungle découvre bientôt la doctrine inconnue qui va les lier à cet homme : la Guerre Secrète. Pour l'Empire, la guerre est sur le point de finir. Pour Onoda, elle s'achèvera 10 000 nuits plus tard."
Tromperie,29/12/2021,Romance,105,Arnaud Desplechin, Le Pacte ,"Denis Podalydès,Léa Seydoux,Emmanuelle Devos",,,Français,Long-métrage,2021,-,"3,6","2,3",26 articles de presse,,
The Harder They Fall,,Drame,136,Jeymes Samuel,"
# prix
","Jonathan Majors,Idris Elba,Zazie Beetz",,,Anglais,Long-métrage,2021,-,"3,5","2,9",13 articles de presse,,"Décidé à se venger, le hors-la-loi Nat Love enfourche son cheval avec sa bande pour régler son compte à son ennemi Rufus Buck, un cruel chef de gang échappé de prison."
Mes frères et moi,05/01/2022,,108,Yohan Manca, Ad Vitam ,"Maël Rouin Berrandou,Judith Chemla,Dali Benssalah",,,Français,Long-métrage,2021,-,"3,7","4,0",23 articles de presse,9 nominations,
Le Passager nº4,,"Thriller,Drame",116,Joe Penna,,"Anna Kendrick,Toni Collette,Daniel Dae Kim",Stowaway,"U.S.A.,Allemagne",Anglais,Long-métrage,2021,-,"3,0","2,1",9 articles de presse,,Un passager clandestin est découvert au sein d'un vaisseau spatial en direction de la planète Mars. L'équipage se trouve trop loin de la Terre pour faire demi-tour et il n'y a pas assez de ressources alimentaires. Une seule voix s'oppose au sombre dessein que l'équipage prévoit au passager.
Snake Eyes,,"Aventure,Arts Martiaux,Thriller",122,Robert Schwentke,,"Henry Golding,Andrew Koji,Úrsula Corberó",Snake Eyes: G.I. Joe Origins,,Anglais,Long-métrage,2021,-,"2,2",,42 Critiques Spectateurs,,"Snake Eyes, un homme courageux et solitaire, est accueilli au sein du très ancien clan japonais des Arashikage, après avoir sauvé la vie de leur héritier. Le clan fait de lui un grand guerrier, tout en lui offrant ce dont il rêvait depuis longtemps : un foyer. Mais certains secrets de son passé refont surface et Snake Eyes, s’il veut garder la confiance de ceux qui sont désormais ses proches, va devoir mettre à l’épreuve son honneur et sa fidélité au clan."
Great Freedom,09/02/2022,,116,Sebastian Meise, Paname Distribution ,"Franz Rogowski,Georg Friedrich,Anton von Lucke",Große Freiheit,"Autriche,Allemagne",Allemand,Long-métrage,2021,-,"3,5","3,9",13 articles de presse,3 prix et 6 nominations,"L’histoire de Hans Hoffmann. Il est gay et l’homosexualité, dans l’Allemagne d’après guerre, est illégale selon le paragraphe 175 du Code pénal. Mais il s’obstine à rechercher la liberté et l’amour même en prison..."
Aftermath,,Epouvante-horreur,114,Peter Winther,,"Ashley Greene Khoury,Shawn Ashmore,Britt Baron",,"U.S.A.,Canada",Anglais,Long-métrage,2021,-,"2,1",,61 Critiques Spectateurs,,"Un couple à bout de souffle accepte d'emménager dans une maison qui serait au-dessus de leurs moyens si les murs n'avaient pas un passé douteux. Dans une ultime tentative de repartir à zéro, ils acceptent l'offre. Peu de temps après, les amoureux sont victimes de faits étranges..."
Belle et Sébastien : Nouvelle génération,19/10/2022,Famille,97,Pierre Coré, Gaumont Distribution ,"Michèle Laroque,Robinson Mensah-Rouanet,Alice David",,,Français,Long-métrage,2021,-,"3,2","3,1",6 articles de presse,,"Sébastien, 10 ans, passe ses vacances à contrecœur à la montagne chez sa grand-mère et sa tante. Il doit donner un coup de main à la bergerie, rien de bien excitant pour un garçon des villes comme lui… Mais c’est sans compter sur sa rencontre avec Belle, une chienne immense et maltraitée par son maître. Prêt à tout pour éviter les injustices et protéger sa nouvelle amie, Sébastien va vivre l’été le plus fou de sa vie."
Sweet Girl,,,96,Brian Andrew Mendoza,,"Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo",,,Anglais,Long-métrage,2021,-,"2,5",,80 Critiques Spectateurs,,"Un homme jure de venger les responsables de la mort de sa femme, tout en protégeant sa fille, la seule famille qu'il lui reste."
"Tick, Tick…Boom!",,"Drame,Biopic",121,Lin-Manuel Miranda,"
1 prix et 3 nominations
","Andrew Garfield,Vanessa Hudgens,Bradley Whitford",,,Anglais,Long-métrage,2021,-,"3,6","4,0",9 articles de presse,1 prix et 3 nominations,"À l'approche de ses 30 ans, un jeune compositeur prometteur jongle entre l'amour, l'amitié et l'envie de réussir quelque chose de grandiose avant qu'il ne soit trop tard."
Personne ne sort d'ici vivant,,Thriller,85,Santiago Menghini,,"Cristina Rodlo,Marc Menchaca,David Figlioli",No One Gets Out Alive,,Anglais,Long-métrage,2021,-,"1,7",,47 Critiques Spectateurs,,"Ambar est une immigrante qui rêve d'une vie meilleure en Amérique. Contrainte de prendre une chambre dans une pension, elle se retrouve prisonnière d'un cauchemar sans issue."
Compétition officielle,01/06/2022,,114,Mariano Cohn, Wild Bunch Distribution ,"Penélope Cruz,Antonio Banderas,Oscar Martinez",Competencia oficial,"Espagne,Argentine",Espagnol,Long-métrage,2021,-,"3,5","3,5",26 articles de presse,3 nominations,"Un homme d'affaires milliardaire décide de faire un film pour laisser une empreinte dans l'Histoire. Il engage alors les meilleurs : la célèbre cinéaste Lola Cuevas, la star hollywoodienne Félix Rivero et le comédien de théâtre radical Iván Torres. Mais si leur talent est grand… leur ego l’est encore plus !"
La Traque,15/03/2021,"Judiciaire,Policier",90,Yves Rénier, TF1 ,"François-Xavier Demaison,Mélanie Bernier,Isabelle Gélinas",,,Français,Long-métrage,2021,-,"3,3","3,0",6 articles de presse,,"Le 26 juin 2003, Michel Fourniret est arrêté pour tentative d’enlèvement sur mineure. Il ne risque, au mieux, que quelques mois de prison. Pourtant les policiers sont convaincus d'avoir affaire à un tueur en série. Mais ils n'ont aucune preuve... Fourniret n’avoue rien, ne craque pas. Une personne, pourtant, doit savoir : sa femme, Monique Olivier. Que sait-elle ? Est-elle témoin ? Complice ? Mais surtout comment la faire parler ?"
Trigger Point,,Thriller,80,Michael Vickerman,,"Barry Pepper,Laura Vandervoort,Colm Feore",,,Anglais,Long-métrage,2021,-,"1,9",,11 Critiques Spectateurs,,"Nicolas Shaw est un agent spécial américain à la retraite. Parallèlement, il fait partie d'une équipe d'élite "" secrète "" qui élimine les pires tueurs du monde. Après avoir été accusé de l'assassinat d'un membre de son équipe, Nicolas Shaw doit laver son nom et empêcher le meurtre des autres agents..."
