titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Petite Nature,09/03/2022,Comédie,95,Samuel Theis, Ad Vitam ,"Aliocha Reinert,Antoine Reinartz,Mélissa Olexa",,,Français,Long-métrage,2021,-,"4,1","4,0",29 articles de presse,1 prix et 6 nominations,"Johnny a dix ans. Mais à son âge, il ne s’intéresse qu’aux histoires des adultes. Dans sa cité HLM en Lorraine, il observe avec curiosité la vie sentimentale agitée de sa jeune mère. Cette année, il intègre la classe de Monsieur Adamski, un jeune titulaire qui croit en lui et avec lequel il pousse la porte d’un nouveau monde."
Malignant,01/09/2021,Thriller,111,James Wan, Warner Bros. France ,"Annabelle Wallis,Maddie Hasson,George Young",,,Anglais,Long-métrage,2021,-,"2,8","2,8",6 articles de presse,,"La vie de Madison Mitchell est perturbée lorsque de terribles visions viennent la hanter. Quelle est cette créature malveillante qui la poursuit et commet ces meurtres atroces ? Une nouvelle histoire originale par James Wan, le maitre de l’horreur."
La Pat’ Patrouille - Le film,11/08/2021,"Famille,Aventure,Comédie",86,Cal Brunker, Paramount Pictures France ,"Iain Armitage, Valentina,Marsai Martin",Paw Patrol: The Movie,"U.S.A.,Canada",Anglais,Long-métrage,2021,-,"3,0","2,8",70 Critiques Spectateurs,,"La Pat’ Patrouille part en mission pour sa première grande aventure au cinéma ! Près de chez eux, leur plus grand rival, Monsieur Hellinger, devient le maire d' Aventureville et commence à semer le trouble. C'est à Ryder et les chiens intrépides de la Pat’ Patrouille de plonger dans l'action pour l'arrêter. Tandis que l'un de nos héros se voit confronté à son passé dans cette nouvelle ville, l’équipe va trouver une nouvelle alliée : Liberty, une teckel futée et pleine d'énergie. Équipée de gadgets inédits et de nouveaux équipements, la Pat’ Patrouille va voler au secours des citoyens d’Aventureville. Aucune mission n'est trop dure car la Pat' Patrouille assure !"
Sans aucun remords,,"Thriller,Espionnage",110,Stefano Sollima,,"Michael B. Jordan,Jodie Turner-Smith,Jamie Bell",Tom Clancy's Without Remorse,,Anglais,Long-métrage,2021,-,"3,1","2,8",13 articles de presse,,Dans
Super-héros malgré lui,02/02/2022,Action,82,Philippe Lacheau, StudioCanal ,"Philippe Lacheau,Julien Arruti,Tarek Boudali",,,Français,Long-métrage,2021,-,"2,6","3,0",19 articles de presse,,"Apprenti comédien en galère, Cédric décroche enfin son premier rôle dans un film de super-héros. Un soir, alors qu'il emprunte la voiture de tournage, il est victime d'un accident qui lui fait perdre la mémoire. A son réveil, vêtu de son costume de justicier et au milieu des accessoires du film, il est persuadé d'être devenu le personnage du film avec une mission périlleuse à accomplir. Mais n'est pas héros et encore moins super-héros qui veut... Et encore moins Cédric."
En Attendant Bojangles,05/01/2022,"Drame,Comédie",125,Regis Roinsard, StudioCanal ,"Virginie Efira,Romain Duris,Grégory Gadebois",,"France,Belgique",Français,Long-métrage,2021,-,"2,9","3,7",28 articles de presse,,
I Care A Lot,,Comédie,118,J Blakeson,"
# prix
","Rosamund Pike,Eiza Gonzalez,Dianne Wiest",,,Anglais,Long-métrage,2021,-,"3,0","2,8",13 articles de presse,,"Marla Grayson est une tutrice réputée spécialisée auprès d'individus âgés et riches. Aux dépens de ces derniers, elle mène une vie de luxe. Mais sa prochaine victime s'avère avoir de dangereux secrets. Marla va devoir utiliser son esprit et sa ruse si elle souhaite rester en vie..."
Un tour chez ma fille,16/06/2021,,89,Eric Lavaine, Pathé ,"Josiane Balasko,Mathilde Seigner,Jérôme Commandeur",,,Français,Long-métrage,2021,-,"2,0","2,4",5 articles de presse,,
La Place d'une autre,19/01/2022,Historique,112,Aurélia Georges, Pyramide Distribution ,"Lyna Khoudri,Sabine Azéma,Maud Wyler",,,Français,Long-métrage,2021,-,"3,4","3,2",21 articles de presse,,"Nélie a échappé à une existence misérable en devenant infirmière auxiliaire sur le front en 1914. Un jour, elle prend l’identité de Rose, une jeune femme qu’elle a vue mourir sous ses yeux, et promise à un meilleur avenir. Nélie se présente à sa place chez une riche veuve, Eléonore, dont elle devient la lectrice. Le mensonge fonctionne au-delà de ses espérances."
Le terreau de la colère,30/06/2023,,100,Mia Maariel Meyer, Arte ,"Hanno Koffler,Anna Blomeier,Andreas Döhler",Die Saat,,Allemand,Long-métrage,2021,-,"2,8",,2 Critiques Spectateurs,,"Menacés d'expulsion à cause de la gentrification de leur quartier, Rainer, employé du bâtiment, et sa femme Nadine, infirmière, ont dû quitter leur appartement en ville. Avec Doreen, leur fille de 13 ans, ils se sont installés à la campagne dans une bâtisse qu'ils espèrent retaper avant la naissance de leur deuxième enfant. Mais alors que les factures s'accumulent, Rainer est subitement privé du poste de chef de chantier que sa société lui avait fait miroiter. Pour s'en sortir financièrement, Nadine multiplie les gardes de nuit malgré sa grossesse, pendant que son époux tente de trouver un autre emploi. De son côté, Doreen a sympathisé avec Mara, une voisine aux parents bien plus aisés que les siens. Mais l'adolescente, violente, l'incite à commettre des actes qu'elle réprouve..."
