titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Le gourou et les enfants,,,109,Christopher Roth (III), Arte ,"Jana McKinnon,Clemens Schick,Leo Altaras","Servus Papa, See You in Hell",,"Allemand, Français",Long-métrage,2022,-,"3,0",,10 Photos,,"Dans les années 1980, Jeanne, 14 ans, grandit avec d’autres enfants dans une communauté où la liberté sexuelle est érigée en dogme. Pour le plus grand profit d’Otto Mühl, le fondateur de ce qui est à l'origine un projet de vie alternatif à la famille nucléaire... Inspiré d’une histoire vraie, un éclairage cru sur la dérive sectaire d’un artiste à l’utopie radicale."
The Spider,16/03/2023,,131,Ahmad Nader Galal, Night ed films ,"Ahmed el-Sakka,Mona Zaki,Dhaffer L'Abidine",,,Arabe,Long-métrage,2022,-,"2,5",,,,"Un dangereux trafiquant lance une nouvelle drogue sur le marché. Le compte-à-rebours est lancé, la police doit agir très vite…"
Gentle,,,93,Anna Eszter Nemes,,"Eszter Csonka,György Turós,Csaba Krisztik",Szelíd,,Hongrois,Long-métrage,2022,-,"2,8",,1 Critique Spectateur,,"Edina, une femme bodybuilder, est prête à tout sacrifier pour le rêve qu'elle partage avec son partenaire et entraîneur Adam : remporter la Miss Olympia."
In The Heart of the Machine,,Thriller,115,Martin Makariev,,"Bashar Rahal,Hristo Shopov,Alexander Sano",V sŭrtseto na mashinata,,Bulgare,Long-métrage,2022,-,"2,5",,2 Critiques Spectateurs,,Août 1978. Usine sidérurgique de Kremikovtsy (Bulgarie). Une journée de travail typique d'une équipe de détenus dans une prison de haute sécurité va s'avérer fatidique pour chacun d'entre eux.
Ghost in the Shell: SAC_2045 Sustainable War,,"Action,Science fiction",119,Kenji Kamiyama,,"Osamu Saka,Atsuko Tanaka,Kôichi Yamadera",,,Japonais,Long-métrage,2022,-,"2,4",,,,"En 2045, Motoko Kusanagi et la Section 9 affrontent une nouvelle menace redoutable dans cette version long-métrage de la première saison de ""SAC_2045""."
Aníkúlápó,,Fantastique,142,Kunle Afolayan,,"Bimbo Ademoye,Dele Odule,Kunle Remi",,,Anglais,Long-métrage,2022,-,"2,2",,,,"Alors qu'une liaison avec la femme du roi le mène à sa perte, un voyageur enthousiaste rencontre un oiseau mystique qui détient le pouvoir de lui donner une autre chance."
Bring It On: Cheer Or Die,,"Epouvante-horreur,Fantastique",91,Karen Lam,,"Alexandra Beaton,Missi Pyle,Tiera Skovbye",,,Anglais,Long-métrage,2022,-,"2,4",,,,"Lorsqu'une équipe d'encouragement s'entraîne le week-end d'Halloween dans une école abandonnée, ils sont abattus un par un par un tueur inconnu."
Man of God,,,140,,,"Osas Ighodaro,Dorcas Shola Fapson,Mawuli Gavor",M.O.G,,Anglais,Long-métrage,2022,-,"1,8",,1 Critique Spectateur,,Samuel rejette son éducation religieuse sévère pour vivre sa propre vie. Mais son âme demeure prise entre le monde et la foi qu'il a abandonnée.
Plan A Plan B,,Romance,105,Shashanka Ghosh,,"Riteish Deshmukh,Tamannaah Bhatia,Poonam Dhillon",,,Hindi,Long-métrage,2022,-,"2,9",,,,"Quand une marieuse passionnée installe son bureau à côté de celui d'un cynique avocat expert en divorces, leur duel est perturbé par une attirance qui ne cesse de croître."
Aime-moi !,,Drame,88,Eyal Kantor,,"Yoav Keren,Gal Amitai,Mendi Barsheshet",Like Me!,,Hebreu,Long-métrage,2022,-,"3,0",,12 Photos,,"Tom, lycéen, a une vie très mouvementée : 1: Il doit se trouver de toute urgence un nouvel appart sous deux semaines. 2: Il se trouve embarqué dans une relation amoureuse complexe avec un photographe de mode plus âgé que lui; 3. il est secrètement amoureux de son meilleur ami Gilad. De quoi faire perdre la tête à plus d’un...."
Ma sœur a disparu,,Policier,89,Markus Imboden, Arte ,"Heino Ferch,Ronald Kukulies,Sina Bianca Hentschel",Wo ist meine Schwester?,,Allemand,Long-métrage,2022,-,"3,0",,2 Critiques Spectateurs,,"Après avoir fêté son anniversaire dans un bar avec sa sœur jumelle, Amélie disparaît sur le chemin du retour. Jonas, son petit ami, appelle la police le lendemain matin. Prenant l’affaire en main, le commissaire Ingo Thiel monte une cellule spéciale, mais l’enquête piétine : personne n’a croisé la jeune femme au cours de son trajet et on ne lui connaissait pas d’ennemis. Quand les soupçons finissent par se porter sur Jonas, la mère de la disparue défend ce dernier avec véhémence…"
Le Festival des troubadours,,,102,Özcan Alper,,"Kıvanç Tatlıtuğ,Settar Tanrıöğen,Erkan Can",Âşıklar Bayramı,,Turc,Long-métrage,2022,-,"2,6",,4 Critiques Spectateurs,,"Yusuf l'avocat et Ali le Bohème ashik se retrouvent à l'occasion de leur long et peut-être dernier voyage après 25 ans de séparation. Père et fils tentent de résoudre les problèmes liés à leur passé, mais aussi à leur avenir. À travers cette bouleversante quête de pardon, ""Le Festival des troubadours"" offre un voyage à travers l'âme d'une personne pétrie de regrets."
Bromates,,,94,Court Crandall,,"Asif Ali (IV),Harvey J. Alperin,Aris Alvarado",,,Anglais,Long-métrage,2022,-,"2,2",,3 Critiques Spectateurs,,"Deux meilleurs amis, qui rompent en même temps avec leurs copines, décident d'emménager ensemble."
Prithviraj,03/06/2022,"Action,Drame",150,Chandra Prakash Dwivedi, Desi Entertainment Paris ,"Akshay Kumar,Sanjay Dutt,Nalneesh Neel",,,Hindi,Long-métrage,2022,-,"3,0",,1 Critique Spectateur,,"Au 12ème siècle, Le roi rajpoute Prithviraj Chauhan est connu pour sa bravoure et sa notion de justice. Alors qu'il règne vaillamment sur le royaume de Delhi, il doit faire face à un envahisseur sans précédent."
Stowaway,,,94,Declan Whitebloom,,"Ruby Rose,Frank Grillo,Patrick Schwarzenegger",,,Anglais,Long-métrage,2022,-,"2,8",,10 Photos,,Une fêtarde se bat pour survivre après que trois voleurs aient réquisitionné son yacht de luxe.
Les rendez-vous improbables,,,,,," Bastien GUIO, Maryon BERTRAND, Thomas SERAPHINE",,,-,Sérials,2022,-,"3,1",,10 Photos,,
Measure Of Revenge,,,92, Peyfa,,"Bella Thorne,Jake Weary,Melissa Leo",,,Anglais,Long-métrage,2022,-,"2,6",,,,"Le fils de Lillian Cooper meurt mystérieusement. Lorsque le policier chargé de l'enquête conclut à une overdose accidentelle, Lillian mène sa propre enquête qui la conduit à une alliance improbable avec l'ancien dealer de son fils."
Torn Hearts,,,93,Brea Grant,,"Katey Sagal,Shiloh Fernandez,Abby Quinn",,,Anglais,Long-métrage,2022,-,"2,0",,5 Critiques Spectateurs,,"Un duo de musique prometteur se rend dans le manoir isolé de leur idole, une ancienne star de la musique country devenue une recluse. Ce qui commence comme une visite de courtoisie se transforme en une série d'horreurs, obligeant les amis à se confronter à ce qu'ils sont prêts à faire pour réaliser leurs rêves."
