titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Ailleurs si j'y suis,29/03/2023,,103,François Pirot, UFO Distribution ,"Jérémie Renier,Suzanne Clément,Jean-Luc Bideau",,"Belgique,Luxembourg,Suisse,France",Français,Long-métrage,2022,-,"3,1","2,9",16 articles de presse,,"Alors que sa famille et son métier le mettent sous pression, Mathieu, sur un coup de tête, s’enfonce dans la forêt devant chez lui. Et y reste. Face à cette démonstration de liberté, ses proches s’interrogent… Sur lui, sur eux-mêmes, sur le sens de leur vie… Et s’il avait raison ?"
Plus que jamais,16/11/2022,,123,Emily Atef, Jour2fête ,"Vicky Krieps,Gaspard Ulliel,Bjorn Floberg",,"France,Allemagne,Luxembourg,Norvège","Français, Anglais, Norvégien",Long-métrage,2022,5 M€,"3,7","3,6",26 articles de presse,6 nominations,"Hélène et Mathieu sont heureux ensemble depuis de nombreuses années. Le lien qui les unit est profond. Confrontée à une décision existentielle, Hélène part seule en Norvège pour chercher la paix et éprouver la force de leur amour."
Black Panther: Wakanda Forever,09/11/2022,"Aventure,Fantastique",162,Ryan Coogler, The Walt Disney Company France ,"Letitia Wright,Angela Bassett,Danai Gurira",,,Anglais,Long-métrage,2022,-,"2,9","3,1",33 articles de presse,2 prix et 6 nominations,"La Reine Ramonda, Shuri, M’Baku, Okoye et les Dora Milaje luttent pour protéger leur nation des ingérences d’autres puissances mondiales après la mort du roi T’Challa. Alors que le peuple s’efforce d’aller de l’avant, nos héros vont devoir s’unir et compter sur l’aide de la mercenaire Nakia et d’Everett Ross pour faire entrer le royaume du Wakanda dans une nouvelle ère. Mais une terrible menace surgit d’un royaume caché au plus profond des océans : Talokan."
Marinaleda,05/07/2023,Fantastique,51,Louis Seguin, Hippocampe Productions ,"François Rivière (II),Luc Chessel,Pauline Belle",,,Français,Long-métrage,2022,-,"3,3","2,7",4 articles de presse,,"Juillet. Sastefanus et Kyrie font du stop sur les routes de Corrèze. Leur objectif : rejoindre Marinaleda, un village autogéré au cœur de l’Andalousie. Ils n’avancent pas beaucoup... jusqu’à ce que Lise les accueille dans sa voiture. Mais sont-ils vraiment de simples auto-stoppeurs ?"
Le Lycéen,30/11/2022,,123,Christophe Honoré, Memento Distribution ,"Paul Kircher,Vincent Lacoste,Juliette Binoche",,,Français,Long-métrage,2022,-,"3,7","3,6",34 articles de presse,3 nominations,"Lucas a 17 ans quand soudain son adolescence vole en éclats. Avec l’aide de son frère, monté à Paris, et de sa mère, avec qui il vit désormais seul, il va devoir lutter pour apprendre à espérer et aimer de nouveau."
Les Cyclades,11/01/2023,,110,Marc Fitoussi, Memento Distribution ,"Laure Calamy,Olivia Côte,Kristin Scott Thomas",,"France,Belgique,Grèce","Français, Grec",Long-métrage,2022,"5,5 M€","3,1","3,3",26 articles de presse,,"Adolescentes, Blandine et Magalie étaient inséparables. Les années ont passé et elles se sont perdues de vue. Alors que leurs chemins se croisent de nouveau, elles décident de faire ensemble le voyage dont elles ont toujours rêvé. Direction la Grèce, son soleil, ses îles mais aussi ses galères car les deux anciennes meilleures amies ont désormais une approche très différente des vacances… et de la vie !"
Tempête,21/12/2022,"Famille,Drame,Comédie",111,Christian Duguay, Pathé ,"Mélanie Laurent,Pio Marmaï,Kacey Mottet Klein",,,Français,Long-métrage,2022,12 M€,"3,0","3,9",17 articles de presse,,"Née dans le haras de ses parents, Zoé a grandi au milieu des chevaux et n’a qu’un rêve : devenir jockey ! Tempête, une pouliche qu’elle voit naître, va devenir son alter ego. Mais un soir d'orage, Tempête, affolée, renverse Zoé et vient briser son rêve. Elle va pourtant s’accrocher et tenter l'impossible pour renouer avec son destin."
Les Banshees d'Inisherin,28/12/2022,Comédie,114,Martin McDonagh, The Walt Disney Company France ,"Colin Farrell,Brendan Gleeson,Kerry Condon",The Banshees Of Inisherin,"Irlande,U.S.A.",Anglais,Long-métrage,2022,-,"3,8","3,9",31 articles de presse,10 prix et 21 nominations,"Sur Inisherin - une île isolée au large de la côte ouest de l'Irlande - deux compères de toujours, Padraic et Colm, se retrouvent dans une impasse lorsque Colm décide du jour au lendemain de mettre fin à leur amitié. Abasourdi, Padraic n’accepte pas la situation et tente par tous les moyens de recoller les morceaux, avec le soutien de sa sœur Siobhan et de Dominic, un jeune insulaire un peu dérangé. Mais les efforts répétés de Padraic ne font que renforcer la détermination de son ancien ami et lorsque Colm finit par poser un ultimatum désespéré, les événements s’enveniment et vont avoir de terribles conséquences."
À contretemps,05/07/2023,,103,Juan Diego Botto, Condor Distribution ,"Penélope Cruz,Luis Tosar,Christian Checa",En los márgenes,"Espagne,Belgique",Espagnol,Long-métrage,2022,-,"3,6","3,5",17 articles de presse,2 nominations,"Avocat aux fortes convictions sociales, Rafa a jusqu’à minuit pour retrouver la mère d’une fillette laissée seule dans un logement insalubre. A défaut, la police placera la petite en foyer. Dans sa course contre la montre, Rafa croise la route d’Azucena, une femme injustement menacée d’expulsion, et qui pour s’en sortir, tente de provoquer une révolte citoyenne. Alors que les heures défilent implacablement pour ces deux âmes en lutte, Madrid devient le lieu de toutes les colères.."
Les Bad Guys,06/04/2022,"Comédie,Aventure,Famille",100,Pierre Perifel, Universal Pictures International France ,"Pierre Niney,Sam Rockwell,Igor Gotesman",The Bad Guys,,Anglais,Long-métrage,2022,-,"3,6","3,9",150 Critiques Spectateurs,,"LES BAD GUYS, la nouvelle comédie d’aventures de Dreamworks Animations, inspirée par la série éponyme de livres pour enfants à succès, met en scène une bande d’animaux, redoutables criminels de haut vol, qui sont sur le point de commettre leur méfait le plus éclatant : devenir des citoyens respectables."
Mad Heidi,,"Comédie,Action,Aventure",93,Johannes Hartmann,"
1 nomination
","Alice Lucy,Max Rudlinger,Casper Van Dien",,,"Anglais, Suisse allemand",Long-métrage,2022,-,"2,3",,34 Critiques Spectateurs,,Heidi est de retour… pour se venger. La petite fille des Alpes devenue adulte part en croisade dans une Suisse totalitaire contre un magnat du fromage mégalo.
Le Parfum vert,21/12/2022,Policier,101,Nicolas Pariser, Diaphana Distribution ,"Sandrine Kiberlain,Vincent Lacoste,Rüdiger Vogler",,,Français,Long-métrage,2022,7 M€,"3,5","2,3",32 articles de presse,,"En pleine représentation, un comédien de la Comédie-Française est assassiné par empoisonnement. Martin, membre de la troupe témoin direct de cet assassinat, est bientôt soupçonné par la police et pourchassé par la mystérieuse organisation qui a commandité le meurtre. Aidé par une dessinatrice de bandes dessinées, Claire, il cherchera à élucider ce mystère au cours d'un voyage très mouvementé en Europe."
Le Retour des hirondelles,08/02/2023,,133,Li Ruijun, ARP Sélection ,"Wu Renlin, Hai-Qing",Yin Ru Chen Yan,,Chinois,Long-métrage,2022,-,"4,1","4,2",24 articles de presse,9 nominations,"C’est l’histoire d’un mariage arrangé, entre deux êtres méprisés par leurs familles. Entre eux, la timidité fait place à l’affection. Autour d’eux, la vie rurale se désagrège…"
Une belle course,21/09/2022,"Drame,Comédie",91,Christian Carion, Pathé ,"Line Renaud,Dany Boon,Alice Isaaz",,,Français,Long-métrage,2022,"7,94 M€","3,1","3,9",16 articles de presse,,"Madeleine, 92 ans, appelle un taxi pour rejoindre la maison de retraite où elle doit vivre désormais. Elle demande à Charles, un chauffeur un peu désabusé, de passer par les lieux qui ont compté dans sa vie, pour les revoir une dernière fois. Peu à peu, au détour des rues de Paris, surgit un passé hors du commun qui bouleverse Charles. Il y a des voyages en taxi qui peuvent changer une vie…"
L'Origine du mal,05/10/2022,Thriller,125,Sébastien Marnier, The Jokers / Les Bookmakers ,"Laure Calamy,Doria Tillier,Dominique Blanc",,"France,Canada",Français,Long-métrage,2022,"3,5M€","3,5","3,6",28 articles de presse,,"Dans une luxueuse villa en bord de mer, une jeune femme modeste retrouve une étrange famille : un père inconnu et très riche, son épouse fantasque, sa fille, une femme d’affaires ambitieuse, une ado rebelle ainsi qu’une inquiétante servante."
Le Nouveau Jouet,19/10/2022,,112,James Huth, Sony Pictures Releasing France ,"Jamel Debbouze,Daniel Auteuil,Simon Faliu",,,Français,Long-métrage,2022,"12,5 M€","3,5","2,5",16 articles de presse,,"Sami vit heureux dans une cité de banlieue, entre ses amis, voisins et sa femme Alice. Pour l’anniversaire de son fils, l’homme le plus riche de France fait ouvrir le grand magasin qui lui appartient. Alexandre choisit Sami, le gardien de nuit, comme nouveau jouet..."
Le Processus de paix,14/06/2023,Comédie dramatique,92,Ilan Klipper, Le Pacte ,"Camille Chamoux,Damien Bonnard,Ariane Ascaride",,,Français,Long-métrage,2022,-,"3,6","2,6",30 articles de presse,,"Quand on s’aime mais qu’on ne se supporte plus, qu’est-ce qu’on fait ?"
Le Sixième enfant,28/09/2022,,92,Léopold Legrand, Pyramide Distribution ,"Sara Giraudeau,Benjamin Lavernhe,Judith Chemla",,,Français,Long-métrage,2022,"3,5 M€","3,8","3,9",27 articles de presse,5 prix et 6 nominations,"Franck, ferrailleur, et Meriem ont cinq enfants, un sixième en route, et de sérieux problèmes d’argent. Julien et Anna sont avocats et n’arrivent pas à avoir d’enfant. C’est l’histoire d’un impensable arrangement."
Black Crab,,Action,112,Adam Berg,,"Noomi Rapace,David Dencik,Aliette Opheim",Svart krabba,,Suédois,Long-métrage,2022,-,"3,5","2,4",4 articles de presse,,"Dans un futur apocalyptique, une soldate doit traverser une mer gelée dans le cadre d'une mission secrète désespérée qui pourrait arrêter la guerre civile dans son pays."
Les Rascals,11/01/2023,,105,Jimmy Laporal-Tresor, The Jokers / Les Bookmakers ,"Jonathan Feltre,Angelina Woreth,Missoum Slimani",,,Français,Long-métrage,2022,-,"3,4","3,2",26 articles de presse,,"Les Rascals, une bande de jeunes de banlieue, profite de la vie insouciante des années 80. Chez un disquaire, l’un d’eux reconnait un skin qui l’avait agressé et décide de se faire justice lui-même. Témoin de la scène, la jeune sœur du skin se rapproche d’un étudiant extrémiste qui lui promet de se venger des Rascals. Alors que l’extrême droite gagne du terrain dans tout le pays, la bande d’amis est prise dans un engrenage. C’est la fin de l’innocence…"
Marlowe,15/02/2023,Policier,110,Neil Jordan, Metropolitan FilmExport ,"Liam Neeson,Diane Kruger,Jessica Lange",,"Irlande,U.S.A.",Anglais,Long-métrage,2022,-,"2,5","2,2",15 articles de presse,,
Retour à Séoul,25/01/2023,,119,Davy Chou, Les Films du Losange ,"Park Ji-min (II),Oh Kwang-rok,Guka Han",,"France,Allemagne,Belgique,Qatar","Coréen, Français, Anglais",Long-métrage,2022,-,"3,6","3,3",28 articles de presse,7 nominations,"Sur un coup de tête, Freddie, 25 ans, retourne pour la première fois en Corée du Sud, où elle est née. La jeune femme se lance avec fougue à la recherche de ses origines dans ce pays qui lui est étranger, faisant basculer sa vie dans des directions nouvelles et inattendues."
White Noise,,"Drame,Epouvante-horreur",136,Noah Baumbach,"
6 nominations
","Adam Driver,Greta Gerwig,Don Cheadle",,,Anglais,Long-métrage,2022,-,"3,3","2,3",13 articles de presse,6 nominations,"À la fois drôle et terrifiant, flamboyant et absurde, banal et apocalyptique, White Noise brosse le portrait d’une famille américaine d’aujourd’hui. Tandis que parents et enfants tentent de gérer tant bien que mal les conflits du quotidien, ils explorent aussi les mystères universels de l’amour et de la mort - et se demandent comment faire pour être heureux dans un monde instable."
Caravage,28/12/2022,Historique,118,Michele Placido, Le Pacte ,"Riccardo Scamarcio,Louis Garrel,Isabelle Huppert",L'Ombra di Caravaggio,"Italie,France","Italien, Français",Long-métrage,2022,-,"3,1","3,4",17 articles de presse,,"Italie 1609. Accusé de meurtre, Le Caravage a fui Rome et s’est réfugié à Naples. Soutenu par la puissante famille Colonna, Le Caravage tente d’obtenir la grâce de l’Église pour revenir à Rome. Le Pape décide alors de faire mener par un inquisiteur, l’Ombre, une enquête sur le peintre dont l’art est jugé subversif et contraire à la morale de l’Église."
Goodbye,18/01/2023,"Action,Aventure",95,Atsuko Ishizuka, Eurozoom ,"Natsuki Hanae,Yûki Kaji,Ayumu Murase","Gubbai, Don Gurîzu!",,Japonais,Long-métrage,2022,-,"3,2","3,1",7 Critiques Spectateurs,,"Roma est un jeune garçon qui vit à la campagne. Avec son ami d’enfance Toto ils se font appeler les « DonGlees » et ils organisent un petit spectacle de feu d’artifice tous les étés. A l’issue de sa première année de lycée, Toto revient de Tokyo où il étudie. Un nouveau venu, Drop, se joint aux DonGlees pour filmer avec son drone le spectacle vu du ciel. Mais cette fois-ci, rien ne va, les feux d’artifices ne fonctionnent pas et le drone est emporté par le vent. Au même moment, un feu de forêt se déclenche pour une cause indéterminée. La toile s’affole et blâme les DonGlees. Roma, Toto et Drop partent à la recherche du drone pour prouver leur innocence."
Unicorn Wars,28/12/2022,"Fantastique,Aventure",92,Alberto Vázquez (II), UFO Distribution ,Ramon Barea,,"Espagne,France",Espagnol,Long-métrage,2022,3 M€,"3,4","3,4",16 Critiques Spectateurs,,"En ces contrées reculées, Oursons et Licornes sont en guerre depuis toujours. Le soldat Célestin a soif du sang des Licornes, gage d’une beauté éternelle, selon le Grand Livre Sacré. Son frère Dodu, lui, n’aime pas la guerre, il préfère les myrtilles et les câlins. Mais la bataille finale approche : une unité d’oursons inexpérimentés quitte le camp d’entraînement pour une mission commando dans la Forêt Magique. Seront-ils à la hauteur ?"
Les Cadors,11/01/2023,,85,Julien Guetta, Jour2fête ,"Grégoire Ludig,Jean-Paul Rouve,Michel Blanc",,,Français,Long-métrage,2022,-,"3,0","2,7",15 articles de presse,,"L’histoire de deux frères que tout oppose. Antoine, marié, deux enfants, conducteur de bateaux, et Christian, célibataire, chômeur et bagarreur incorrigible. Mais quand Antoine le mari idéal se retrouve mêlé à une sale histoire, c’est Christian le mal aimé qui, même si on ne lui a rien demandé, débarque à Cherbourg pour voler à son secours. Les Cadors comme ils aimaient se surnommer dans leur enfance vont se redécouvrir au travers de cette histoire. Christian qui n’a rien à perdre, va alors défendre au péril de sa vie cette famille qu’il a toujours rêvé d’avoir sans jamais avoir eu le courage de la fonder."
Règle 34,07/06/2023,Erotique,100,Júlia Murat, Wayna Pitch ,"Sol Miranda (II),Lucas Andrade,Lorena Comparato",Rule 34,"Brésil,France",Portugais,Long-métrage,2022,-,"3,2","2,7",12 articles de presse,,"La légendaire règle 34 d’internet stipule que si quelque chose existe, alors il y en a une version porno. Simone est étudiante en droit le jour, engagée dans la lutte contre les violences faites aux femmes, et camgirl la nuit, explorant ses fantasmes masochistes."
Les Miens,23/11/2022,,85,Roschdy Zem, Le Pacte ,"Sami Bouajila,Roschdy Zem,Meriem Serbah",,,Français,Long-métrage,2022,-,"3,6","3,6",30 articles de presse,4 nominations,"Moussa a toujours été doux, altruiste et présent pour sa famille. À l’opposé de son frère Ryad, présentateur télé à la grande notoriété qui se voit reprocher son égoïsme par son entourage. Seul Moussa le défend, qui éprouve pour son frère une grande admiration. Un jour Moussa chute et se cogne violemment la tête. Il souffre d’un traumatisme crânien. Méconnaissable, il parle désormais sans filtre et balance à ses proches leurs quatre vérités. Il finit ainsi par se brouiller avec tout le monde, sauf avec Ryad…"
Meurtres sans ordonnance,,"Policier,Drame",121,Tobias Lindholm,"
2 nominations
","Jessica Chastain,Eddie Redmayne,Kim Dickens",The Good Nurse,,Anglais,Long-métrage,2022,-,"3,7",,69 Critiques Spectateurs,2 nominations,"Amy, infirmière attentionnée et mère célibataire souffre d'un grave problème cardiaque et se retrouve poussée à bout par des gardes nocturnes éreintantes dans l'unité des soins intensifs où elle travaille. Par chance, elle finit par trouver de l'aide auprès d'un nouveau collègue prévenant et empathique, Charlie. Passant de longues nuits ensemble à l'hôpital, les deux soignants se lient d'une amitié solide et dévouée. Pour la première fois depuis des années, Amy se remet à croire à un avenir pour elle et ses filles. Cependant, quand une série mystérieuse de décès de patients déclenche une enquête qui désigne Charlie comme suspect principal, Amy est obligée de risquer sa vie et la sécurité de ses enfants pour découvrir la vérité."
Nos cœurs meurtris,,Drame,122,Elizabeth Allen Rosenbaum,,"Nicholas Galitzine,Sofia Carson,Chosen Jacobs",Purple Hearts,,Anglais,Long-métrage,2022,-,"3,9",,95 Critiques Spectateurs,,"Malgré leurs différences et contre toute attente, une compositrice-interprète en herbe et un Marine tombent éperdument amoureux."
365 jours : Au lendemain,,"Romance,Erotique",106,Barbara Bialowas,"
2 nominations
","Michele Morrone,Anna-Maria Sieklucka,Simone Susinna",365 Dni 2,,"Anglais, Italien, Polonais",Long-métrage,2022,-,"1,2",,124 Critiques Spectateurs,2 nominations,Laura et Massimo sont repris par la passion. Mais ce nouveau départ du couple est compliqué par les liens familiaux de Massimo et par un mystérieux individu bien décidé à ravir le cœur de Laura à tout prix.
Les Liaisons dangereuses,,"Comédie dramatique,Drame,Comédie",109,Rachel Suissa,,"Paola Locatelli,Simon Rérolle,Alexis Michalik",,,Français,Long-métrage,2022,-,"1,3",,91 Critiques Spectateurs,,"Du haut de ses 17 ans, Célène est idéaliste, croit en l’amour absolu, et s’intéresse davantage à la lecture qu’aux réseaux sociaux. En quittant Paris pour Biarritz, elle s'apprête à vivre pour quelque temps loin de son fiancé, Pierre. Très vite, elle se confronte à la diabolique élite de son nouveau lycée sur laquelle règnent l’ex star du grand écran et reine d'Instagram Vanessa et le célèbre surfeur Tristan, aussi dangereux que séduisant. Lorsqu'elle tombe amoureuse de lui, Célène est loin de se douter qu’elle est au centre d’un cruel pari entre Tristan et Vanessa. Jusqu’où iront-ils?"
16 ans,04/01/2023,Romance,94,Philippe Lioret, Paname Distribution ,"Sabrina Levoye,Teïlo Azaïs,Jean-Pierre Lorit",,,Français,Long-métrage,2022,-,"3,2","3,6",26 articles de presse,,"Nora et Léo se rencontrent le jour de la rentrée en classe de Seconde. Leurs regards s’enchâssent et tout est dit. Le frère de Nora, manutentionnaire à l’hypermarché local, est accusé de vol et viré sur-le-champ. Le directeur de l’hypermarché c’est Franck, le père de Léo. Les deux familles s’affrontent, les différences s’exacerbent et le chaos s’installe. Les vies de Nora et Léo s’embrasent."
Scream,12/01/2022,Thriller,115,Matt Bettinelli-Olpin, Paramount Pictures France ,"Neve Campbell,Courteney Cox,David Arquette",,,Anglais,Long-métrage,2022,-,"2,7","2,6",25 articles de presse,,"Vingt-cinq ans après que la paisible ville de Woodsboro a été frappée par une série de meurtres violents, un nouveau tueur revêt le masque de Ghostface et prend pour cible un groupe d'adolescents. Il est déterminé à faire ressurgir les sombres secrets du passé."
Youssef Salem a du succès,18/01/2023,,97,Baya Kasmi, Tandem ,"Ramzy Bedia,Noémie Lvovsky,Abbes Zahmani",,,Français,Long-métrage,2022,-,"3,6","3,6",24 articles de presse,,"Youssef Salem, 45 ans, a toujours réussi à rater sa carrière d’écrivain. Mais les ennuis commencent lorsque son nouveau roman rencontre le succès car Youssef n’a pas pu s’empêcher de s’inspirer des siens, pour le meilleur, et surtout pour le pire. Il doit maintenant éviter à tout prix que son livre ne tombe entre les mains de sa famille…"
Emancipation,,"Thriller,Drame,Historique",132,Antoine Fuqua,,"Will Smith,Ben Foster,Charmaine Bingwa",,,Anglais,Long-métrage,2022,-,"2,0","3,5",5 articles de presse,,"La glorieuse histoire de Peter, un homme qui échappe à l’esclavage grâce à son intelligence, son inébranlable foi et son amour pour sa famille. Entre des chasseurs sans pitié lancés à sa poursuite et les redoutables marais de la Louisiane, il part à la conquête de sa liberté."
Eaux profondes,,Erotique,115,Adrian Lyne,,"Ben Affleck,Ana de Armas,Tracy Letts",Deep Water,,Anglais,Long-métrage,2022,-,"2,3","2,0",11 articles de presse,,"Vic et Melinda Van Allen est un couple aisé de la Nouvelle-Orléans dont le mariage s'écroule sous le poids de la rancœur, de la jalousie et du doute. Alors que leurs provocations et manipulations mutuelles s'intensifient, les choses se transforment rapidement en un jeu du chat et de la souris mortel lorsque les amants de Melinda commencent à disparaître."
Poker Face,,,94,Russell Crowe,,"Russell Crowe,Elsa Pataky,Liam Hemsworth",,,Anglais,Long-métrage,2022,-,"1,8",,24 Critiques Spectateurs,,"Dans le monde du poker à gros enjeux et de la finance internationale, un milliardaire de la technologie prend de gros risques..."
Sages-femmes,,,98,Léa Fehner, Geko Films ,"Héloïse Janjaud,Khadija Kouyaté,Myriem Akheddiou",,,Français,Long-métrage,2022,-,"4,0",,20 Critiques Spectateurs,,"Louise et Sofia, deux jeunes sages-femmes passionnées, rejoignent leur premier poste dans une maternité publique. Mais à peine débarquées, les deux amies se heurtent aux cadences folles d’un service au bord de l’explosion. Entre euphorie des naissances et angoisse de mal faire, des vocations s’abîment, d’autres se renforcent. Leur amitié saura-t-elle résister à pareille tempête ?"
Ténor,04/05/2022,,101,Claude Zidi Jr., StudioCanal ,"Michèle Laroque,Mohammed Belkhir,Guillaume Duhesme",,,Français,Long-métrage,2022,-,"3,0","3,7",11 articles de presse,,"Antoine, jeune banlieusard parisien, suit des études de comptabilité sans grande conviction, partageant son temps entre les battles de rap qu’il pratique avec talent et son job de livreur de sushis. Lors d’une course à l’Opéra Garnier, sa route croise celle de Mme Loyseau, professeur de chant dans la vénérable institution, qui détecte chez Antoine un talent brut à faire éclore. Malgré son absence de culture lyrique, Antoine est fasciné par cette forme d’expression et se laisse convaincre de suivre l’enseignement de Mme Loyseau. Antoine n’a d’autre choix que de mentir à sa famille, ses amis et toute la cité pour qui l’opéra est un truc de bourgeois, loin de leur monde."
Elvis,22/06/2022,Musical,159,Baz Luhrmann, Warner Bros. France ,"Austin Butler,Tom Hanks,Olivia DeJonge",,,Anglais,Long-métrage,2022,-,"3,8","4,1",36 articles de presse,7 prix et 16 nominations,"La vie et l'œuvre musicale d'Elvis Presley à travers le prisme de ses rapports complexes avec son mystérieux manager, le colonel Tom Parker. Le film explorera leurs relations sur une vingtaine d'années, de l'ascension du chanteur à son statut de star inégalé, sur fond de bouleversements culturels et de la découverte par l'Amérique de la fin de l'innocence."
Moonfall,09/02/2022,Action,120,Roland Emmerich, Metropolitan FilmExport ,"Halle Berry,Patrick Wilson,John Bradley (II)",,,Anglais,Long-métrage,2022,$ 136 000 000,"2,3","2,1",18 articles de presse,,"Une mystérieuse force a propulsé la Lune hors de son orbite et la précipite vers la Terre. L’impact aura lieu dans quelques semaines, impliquant l’anéantissement de toute vie sur notre planète. Deux astronautes de la NASA et un théoricien du complot unissent leurs forces pour tenter une mission impossible dans l’espace… et découvrir que notre Lune n’est pas ce que nous croyons."
Le Tourbillon de la vie,21/12/2022,,121,Olivier Treiner, SND ,"Lou de Laâge,Raphaël Personnaz,Isabelle Carré",,,Français,Long-métrage,2022,-,"3,3","3,9",8 articles de presse,,"Les grands tournants de notre existence sont parfois dus à de petits hasards. Si Julia n’avait pas fait tomber son livre ce jour-là, aurait-elle croisé Paul ? Ou sa vie aurait-elle pris une toute autre direction ?"
Juste ciel !,15/02/2023,,86,Laurent Tirard, Le Pacte ,"Valérie Bonneton,Camille Chamoux,Claire Nadeau",,,Français,Long-métrage,2022,-,"1,8","2,1",4 articles de presse,3 nominations,"Pour sauver l’EHPAD local qui tombe en ruines, cinq religieuses un peu fofolles sont prêtes à tout. Y compris à participer à une course cycliste, afin d’en remporter le prix. Seul bémol : elles sont nulles à vélo. Et pour ne rien arranger, elles ne sont pas les seules sur le coup…"
Fall,,,107,Scott Mann,,"Grace Caroline Currey,Virginia Gardner,Mason Gooding",,,Anglais,Long-métrage,2022,-,"3,2",,62 Critiques Spectateurs,,"Traumatisée par la mort de son mari lors d’un accident de varappe, Becky a perdu goût à la vie. Constamment à la recherche de sensations fortes, son amie Hunter la convainc d’escalader avec elle une tour de télécommunication désaffectée, située en plein désert et mesurant plus de 600 mètres. Mais la structure est vieille et fragile et elles se retrouvent coincées tout en haut de la construction, sans ressources et sous un soleil dévorant… L’expérience ultime ne fait que commencer…"
Incroyable mais vrai,15/06/2022,,74,Quentin Dupieux, Diaphana Distribution ,"Alain Chabat,Léa Drucker,Benoît Magimel",,,Français,Long-métrage,2022,-,"3,5","2,9",38 articles de presse,,Alain et Marie emménagent dans un pavillon. Une trappe située dans la cave va bouleverser leur existence.
Kompromat,07/09/2022,Drame,127,Jérôme Salle, SND ,"Gilles Lellouche,Joanna Kulig,Louis-Do de Lencquesaing",,,"Français, Russe",Long-métrage,2022,"8,5M€","3,1","3,7",23 articles de presse,,"Russie, 2017. Mathieu Roussel est arrêté et incarcéré sous les yeux de sa fille. Expatrié français, il est victime d’un « kompromat », de faux documents compromettants utilisés par les services secrets russes pour nuire à un ennemi de l’Etat. Menacé d’une peine de prison à vie, il ne lui reste qu’une option : s’évader, et rejoindre la France par ses propres moyens…"
Empire Of Light,01/03/2023,Drame,116,Sam Mendes, The Walt Disney Company France ,"Olivia Colman,Micheal Ward,Colin Firth",,"Grande-Bretagne,U.S.A.",Anglais,Long-métrage,2022,-,"3,6","4,0",33 articles de presse,5 nominations,"Hilary est responsable d’un cinéma dans une ville balnéaire anglaise et tente de préserver sa santé mentale fragile. Stephen est un nouvel employé qui n’aspire qu’à quitter cette petite ville de province où chaque jour peut vite se transformer en épreuve. En se rapprochant l’un de l’autre, ils vont apprendre à soigner leurs blessures grâce à la musique, au cinéma et au sentiment d’appartenance à un groupe..."
Pacifiction - Tourment sur les îles,09/11/2022,Espionnage,165,Albert Serra, Les Films du Losange ,"Benoît Magimel,Pahoa Mahagafanau,Marc Susini",,"France,Espagne,Portugal,Allemagne",Français,Long-métrage,2022,-,"4,0","2,7",25 articles de presse,5 prix et 15 nominations,"Sur l’île de Tahiti, en Polynésie française, le Haut-Commissaire de la République De Roller, représentant de l’État Français, est un homme de calcul aux manières parfaites. Dans les réceptions officielles comme les établissements interlopes, il prend constamment le pouls d’une population locale d’où la colère peut émerger à tout moment. D’autant plus qu’une rumeur se fait insistante : on aurait aperçu un sous-marin dont la présence fantomatique annoncerait une reprise des essais nucléaires français."
The Gray Man,,Thriller,128,Joe Russo,,"Ryan Gosling,Chris Evans,Ana de Armas",,,Anglais,Long-métrage,2022,-,"2,3","3,0",14 articles de presse,,""" Gray Man "" est le nom de code de l’agent de la CIA Court Gentry, alias Sierra Six. Recruté dans une prison fédérale par son officier traitant, Donald Fitzroy, Gentry était autrefois un redoutable tueur à gages à la solde de la CIA. Mais la situation a radicalement changé : Gentry est désormais la cible de Lloyd Hansen, ancien comparse de la CIA, totalement déterminé à le traquer à travers le monde pour l’éliminer. L’agent Dani Miranda le couvre – et il en aura besoin."
Astrakan,08/02/2023,,104,David Depesseville, New Story ,"Mirko Gianinni,Jehnny Beth,Bastien Bouillon",,,Français,Long-métrage,2022,-,"3,4","3,0",17 articles de presse,,"Samuel est un orphelin de douze ans à l'allure sauvage. ll est placé depuis quelques semaines dans le Morvan chez Marie, Clément et leurs deux garçons. Samuel s'émancipe, découvre les sensations et les troubles de son âge, mais très vite il doit aussi faire face aux secrets de cette nouvelle famille. Jusqu’à ce que, un jour, tout en vienne à se transfigurer."
Couleurs de l'incendie,09/11/2022,Drame,136,Clovis Cornillac, Gaumont Distribution ,"Léa Drucker,Benoît Poelvoorde,Alice Isaaz",,,Français,Long-métrage,2022,-,"3,3","4,0",19 articles de presse,2 nominations,
Teen Wolf : le film,,Drame,140,Russell Mulcahy,,"Tyler Posey,Crystal Reed,Holland Roden",Teen Wolf: The Movie,,Anglais,Télefilm,2022,-,"3,1",,54 Critiques Spectateurs,,"Une pleine lune se lève sur Beacon Hills et avec elle, un mal terrifiant a émergé. Les loups hurlent à nouveau, appelant au retour des Banshees, Werecoyotes, Hellhounds, Kitsunes et de tous les autres métamorphes de la nuit. Mais seul un loup-garou comme Scott McCall, qui n'est plus un adolescent mais toujours un Alpha, peut rassembler de nouveaux alliés et réunir des amis de confiance pour lutter contre ce qui pourrait être l'ennemi le plus puissant et le plus mortel qu'ils aient jamais affronté."
