titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Minari,23/06/2021,,116,Lee Isaac Chung, ARP Sélection ,"Steven Yeun,Ye-Ri Han,Alan S. Kim",,,"Coréen, Anglais",Long-métrage,2020,-,"3,9","3,6",35 articles de presse,3 prix et 16 nominations,Une famille américaine d’origine sud-coréenne s’installe dans l’Arkansas où le père de famille veut devenir fermier. Son petit garçon devra s’habituer à cette nouvelle vie et à la présence d’une grand-mère coréenne qu’il ne connaissait pas.
La Nuée,16/06/2021,Epouvante-horreur,101,Just Philippot, The Jokers / Capricci ,"Suliane Brahim,Sofian Khammes,Marie Narbonne",,,Français,Long-métrage,2020,-,"3,8","3,2",43 articles de presse,2 prix et 9 nominations,
Rebecca,,"Thriller,Romance",122,Ben Wheatley,"
1 nomination
","Lily James,Armie Hammer,Kristin Scott Thomas",,,Anglais,Long-métrage,2020,-,"2,7","3,0",6 articles de presse,,"En Angleterre, une jeune mariée s'installe dans le domaine familial de son époux, où elle est poursuivie par l'ombre obsédante de la première femme défunte de son mari."
The Secret: Dare to Dream,,,103,Andy Tennant,"
1 nomination
","Katie Holmes,Josh Lucas,Jerry O'Connell",,,Anglais,Long-métrage,2020,-,"3,3",,25 Critiques Spectateurs,,"Miranda Wells est une jeune veuve devant élever seule ses 3 enfants. Mais l'arrivée de Bray Johnson, un homme mystérieux va redonner de l'élan à cette famille."
A l’ombre des filles,13/04/2022,,106,Etienne Comar, Ad Vitam ,"Alex Lutz,Agnès Jaoui,Hafsia Herzi",,"France,Belgique",Français,Long-métrage,2020,-,"3,2","3,4",22 articles de presse,,"Luc est un chanteur lyrique renommé. En pleine crise personnelle, il accepte d’animer un atelier de chant dans un centre de détention pour femmes. Il se trouve vite confronté aux tempéraments difficiles des détenues. Entre bonne conscience et quête personnelle, Luc va alors tenter d’offrir à ces femmes un semblant de liberté."
La Voie de la justice,29/01/2020,Drame,137,Destin Daniel Cretton, Warner Bros. France ,"Michael B. Jordan,Jamie Foxx,Brie Larson",Just Mercy,,Anglais,Long-métrage,2020,-,"3,0","4,1",18 articles de presse,,"Le combat historique du jeune avocat Bryan Stevenson.  Après ses études à l’université de Harvard, Bryan Stevenson aurait pu se lancer dans une carrière des plus lucratives. Il décide pourtant de se rendre en Alabama pour défendre ceux qui ont été condamnés à tort, avec le soutien d’une militante locale, Eva Ansley. Un de ses premiers cas - le plus incendiaire - est celui de Walter McMillian qui, en 1987, est condamné à mort pour le meurtre retentissant d’une jeune fille de 18 ans. Et ce en dépit d’un grand nombre de preuves attestant de son innocence et d’un unique témoignage à son encontre provenant d’un criminel aux motivations douteuses. Au fil des années, Bryan se retrouve empêtré dans un imbroglio de manœuvres juridiques et politiques. Il doit aussi faire face à un racisme manifeste et intransigeant alors qu’il se bat pour Walter et d’autres comme lui au sein d’un système hostile."
The Power,16/02/2022,Fantastique,92,Corinna Faith, Alba Films ,"Rose Williams,Emma Rigby,Charlie Carrick",,,Anglais,Long-métrage,2020,-,"3,1","2,0",17 articles de presse,,"Londres, 1974. Alors que le Royaume-Uni se prépare à d’importantes coupures d’électricité, Val une infirmière débutante arrive pour son premier jour au sein de l’équipe de nuit d’un hôpital délabré. La majorité des patients et du personnel ayant été évacués vers un autre hôpital, elle se retrouve presque seule dans ce bâtiment lugubre. Mais derrière ses murs se cache un lourd secret qui va contraindre Val à affronter ses peurs les plus profondes et à se confronter à une force maléfique."
Nos plus belles années,29/12/2021,"Drame,Comédie",135,Gabriele Muccino, ARP Sélection ,"Pierfrancesco Favino,Micaela Ramazzotti,Kim Rossi Stuart",Gli anni più belli,,Italien,Long-métrage,2020,-,"3,1","3,5",15 articles de presse,,"C’est l’histoire de quatre amis, racontée sur quarante ans, en Italie, des années 1980 à aujourd’hui. La chronique de leurs espoirs, de leurs désillusions, de leurs amours, et surtout, de leur amitié."
"Calamity, une enfance de Martha Jane Cannary",14/10/2020,Famille,82,Rémi Chayé, Gebeka Films ,"Salomé Boulven,Alexandra Lamy,Alexis Tomassian",,,Français,Long-métrage,2020,7 952 824 €,"4,1","4,0",102 Critiques Spectateurs,1 prix et 4 nominations,"1863, États-Unis d’Amérique. Dans un convoi qui progresse vers l’Ouest avec l’espoir d’une vie meilleure, le père de Martha Jane se blesse. C’est elle qui doit conduire le chariot familial et soigner les chevaux. L’apprentissage est rude et pourtant Martha Jane ne s’est jamais sentie aussi libre. Et comme c’est plus pratique pour faire du cheval, elle n’hésite pas à passer un pantalon. C’est l’audace de trop pour Abraham, le chef du convoi. Accusée de vol, Martha est obligée de fuir. Habillée en garçon, à la recherche des preuves de son innocence, elle découvre un monde en construction où sa personnalité unique va s’affirmer. Une aventure pleine de dangers et riche en rencontres qui, étape par étape, révélera la mythique Calamity Jane."
Police,02/09/2020,Drame,99,Anne Fontaine, StudioCanal ,"Omar Sy,Virginie Efira,Grégory Gadebois",,,Français,Long-métrage,2020,-,"3,3","2,2",31 articles de presse,,"Virginie, Erik et Aristide, trois flics parisiens, se voient obligés d’accepter une mission inhabituelle : reconduire un étranger à la frontière. Sur le chemin de l’aéroport, Virginie comprend que leur prisonnier risque la mort s’il rentre dans son pays. Face à cet insoutenable cas de conscience, elle cherche à convaincre ses collègues de le laisser s’échapper."
"Bruno Reidal, confession d'un meurtrier",23/03/2022,Historique,101,Vincent Le Port, Capricci Films ,"Dimitri Doré,Jean-Luc Vincent,Roman Villedieu",,,Français,Long-métrage,2020,-,"4,1","3,7",27 articles de presse,2 prix et 5 nominations,"1er septembre 1905. Un séminariste de 17 ans est arrêté pour le meurtre d’un enfant de 12 ans. Pour comprendre son geste, des médecins lui demandent de relater sa vie depuis son enfance jusqu’au jour du crime. D’après l’histoire vraie de Bruno Reidal, jeune paysan du Cantal qui, toute sa vie, lutta contre ses pulsions meurtrières."
Drunk,14/10/2020,Comédie,117,Thomas Vinterberg, Haut et Court ,"Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang",Druk,,Danois,Long-métrage,2020,-,"3,9","4,1",39 articles de presse,3 prix et 6 nominations,"Quatre amis décident de mettre en pratique la théorie d’un psychologue norvégien selon laquelle l’homme aurait dès la naissance un déficit d’alcool dans le sang. Avec une rigueur scientifique, chacun relève le défi en espérant tous que leur vie n’en sera que meilleure ! Si dans un premier temps les résultats sont encourageants, la situation devient rapidement hors de contrôle."
Mortelles calanques,05/06/2021,Drame,90,Claude-Michel Rome, France 3 ,"Philippe Bas,Shemss Audat,Joyce Bibring",,,Français,Télefilm,2020,-,"2,8","3,3",7 articles de presse,,"Les « Écumeurs », c’est un petit groupe de jeunes passionnés par la nature et la « vie sauvage ». Ils évoluent en clan et plongent de 30 mètres dans les calanques. Ils vivent selon des règles strictes, sous la direction autocratique d’un gourou. Un jour, Robin, leur « leader », ne remonte pas après un plongeon phénoménal et trouve la mort. A-t-il raté son saut ou a-t-il été tué ? La lieutenant de gendarmerie Samira El Katani est chargée d’enquêter sur sa mort. Phobique de l’eau et ne sachant pas nager, l’enquête semble compliquée à mener. Par chance, elle peut compter sur la collaboration de l’ancien commando de la marine Bruno Tanguy, homme de mer, aux antipodes de sa collègue Un couple d’enquêteurs totalement atypique qui va devoir remonter le courant de l’histoire passée de cette communauté, afin de mettre à jour une vérité bien enfouie."
Meurtres à Mulhouse,02/10/2021,,90,Delphine Lemoine, France 3 ,"Melanie Maudran,François-David Cardonnel,Nicolas Van Beveren",,,Français,Télefilm,2020,-,"3,4","2,7",4 articles de presse,,"En enquêtant sur un crime commis dans une ancienne mine de potasse proche de Mulhouse, la Lieutenante de gendarmerie Sandra Bauer en vient à soupçonner l’avocate qui l’avait privée de la garde de son fils lors de son divorce. Mais pour l’atteindre, Sandra doit affronter son propre frère, Frédéric Bauer, avocat lui aussi. Au cours de cette enquête où Sandra et son adjoint, Laurent Bourbon, se rapprochent enfin, elle doit faire face à la légende de Saint-Nicolas qui rôde. Surtout Sandra et son frère renouent avec un passé tragique : la disparition trois ans plus tôt, de leur neveu Bastien, alors âgé de 9 ans."
You Should Have Left,,Thriller,93,David Koepp,,"Kevin Bacon,Amanda Seyfried,Avery Tiiu Essex",,,Anglais,Long-métrage,2020,-,"2,0",,19 Critiques Spectateurs,,"Retiré dans une maison isolée du Pays de Galles avec sa femme et sa fille pour écrire la suite de son plus grand succès, un scénariste perd peu à peu la raison."
Belle-Fille,19/08/2020,,96,Méliane Marcaggi, UGC Distribution ,"Alexandra Lamy, Miou-Miou,Jonathan Zaccaï",,,Français,Long-métrage,2020,4.8 M euros,"3,3","2,5",9 articles de presse,,"Découvrant que son mari la trompe, Louise décide de penser enfin à elle et part décompresser en Corse le temps d’un week-end. Elle passe une folle nuit avec un bel inconnu... Une seule puisque, au petit matin, il ne se réveille pas. Andréa, la mère de celui-ci,  débarque sur les lieux et prend immédiatement Louise pour la belle-fille dont elle a toujours rêvé! Prise au piège, Louise va devoir jouer le rôle de la belle-fille idéale pour quelques jours. Problème : sa nouvelle belle-mère ne veut plus la lâcher..."
Marionette,,,112,Elbert Van Strien,,"Thekla Reuten,Elijah Wolf,Peter Mullan",,"Pays-Bas,Luxembourg,Grande-Bretagne",Anglais,Long-métrage,2020,-,"2,3",,15 Critiques Spectateurs,,"Après avoir perdu son mari dans un accident, la pédopsychiatre Marianne Winter refait sa vie en Écosse. Là-bas, elle commence à traiter un enfant de dix ans, très secret, qui prétend contrôler l'avenir grâce à ses dessins. Bientôt ses horribles croquis commencent à se réaliser..."
Cette musique ne joue pour personne,29/09/2021,Romance,107,Samuel Benchetrit, UGC Distribution ,"François Damiens,Ramzy Bedia,Vanessa Paradis",,"France,Belgique",Français,Long-métrage,2020,-,"3,1","2,7",28 articles de presse,2 nominations,"Dans le Nord de la France, alors que sa femme Katia est comme hypnotisée par l'écran devant lequel elle passe ses journées, Jeff s'éprend de Roxanne, une caissière. Il lui déclare sa flamme par le biais de Neptune, un de ses hommes de main. Jeff charge par ailleurs Jacky de réclamer ses dettes à un mauvais payeur. Mais ce dernier a été tué d'une gifle assénée par sa femme Suzanne, une actrice bègue qui fait découvrir l'univers du théâtre à Jacky. Quant à Jésus et Poussin, ils intimident les condisciples de Jessica, la fille de Jeff, afin qu'ils viennent à une fête qu'elle organise. Samuel Benchetrit réunit un casting quatre étoiles pour une fable décalée où des voyous sont attendris par l'amour ou l'art."
C'est quoi ce papy ?!,11/08/2021,,103,Gabriel Julien-Laferrière, UGC Distribution ,"Chantal Ladesou,Patrick Chesnais,Julie Gayet",,,Français,Long-métrage,2020,-,"3,0","2,1",6 articles de presse,,"Aurore, la plus déjantée des mamies fait une chute spectaculaire lors d’une danse endiablée. Elle perd la mémoire et se retrouve en convalescence dans une maison de repos. Elle ne parle que d’un mystérieux Gégé…qui pourrait être son amour de jeunesse et lui faire retrouver toute sa tête. Ses sept petits enfants décident de faire le mur pour faire évader leur mamie. Ils partent à travers la France à la recherche de celui qu’ils croient être leur Papy. Mais quand Mamie rencontre Papy…La famille n’est pas au bout de ses surprises !"
Piro Piro,01/02/2023,Famille,40,Sung-ah Min, Cinéma Public Films ,,,,Muet,Long-métrage,2020,-,"3,3","2,9",3 Critiques Spectateurs,,"Un ensemble de 6 films d’animation poétiques et sensibles où le talent de 2 de jeunes réalisatrices sud coréennes, Baek Miyoung et Min Sung-Ah, dévoile des univers aux couleurs pastel et chaleureuses. Des petits oiseaux tissent le lien entre ces films, dans lesquels on partage des instants de tendresse et d’humour."
En décalage,03/08/2022,Thriller,104,Juanjo Giménez Peña, Le Pacte ,"Marta Nieto,Miki Esparbé,Fran Lareu",Tres,"Espagne,France,Lituanie",Espagnol,Long-métrage,2020,-,"3,5","3,1",17 articles de presse,,"C. est une ingénieure du son talentueuse, passionnée par son travail. Un jour, elle découvre qu’elle commence à se désynchroniser. Elle réalise alors que son cerveau s’est mis à percevoir le son plus tard que les images qu’il reçoit. C. doit renoncer à son travail et reconsidérer toute sa vie."
Aya et la sorcière,,"Aventure,Fantastique",82,Goro Miyazaki,"
6 nominations
","Sylvia Bergé,Shinobu Terajima,Thierry Hancisse",Earwig and the Witch,,Japonais,Long-métrage,2020,-,"2,2","2,3",54 Critiques Spectateurs,6 nominations,
L'Un des nôtres,16/06/2021,Drame,115,Thomas Bezucha, Universal Pictures International France ,"Kevin Costner,Diane Lane,Lesley Manville",Let Him Go,,Anglais,Long-métrage,2020,-,"2,7","3,3",10 articles de presse,,"Après la perte de leur fils, le shérif à la retraite George Blackledge et son épouse, Margaret quittent leur ranch du Montana pour sauver leur jeune petit-fils des griffes d'une dangereuse famille tenue d'une main de fer par la matriarche Blanche Weboy. Quand ils découvrent que les Weboy n'ont pas l'intention de laisser partir l'enfant, George et Margaret n'ont pas d'autre choix que de se battre pour réunir enfin leur famille."
Fuis-moi je te suis,18/05/2022,Drame,124,Kôji Fukada, Art House ,"Win Morisaki,Kaho Tsuchimura,Shohei Uno",The Real Thing,,Japonais,Long-métrage,2020,-,"3,9","3,6",21 articles de presse,,
Ammonite,,Romance,118,Francis Lee,"
1 prix et 2 nominations
","Kate Winslet,Saoirse Ronan,Fiona Shaw",,"Grande-Bretagne,Australie,U.S.A.","Anglais, Français",Long-métrage,2020,-,"3,7","3,3",3 articles de presse,1 prix et 2 nominations,
Les Croods 2 : une nouvelle ère,07/07/2021,"Aventure,Famille,Comédie",96,Joel Crawford, Universal Pictures International France ,"Nicolas Cage,Ryan Reynolds,Emma Stone",The Croods: A New Age,,Anglais,Long-métrage,2020,-,"3,5","3,3",70 Critiques Spectateurs,,Les Croods ont survécu à leur part de dangers et de catastrophes mais ils vont maintenant devoir relever leur plus grand défi : rencontrer une autre famille.
Tempura,20/07/2022,"Drame,Romance",133,Akiko Ohku, Art House ," Non,Kento Hayashi,Ai Hashimoto",Hold me Back,,Japonais,Long-métrage,2020,-,"3,5","3,4",12 articles de presse,,"Depuis toujours, Mitsuko vit dans sa bulle. Au cœur d’un Tokyo trop grand pour elle, elle se consacre avec passion à des recettes de cuisine qu’elle peaufine de son petit appartement. En célibataire épanouie, elle se fixe chaque jour de nouveaux défis jusqu’à celui inédit… d’inviter un garçon à dîner !"
Le Dernier voyage,19/05/2021,"Aventure,Drame",87,Romain Quirot, Tandem ,"Hugo Becker,Jean Reno,Paul Hamy",,,Français,Long-métrage,2020,-,"2,9","2,4",18 articles de presse,,"Dans un futur proche, une mystérieuse lune rouge est exploitée à outrance pour son énergie. Alors qu’elle change brusquement de trajectoire et fonce droit sur la Terre, Paul W.R, le seul astronaute capable de la détruire, refuse d’accomplir cette mission et disparaît. Traqué sans relâche, Paul croise la route d’Elma, une adolescente au tempérament explosif qui va l'accompagner dans sa fuite."
Black Box,,"Epouvante-horreur,Science fiction",100,Emmanuel Osei-Kuffour, Amazon Prime Video ,"Mamoudou Athie,Phylicia Rashad,Amanda Christine",,,Anglais,Long-métrage,2020,-,"2,6",,32 Critiques Spectateurs,,"Un père veuf est atteint de trous de mémoire suite à un accident. Pour en guérir, il s’engage à suivre un traitement unique : grâce à un dispositif de réalité virtuelle, il est transporté dans son subconscient. Cette sorte d’hypnose 2.0 va l’obliger à combattre ses démons mais aussi à découvrir de lourds secrets."
La Pièce rapportée,01/12/2021,,86,Antonin Peretjatko, Diaphana Distribution ,"Anaïs Demoustier,Josiane Balasko,Philippe Katerine",,,Français,Long-métrage,2020,"3,3 M€","3,2","2,3",20 articles de presse,2 nominations,"Paul Château-Têtard, vieux garçon de 45 ans et pur produit du 16e arrondissement de Paris, prend le métro pour la première fois de sa vie et tombe amoureux d’une jeune guichetière, Ava."
Nitram,11/05/2022,Thriller,110,Justin Kurzel, Ad Vitam ,"Caleb Landry Jones,Essie Davis,Judy Davis",,,Anglais,Long-métrage,2020,-,"3,3","3,6",29 articles de presse,1 prix et 12 nominations,"En Australie dans le milieu des années 90, Nitram vit chez ses parents, où le temps s’écoule entre solitude et frustration. Alors qu'il propose ses services comme jardinier, il rencontre Helen, une héritière marginale qui vit seule avec ses animaux. Ensemble, ils se construisent une vie à part. Quand Helen disparaît tragiquement, la colère et la solitude de Nitram ressurgissent. Commence alors une longue descente qui va le mener au pire."
365 Dni,,"Erotique,Romance",114,Barbara Bialowas,"
6 nominations
","Anna-Maria Sieklucka,Michele Morrone,Grazyna Szapolowska",,,"Anglais, Italien, Polonais",Long-métrage,2020,-,"1,5",,241 Critiques Spectateurs,6 nominations,Massimo est membre de la mafia sicilienne et Laura est directrice des ventes. Cette dernière ne se doute pas de ce qui l'attend lors d'un voyage en Sicile destiné à sauver son couple : Massimo la kidnappe et lui donne 365 jours pour qu'elle tombe amoureuse de lui.
La Baleine et l'escargote,21/10/2020,Famille,40,Max Lang, Les Films du Préau ,"Colette Sodoyez,Diana Rigg,Maia Baran",The Snail and The Whale,"Grande-Bretagne,République tchèque,Suisse",Anglais,Long-métrage,2020,-,"3,8","3,7",10 Critiques Spectateurs,,
The Boy Behind the Door,,Thriller,88,Justin Powell,,"Lonnie Chavis,Ezra Dewey,Kristin Bauer",,,Anglais,Long-métrage,2020,-,"1,7",,11 Critiques Spectateurs,,"Kevin et Bobby, deux amis jeunes adolescents, sont enlevés alors qu'ils se promenaient. Bobby se réveille dans le coffre d'une voiture, dont il parvient à sortir, découvrant qu'il est dans une maison inconnue. Sur le point de s'enfuir, il entend les cris de Kevin. Bobby ne peut se résoudre à l'abandonner."
Hokusai,26/04/2023,"Biopic,Historique",90,Hajime Hashimoto, Art House ,"Yûya Yagira,Min Tanaka,Hiroshi Abe",,,Japonais,Long-métrage,2020,-,"3,2","3,3",23 articles de presse,,"Japon, XVIIIème siècle. Alors que le pouvoir impérial impose sa censure sur les artistes, le jeune Shunrô, apprenti peintre, est exclu de son école à cause de son tempérament impétueux et du style peu conventionnel de ses estampes. Personne n’imagine alors qu’il deviendra Hokusai, célèbre auteur de la Grande vague de Kanagawa."
The Gentlemen,05/02/2020,Action,113,Guy Ritchie, SND ,"Matthew McConaughey,Hugh Grant,Charlie Hunnam",,,Anglais,Long-métrage,2020,-,"3,5","4,1",33 articles de presse,,"Quand Mickey Pearson, baron de la drogue à Londres, laisse entendre qu’il pourrait se retirer du marché, il déclenche une guerre explosive : la capitale anglaise devient le théâtre de tous les chantages, complots, trahisons, corruptions et enlèvements… Dans cette jungle où l’on ne distingue plus ses alliés de ses ennemis, il n’y a de la place que pour un seul roi !"
Comme des reines,22/06/2022,,95,Marion Vernoux, France 2 ,"Sarah Isabella,Nina Louise,Bintou Ba",,,Français,Télefilm,2020,-,"3,6",,5 Critiques Spectateurs,# prix,"Samia, Louise et Jessica ont entre 15 et 20 ans. Le carcan familial étouffe Samia qui cherche difficilement sa voie. Éblouie par les paillettes, elle se laisse entraîner par Louise et son petit ami proxénète dans un réseau de prostitution. Samia apprend que sa mère est au courant… Elle est perdue, n’ose plus rentrer… Comment va-t-elle s’en sortir ?"
Canicule,,"Thriller,Policier",117,Robert Connolly,,"Eric Bana,Genevieve O'Reilly,Keir O'Donnell",The Dry,"Australie,U.S.A.",Anglais,Long-métrage,2020,-,"3,5",,41 Critiques Spectateurs,,"Aaron Falk retourne dans sa ville natale après plus de vingt ans d'absence afin d'assister aux obsèques d'un de ses amis d'enfance, qui a tué femme et enfant avant de se suicider. Trouvant étrange cette mort si soudaine, Aaron décide de mener l'enquête. Il découvre l'existence d'un vaste complot dont il pourrait bien être la prochaine victime..."
Tenet,26/08/2020,Science fiction,150,Christopher Nolan, Warner Bros. France ,"John David Washington,Kenneth Branagh,Robert Pattinson",,,Anglais,Long-métrage,2020,-,"3,6","3,7",39 articles de presse,2 prix et 2 nominations,"Muni d'un seul mot – Tenet – et décidé à se battre pour sauver le monde, notre protagoniste sillonne l'univers crépusculaire de l'espionnage international. Sa mission le projettera dans une dimension qui dépasse le temps. Pourtant, il ne s'agit pas d'un voyage dans le temps, mais d'un renversement temporel…"
À l’abordage,21/07/2021,,95,Guillaume Brac, Arte ,"Éric Nantchouang,Salif Cissé,Édouard Sulpice",,,Français,Long-métrage,2020,-,"3,9","3,8",22 articles de presse,4 prix et 1 nomination,"Paris, un soir au mois d'août. Un garçon rencontre une fille. Ils ont le même âge, mais n'appartiennent pas au même monde. Félix travaille, Alma part en vacances le lendemain. Qu'à cela ne tienne. Félix décide de rejoindre Alma à l'autre bout de la France. Par surprise. Il embarque son ami Chérif, parce qu'à deux c'est plus drôle. Et comme ils n'ont pas de voiture, ils font le voyage avec Edouard. Evidemment, rien ne se passe comme prévu. Peut-il en être autrement quand on prend ses rêves pour la réalité ?"
Tout Simplement Noir,08/07/2020,,90,Jean-Pascal Zadi, Gaumont Distribution ,"Jean-Pascal Zadi,Caroline Anglade, Fary",,,Français,Long-métrage,2020,-,"3,8","2,8",32 articles de presse,1 prix et 3 nominations,"JP, un acteur raté de 40 ans, décide d’organiser la première grosse marche de contestation noire en France, mais ses rencontres, souvent burlesques, avec des personnalités influentes de la communauté et le soutien intéressé qu’il reçoit de Fary, le font osciller entre envie d’être sur le devant de la scène et véritable engagement militant..."
Louxor,21/07/2021,Romance,86,Zeina Durra, Rezo Films ,"Andrea Riseborough,Michael Landes,Sherine Reda",Luxor,"Egypte,Grande-Bretagne,Emirats Arabes Unis","Anglais, Arabe",Long-métrage,2020,-,"2,9","2,6",9 articles de presse,,"Quand Hana, britannique qui travaille dans l’humanitaire, revient à Louxor, elle croise Sultan, archéologue de talent et ancien amant. Alors qu’elle erre dans cette vieille ville, hantée par les souvenirs familiers, elle s’efforce de concilier choix du passé et incertitude du présent."
Sentinelle sud,27/04/2022,Thriller,96,Mathieu Gerault, UFO Distribution ,"Niels Schneider,Sofian Khammes,India Hair",,,Français,Long-métrage,2020,"1,9M€","3,4","3,5",25 articles de presse,,"Aux lendemains d’une opération clandestine qui a décimé son unité, le soldat Christian Lafayette est de retour en France. Alors qu’il essaie de reprendre une vie normale, il est bientôt mêlé à un trafic d’opium pour sauver ses deux frères d’armes survivants. La mission dont ils sont les seuls à être revenus n’était peut-être pas celle qu’ils croyaient…"
Tyler Rake,,Thriller,116,Sam Hargrave, Netflix France ,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda",Extraction,,"Anglais, Hindi",Long-métrage,2020,-,"2,9","3,5",13 articles de presse,,"Tyler Rake est un mercenaire intrépide qui travaille dans l'ombre. Alors qu'il n'a plus rien à perdre, il est chargé par un puissant caïd mafieux, pour l'heure incarcéré, de sauver son fils qui a été enlevé. Mais dans le milieu glauque de la pègre, où se côtoient marchands d'armes et narcotrafiquants, la mission ultra-périlleuse de Rake frôle l'impossible. Et la vie du mercenaire et du jeune garçon risque d'en être bouleversée à jamais…"
Terrible Jungle,29/07/2020,Comédie,91,Hugo Benamozig, Apollo Films ,"Catherine Deneuve,Vincent Dedienne,Alice Belaïdi",,,Français,Long-métrage,2020,-,"3,7","2,0",18 articles de presse,4 nominations,"Eliott, anthropologue un peu naïf, s'enfonce dans la jungle guyanaise pour étudier les Otopis. Ils découvre une tribu de brigands de mèche avec des trafiquants d'or, très éloignée de ce qu'il imaginait. Pendant ce temps, sa mère, Chantal de Bellabre, femme tyrannique et possessive, trouve que son fils met trop de temps à rentrer et décide de le rejoindre. Avec le peloton de gendarmerie local, dirigé par l'incapable lieutenant-colonel François-Yves Raspaillès, elle organise une expédition pour retrouver Eliott."
