titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Effacer l’historique,26/08/2020,,106,Gustave Kervern, Ad Vitam ,"Blanche Gardin,Denis Podalydès,Corinne Masiero",,"France,Belgique",Français,Long-métrage,2020,-,"4,0","2,2",31 articles de presse,1 prix et 2 nominations,"Dans un lotissement en province, trois voisins sont en prise avec les nouvelles technologies et les réseaux sociaux. Il y a Marie, victime de chantage avec une sextape, Bertrand, dont la fille est harcelée au lycée, et Christine, chauffeur VTC dépitée de voir que les notes de ses clients refusent de décoller.Ensemble, ils décident de partir en guerre contre les géants d’internet. Une bataille foutue d'avance, quoique..."
Run,,Epouvante-horreur,89,Aneesh Chaganty, M6 Vidéo ,"Sarah Paulson,Kiera Allen,Pat Healy",,,Anglais,Long-métrage,2020,-,"3,4",,47 Critiques Spectateurs,,"Une adolescente, qui a passé sa vie recluse avec sa mère, découvre le terrible secret que cette dernière lui cache depuis de nombreuses années. La vie idyllique de l'adolescente bascule..."
Unfollower,,,89,Julie Crisante,,"Julie Crisante,Dan Davidson,Marty Lindsey",,,Anglais,Long-métrage,2020,-,"2,3",,,,"Jo, une coach fitness en manque de confiance en elle, devient la cible d'harcèlement en ligne."
Mank,,Drame,132,David Fincher, Netflix ,"Gary Oldman,Amanda Seyfried,Lily Collins",,,Anglais,Long-métrage,2020,-,"4,4","3,4",26 articles de presse,3 prix et 19 nominations,"Dans ce film qui jette un point de vue caustique sur le Hollywood des années 30, le scénariste Herman J. Mankiewicz, alcoolique invétéré au regard acerbe, tente de boucler à temps le script de Citizen Kane d’Orson Welles."
Permis de construire,09/03/2022,,93,Eric Fraticelli, Warner Bros. France ,"Didier Bourdon,Eric Fraticelli,Anne Consigny",,,Français,Long-métrage,2020,-,"1,8","2,5",4 articles de presse,,"Dentiste à Paris, Romain vient de perdre son père qu'il n'a pas vu depuis des années. A sa grande surprise, ce dernier lui a laissé un terrain en héritage, ainsi qu'une dernière volonté : y faire construire la maison où il aurait aimé finir ses jours. Seul problème: ce terrain se situe en Corse."
Scooby !,08/07/2020,"Animation,Famille",94,Tony Cervone, Warner Bros. France ,"Frank Welker,Will Forte,Zac Efron",Scoob!,,Anglais,Long-métrage,2020,-,"2,5","2,5",108 Critiques Spectateurs,,"Dans SCOOBY!, on découvre comment Scooby et Sammy, amis pour la vie, se sont rencontrés et associés aux détectives en herbe Fred, Velma et Daphné pour créer la célèbre équipe Mystère et Cie."
Hamilton,,"Musical,Biopic",160,Thomas Kail,"
6 nominations
","Lin-Manuel Miranda,Jonathan Groff (II),Daveed Diggs",,,Anglais,Long-métrage,2020,-,"4,3",,7 Critiques Spectateurs,6 nominations,"Captation de la célèbre comédie musicale de Broadway récompensée par 11 Tony, Grammy et Olivier Awards, et par un prix Pulitzer. Hamilton raconte l'histoire d'Alexander Hamilton, l'un des Pères fondateurs de la nation américaine."
Josep,30/09/2020,"Historique,Biopic,Drame",71, Aurel, Dulac Distribution ,"Sergi López,David Marsais,Silvia Pérez Cruz",,"France,Espagne,Belgique","Français, Anglais, Catalan, Espagnol",Long-métrage,2020,-,"4,0","3,7",91 Critiques Spectateurs,6 prix et 2 nominations,
Minuit dans l'univers,,Science fiction,122,George Clooney, Netflix ,"George Clooney,Felicity Jones,David Oyelowo",The Midnight Sky,,Anglais,Long-métrage,2020,-,"2,5","2,4",21 articles de presse,3 nominations,"Dans ce film post-apocalyptique, Augustine, scientifique solitaire basé en Arctique, tente l’impossible pour empêcher l'astronaute Sully et son équipage de rentrer sur Terre. Car il sait qu’une mystérieuse catastrophe planétaire est imminente…"
Les Espions de l'aube,,"Thriller,Espionnage,Historique",120,Yimou Zhang,,"Yu Hewei,Zhang Yi,Hailu Qin",Impasse,,Mandarin,Long-métrage,2020,-,"2,7",,5 Critiques Spectateurs,,"Années 1930, État du Manchukuo. Quatre agents spéciaux du parti communiste formés en Union Soviétique se lancent dans une mission secrète dont le nom de code est ""Utrennya"". Mais après avoir été vendue par un traître, l'équipe se retrouve entourée de menaces de toutes parts. Les agents sortiront-ils de l'impasse et rempliront-ils leur mission ?"
