titre,boxoffice
Chers camarades !,9 240
100% loup,14 488
Petite soeur,5 741
De l’or pour les chiens,2 612
Algunas bestias,99
After Love,11 721
Un fils du sud,9 703
Never Rarely Sometimes Always,10 535
La Voix du succès,22 418
Louloute,11 005
The Turning,6 950 045
Sweat,8 396
French Exit,174 378
United fight,15 938
Kajillionaire,15 401
Hunter Hunter,12 010
The Souvenir - Part II,6 007
Le Sel des larmes,5 416
Les Mystères de Barcelone,2 581
De bas étage,4 981
Le Pardon,9 944
True Mothers,11 839
Cigare au miel,4 201
Digger,1 524
Petite Solange,8 711
Ma mère est un gorille (et alors?),5 076
Monday,18 767
Sous le ciel d’Alice,13 219
Les Travaux et les Jours - Partie 1,840
Envol,66
Miss Marx,1 651
Au crépuscule,3 482
Archenemy,5 638
My Kid,4 244
Balades sous les étoiles,5 035
Théo et les métamorphoses,969
La Verónica,2 767
Storia di vacanze,2 986
The Broken Hearts Gallery,1 125 000
Conférence,559
Le Quatuor à cornes Là-haut sur la montagne,12 670
Psycho,555
"L'Equipe de secours, en route pour l'aventure !",2 351
Gaza Mon Amour,15 130
Le Noël de petit lièvre brun,8 192
Maudit!,497
Un soupçon d'amour,2 317
Los Fuertes,1 715
Wolfy ! Et les loups en délire,4 969
On-Gaku : Notre Rock !,1 007
Et il y eut un matin,9 743
Les Enfants du soleil,2 044
Bill & Ted Face The Music,773 108
Las niñas,5 990
The Photograph,12 181 865
Zébulon le dragon et les médecins volants,14 300
Vent chaud,1 033
Monster Family : en route pour l'aventure !,21 493
La Chouette en toque,11 185
Last Words,4 297
Les Graines que l'on sème,859
Grandir c’est chouette !,15 835
Berlin Alexanderplatz,2 908
La Femme qui s’est enfuie,10 464
"Nadia, Butterfly",105
Si le vent tombe,8 632
Les Aventures d'un mathématicien,2 047
La Jungle est mon jardin,101
Radhe,196
Careless Crime,97
Grand frère,414
Les Sentiers de l'oubli,395
Le Prince Serpent,123
Buladó,1 052
L’ Indomptable feu du printemps,1 874
Any Day Now,299
Una Promessa,4 771
En attendant la neige,4 431
Nana et les filles du bord de mer,320
Like a Boss,10 011 272
The Cloud in Her Room,1 045
Half Brothers,720 000
L'Ordre moral,2 014
Street Dancer 3,500
Sweet Thing,2 213
Atarrabi et Mikelats,2 163
Au commencement,180
Goodbye Mister Wong,814
White Building,2 315
Walden,556
Laila in Haifa,4 920
Residue,1 105
"Euridice, là-bas...",100
Le Voyage d'Ana,108
Sème le vent,1 905
Nos liens,12
Irmã,4
La Mort du cinéma et de mon père aussi,793
Tanhaji,380
Sapphire Crystal,214
Darbar,1 559
Laissons les morts engloutir les morts,154
Summer White,783
Memory House,125
Oskar et Lily,1 324
Mafia: Chapter 1,840
Angrezi Medium,36
Emerald Run,163 178
Ik Sandhu Hunda Si,54
Adieu venus,48
Shubh Mangal Zyada Saavdhan,233
American Traitor: The Trial of Axis Sally,0
Holler,12 026
The Paper Tigers,46 615
Impractical Jokers: The Movie,3 545 000
Indiana Jones et le Cadran de la Destinée,1 089 875
À contretemps,28 720
Les Algues vertes,125 566
Vers un avenir radieux,91 786
Spider-Man : Across The Spider-Verse,550 808
Élémentaire,426 818
Mission: Impossible – Dead Reckoning Partie 1,930 141
Les Vengeances de Maître Poutifard,180 735
Insidious: The Red Door,306 107
Farang,79 426
Miraculous - le film,660 421
Une nuit,58 679
Asteroid City,117 498
