titre,boxoffice
Robuste,17 245
The Chef,24 140
La Fine fleur,116 388
Vaillante,302
Mes frères et moi,45 784
Sublime,3 463
Gagarine,26 007
On est fait pour s’entendre,158 922
Icare,18 155
La Proie d'une ombre,35 748
The Sadness,18 013
Willy’s Wonderland,97 164
355,120 131
Spider-Man : No Way Home - Version longue,6 000 000
Reminiscence,99 007
Onoda - 10 000 nuits dans la jungle,14 592
Les Bodin's en Thaïlande,580 181
Sans un bruit 2,228 844
Belfast,80 551
Les Promesses,130 294
Charlotte,11 017
Une jeune fille qui va bien,68 056
Madres paralelas,221 999
Les Secrets de mon père,11 978
Super-héros malgré lui,576 138
The Suicide Squad,256 516
Titane,88 523
Un tour chez ma fille,146 389
Goliath,267 284
The Deep House,150 204
Rumba la vie,151 081
En Attendant Bojangles,228 476
House of Gucci,293 474
La Traversée,189 578
Le Dernier duel,147 221
The Innocents,11 449
Illusions Perdues,230 106
Spider-Man: No Way Home,2 867 515
Qu'est-ce qu'on a tous fait au Bon Dieu ?,874 683
The King's Man : Première Mission,336 793
Stillwater,135 483
Les SEGPA,228 318
Mourir peut attendre,1 384 858
Camila sortira ce soir,3 198
The French Dispatch,197 450
Le Sommet des Dieux,49 532
Last Night in Soho,51 314
La Méthode Williams,90 468
Licorice Pizza,116 871
West Side Story,177 526
Fast & Furious 9,1 301 589
Ninjababy,8 494
Matrix Resurrections,513 133
Tous en scène 2,1 173 587
Annette,66 761
Les Repentis,11 537
Pleasure,11 214
Les Olympiades,81 883
Un homme en colère,149 025
"Encanto, la fantastique famille Madrigal",526 906
Les Choses humaines,89 353
Opération Portugal,147 706
Separation,1 831 000
Cry Macho,126 797
L'Evénement,62 150
Drive My Car,48 971
Délicieux,130 477
Conjuring 3 : sous l'emprise du diable,665 476
Benedetta,106 776
Freaks Out,23 855
Pourris gâtés,148 506
Mad God,6 856
Les Eternels,775 467
Old,105 841
Sundown,31 985
OSS 117: Alerte rouge en Afrique noire,685 878
Bloody Milkshake,10 853
Azuro,11 228
L'Été l’éternité,991
Le Soleil de trop près,3 009
"Costa Brava, Lebanon",6 597
Land,40
Les Lendemains de veille,3 350
Ogre - Der Fluch,16 198
Ma nuit,1 804
She Will,554
Cher Evan Hansen,3 700
Guermantes,5 141
Samhain,5 932
The Cursed,1 721 708
Neptune Frost,415
Baby Boss 2 : une affaire de famille,362 162
Murder Party,41 645
Les Sorcières d'Akelarre,20 879
Abuela,45 509
Ceux qui veulent ma mort,2 800 000
Cyrano,2 350
Ma famille afghane,11 763
Bergman Island,31 781
I Comete,9 083
Valentina,5 740
L'Homme de la cave,30 792
Murina,23 677
Utama : La Terre Oubliée,8 948
Twist À Bamako,47 130
Junk Head,6 264
Amel & les fauves,1 039
Le Médecin imaginaire,72 100
La Famille Addams 2 : une virée d'enfer,156 133
Le Rapport Auschwitz,6 658
Ice Road,57 091
Arthur Rambo,22 203
D'Artagnan et les trois Mousquetaires,20 012
Les Meilleures,6 262
Les Gagnants,35 199
Le Tigre qui s'invita pour le thé,20 803
Nos âmes d'enfants,20 705
"Ainbo, princesse d'Amazonie",109 322
D'où l'on vient,27 128
Juste sous vos yeux,7 264
Le Roi cerf,11 756
Olga,11 221
Cœurs vaillants,11 488
Le Monde après nous,11 831
Une mère,9 062
Tom et Jerry,87 570
Evolution,6 943
Hit The Road,25 480
Clara Sola,8 643
Clifford,163 178
Piggy,208
Pig,10 015
Mince alors 2 !,45 542
Voyagers,133
"Varsovie 83, une affaire d'État",13 976
Flag Day,36 741
Princesse Dragon,40 755
Le Vétéran,3 000 000
Dédales,8 937
L'Histoire de ma femme,21 259
Le Piège de Huda,3 389
My Hero Academia - World Heroes' Mission,129 395
Hitman & Bodyguard 2,214 788
Il buco,5 839
La Croisade,12 567
Pil,117 333
La Chapelle du Diable,19 511
Les Amours d’Anaïs,28 954
Un héros,64 589
Petite maman,29 219
Spirit : l'indomptable,118 045
La chance sourit à madame Nikuko,15 105
Mi iubita mon amour,7 225
Le Monde d'hier,43 740
Giulia,86
Le Tour du monde en 80 jours,163 520
Don't Breathe 2,58 266
My Son,34 698
Adieu Paris,35 841
Reprise en main,39 242
Où est Anne Frank !,14 543
Compagnons,54 164
Haut et Fort,15 126
After Blue (Paradis sale),11 166
Un monde,15 718
Zahorí,813
La Colline où rugissent les lionnes,4 342
Ça tourne à Saint-Pierre et Miquelon,2 177
Natural Light,1 901
Les Héroïques,7 434
Memento Mori,495
Années 20,672
Même les souris vont au paradis,2 867
Memory Box,10 607
Le Chemin du bonheur,6 341
Tom Medina,12 011
L'Enfant,1 447
The Djinn,50 312
Sans Toi,68
Entre ciel et terre,1 804
Plumes,5 471
Medusa,1 316
Suzanna Andler,9 052
Libertad,7 245
Pierre Lapin 2,482 349
L'Été nucléaire,937
A Journal for Jordan,1 175 000
L'Horizon,2 664
Detective Conan - The Scarlet Bullet,13 102
La Mif,1 709
Coeur errant,816
Anima Bella,1 795
All Eyes Off Me,2 553
Rêve,273
"Lingui, les liens sacrés",5 606
Bonne mère,13 256
Amants super-héroïques,5 141
Les Voisins de mes voisins sont mes voisins,3 565
Ariaferma,5 159
Tom,2 313
America Latina,4 183
Wild Men,5 004
L'Homme de Dieu,1 515
Mastemah,3 603
La Ruche,2 197
La Jeune Fille et l'Araignée,1 008
Next Door,8 910
Aya,2 019
Judas and the Black Messiah,2 000 000
Bad Luck Banging or Loony Porn,6 321
A Chiara,14 821
The Novice,420
Tokyo Shaking,24 348
Playlist,16 168
La Fièvre de Petrov,8 947
Ce qui reste,1 724
Hero Mode,11 843
The Beta Test,4 057
Les Poings desserrés,11 271
L'Esprit sacré,774
Le Roi du monde,1 140
Face à la mer,1 136
12 Mighty Orphans,251 569
Down In Paris,334
To Kill the Beast,593
Le Pied nickelé,17
La Femme du fossoyeur,842
Censor,34 299
La Légende du roi crabe,4 325
Ali & Ava,10 476
Les Promesses d’Hasan,5 671
Boogie,1 200 000
Le Prince,3 019
Sous le ciel de Koutaïssi,1 914
Pas pareil... et pourtant !,165
La Cure,28
Introduction,3 830
Super Z,59
L'Instant présent,200
Spiral,38
La Dernière nuit de Lise Broholm,4 306
107 Mothers,584
Van Gogh In Love,82
Despedida,47
Lucie perd son cheval,596
La Nuit aux amants,1 084
Le grand mouvement,2 836
The House Next Door: Meet the Blacks 2,1 011 756
Le Genou d’Ahed,14 835
Piccolo corpo,374
Saloum,988
Azor,523
Poet,1 350
Seule la joie,1 394
Women Do Cry,3 705
Pas... de quartier,330
Hikikomori,81
Doctor,4 124
Ce ne sera pas notre dernier Noël,917
Jakob’s Wife,27 588
Les Affluents,1 186
Journal de Tûoa,2 687
Luzzu,50
Jesús López,474
Un monde pour Julius,423
Anatomy of Time,250
Les Femmes du pavillon J,176
Employé / patron,5 472
Anatolia,926
Nudo mixteco : trois destins de femmes,69
Jeunesse en sursis,314
La Fraude,57
Cérémonie secrète,17
Carte Blanche,7
Estación catorce,127
Belladones,49
In The Earth,-1
No Man’s Land,58 969
American Underdog,6 200 000
Spiral,4 550 000
Senior Moment,16 543
Last Call,29 610
Statute of Limitations,
Indiana Jones et le Cadran de la Destinée,1 089 875
Asteroid City,117 498
Spider-Man : Across The Spider-Verse,550 808
Une nuit,58 679
Mission: Impossible – Dead Reckoning Partie 1,930 141
Élémentaire,426 818
Miraculous - le film,660 421
Les Algues vertes,125 566
Les Vengeances de Maître Poutifard,180 735
Insidious: The Red Door,306 107
Vers un avenir radieux,91 786
À contretemps,28 720
Farang,79 426
