titre,boxoffice
À plein temps,100 254
S.O.S. Fantômes : L'Héritage,280 226
Les Intranquilles,53 677
5ème Set,28 769
Une histoire d'amour et de désir,16 502
Barbaque,126 252
Blue Bayou,7 783
Free Guy,174 093
Venom: Let There Be Carnage,676 090
I’m Your Man,16 932
Suprêmes,77 095
Trigger Point,29 262
Petite Nature,33 148
Chaos Walking,3 825 000
Champagne !,1 547
Un espion ordinaire,103 555
Great Freedom,10 070
Le Trésor du Petit Nicolas,148 775
La Place d'une autre,22 520
Many Saints Of Newark - Une histoire des Soprano,12 136
La Revanche des Crevettes Pailletées,69 481
Ron Débloque,137 238
Contes du hasard et autres fantaisies,55 324
Sword Art Online - Progressive - Aria of a Starless Night,28 400
Ducobu Président !,295 230
After Yang,14 818
Space Jam - Nouvelle ère,182 763
Serre Moi Fort,43 695
Compartiment N°6,42 636
Placés,49 668
Le Temps des secrets,26 744
Un Triomphe,143 968
Tromperie,41 734
Une robe pour Mrs. Harris,38 711
Le Capitaine Volkonogov s'est échappé,12 018
Julie (en 12 chapitres),67 515
Les Méchants,77 098
Inexorable,15 001
Mascarade,91 498
Red Rocket,24 843
La Maison des égarées,4 640
Ouistreham,126 975
Escape Game 2 - Le Monde est un piège,82 707
Black Phone,136 339
Présidents,249 345
Les Grandes vacances de cowboy et indien,3 507
Tre Piani,65 389
Nightmare Alley,142 309
Marcel le Coquillage (avec ses chaussures),7 514
Dune,1 030 687
La Traversée,5 764
Oranges sanguines,17 696
La Pat’ Patrouille - Le film,459 566
Belle,54 238
Ils sont vivants,24 084
Belle et Sébastien : Nouvelle génération,179 709
Limbo,23 509
Le Chêne,53 196
Shang-Chi et la Légende des Dix Anneaux,481 173
Tout s'est bien passé,100 494
Un autre monde,195 408
The Card Counter,29 051
Amants,136 003
Madeleine Collins,68 324
Nobody,80 440
Raya et le dernier dragon,8 600 000
Jungle Cruise,284 661
Black Widow,440 689
Jardins enchantés,8 127
La Fracture,114 592
Cruella,379 133
Snake Eyes,13 350 000
Resident Evil : Bienvenue à Raccoon City,110 288
Les Folies fermières,64 286
Le Visiteur du futur,147 188
El buen patrón,57 333
Compétition officielle,61 295
Entre la vie et la mort,31 723
Mystère à Saint-Tropez : une enquête de l'inspecteur Boulin,116 540
Halloween Kills,128 699
Affamés,75 483
Malignant,69 056
Mortal Kombat,22 515 000
Spirale : L'Héritage de Saw,33 994
Les Passagers de la nuit,78 880
Alors on danse,167 617
La Brigade,145 097
Fragile,14 212
France,75 033
Si on chantait,118 824
American Nightmare 5 : Sans limites,173 729
Godzilla vs Kong,11 600 000
Rose,41 035
Candyman,74 266
Vortex,13 046
Une affaire de détails,4 705 527
Lamb,13 930
