titre,boxoffice
Hommes au bord de la crise de nerfs,102 659
Earwig,1 724
El Agua,7 432
Infinite Storm,751 296
Maigret,260 011
Dog,15 135 000
Noémie dit oui,6 039
Aucun ours,28 234
Tori et Lokita,29 811
Temps Mort,5 321
Le Petit Piaf,65 637
"Un an, une nuit",6 373
Apaches,33 659
Pulse,18
Une comédie romantique,10 405
L'Ile,346
Rebel,17 454
Sparta,606
Petaouchnok,49 948
Jours sauvages,183
L'Homme parfait,55 577
Plan 75,162
A propos de Joan,10 441
Fairytale,1 060
The Outfit,1 510 000
L'Emprise du démon,85 068
Chevalier Noir,9 284
Animals,1 351
Grand Paris,6 676
Au revoir le bonheur,7 757
Swing Rendez-vous,676
Dodo,11 033
Studio 666,1 580 000
Le Barrage,4 214
Comedy Queen,1 333
Brighton 4th,4 566
I love Greece,10 645
N'oublie pas les fleurs,3 096
Traces,1 884
Hinterland,4 685
Le Royaume des étoiles,158 405
Loup & Chien,974
Un Varón,2 608
Fièvre Méditerranéenne,5 745
Broadway,3 585
Tom Brady à tout prix,12 701 640
Butterfly Vision,4 878
Un été comme ça,472
Un hérisson dans la neige,15 007
Le Tigre et l'enfant,364 216
La Belle bleue,57
House Party,3 800 000
Des garçons de province,1 311
Les Démons d’argile,648
Brian and Charles,198 000
Petite leçon d’amour,5 854
Des Feux dans la nuit,2 728
Nayola,2 845
Heureux les fêlés,37
Seule : les dossiers Silvercloud,31
Karnawal,1 311
"C'est Magic ! - Sucré, salé...",330
Tant pis pour le sud,70
Laal Singh Chaddha,6 840
Opération Père Noël,10 895
Bob's Burgers : le film,12 600 000
Easter Sunday,5 250 000
Vikram,1 770 000
Noël avec les frères Koalas,5 286
Brahmāstra: Part One – Shiva,4 543 659
Gangubai Kathiawadi,592 000
Une femme indonésienne,5 016
Dealer,1 137
Magdala,874
Ponniyin Selvan - part 1,4 018 000
KGF 2 Hindi,2 874 000
De l’autre côté du mur,50
Orso,108
Vive le vent d'hiver,6 341
L'Etrange histoire du coupeur de bois,553
C'est Magic ! - À la baguette !,376
Rabiye Kurnaz contre George W. Bush,412
Le Chameau et le meunier,25
A E I O U - L'alphabet rapide de l'amour,424
Apples,414
Histoires de petites gens,387
Le Monde de Kaleb,749
Black is Beltza II: Ainhoa,137
Jungle rouge,2 575
Max et Emmy : Mission Pâques,49 805
Goodnight Soldier,3 088
The Kashmir Files,1 485 000
Lointaine Andromède,51
Don Sauvage,21
Family Camp,1 426 775
Ubeur,37
Los Sonámbulos,420
Echo,2 257
F3: Fun and Frustration,1 028 000
Ante Sundharaniki,615 000
Jugjugg Jeeyo,725 000
Infinity Pool,2 514 364
Pearl,3 124 600
Spoiler Alert,679 690
Le Jour où j'ai choisi la vie,2 178 281
I Heard the Bells,2 001 603
Indiana Jones et le Cadran de la Destinée,1 089 875
Insidious: The Red Door,306 107
Une nuit,58 679
Mission: Impossible – Dead Reckoning Partie 1,930 141
Vers un avenir radieux,91 786
Spider-Man : Across The Spider-Verse,550 808
Les Vengeances de Maître Poutifard,180 735
Asteroid City,117 498
Farang,79 426
Élémentaire,426 818
Miraculous - le film,660 421
