titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Departures,03/06/2009,,131,Yojiro Takita, Metropolitan FilmExport ,"Masahiro Motoki,Tsutomu Yamazaki,Ryoko Hirosue",Okuribito,,Japonais,Long-métrage,2008,-,"3,7","4,2",21 articles de presse,1 prix et 1 nomination,"Dans une province rurale du nord du Japon, à Yamagata, où Daigo Kobayashi retourne avec son épouse, après l'éclatement de l'orchestre dans lequel il jouait depuis des années à Tokyo. Daigo répond à une annonce pour un emploi ""d'aide aux départs"", imaginant avoir affaire à une agence de voyages. L'ancien violoncelliste s'aperçoit qu'il s'agit en réalité d'une entreprise de pompes funèbres, mais accepte l'emploi par nécessité financière. Plongé dans ce monde peu connu, il va découvrir les rites funéraires, tout en cachant à sa femme sa nouvelle activité, en grande partie taboue au Japon."
"Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone",,Policier,158,Francis Ford Coppola, Paramount Pictures France ,"Al Pacino,Andy Garcia,Diane Keaton","Mario Puzo’s The Godfather, CODA: The Death Of Michael Corleone",,"Anglais, Italien",Long-métrage,2020,-,"4,2",,15 Critiques Spectateurs,,A l’occasion du 30ème anniversaire du film
Klaus,,,96,Sergio Pablos, Netflix France ,"Alex Lutz,Jason Schwartzman,Ludivine Sagnier",,"Espagne,U.S.A.","Anglais, Espagnol",Long-métrage,2019,-,"4,2","4,2",201 Critiques Spectateurs,1 prix et 1 nomination,"Jesper, qui s'est distingué comme le pire élève de son école de facteurs, écope d'une mission sur une île enneigée, au nord du Cercle arctique. Là-bas, les habitants ne s'entendent pas et ne se parlent presque jamais. Autant dire qu'ils n'entretiennent pas non plus de correspondance ! Alors que Jesper est sur le point d'abandonner, il trouve une alliée en la personne d'Alva, l'institutrice de l'île, et fait la connaissance de Klaus, mystérieux menuisier qui vit seul dans son chalet regorgeant de jouets artisanaux. Grâce à ces relations amicales inattendues, la petite ville de Smeerensburg retrouve la joie de vivre. C'est ainsi que ses habitants découvrent la générosité entre voisins, les contes de fée et la tradition des chaussettes soigneusement accrochées à la cheminée pour Noël !"
Dans ses yeux,05/05/2010,"Policier,Romance,Thriller",129,Juan José Campanella, Pretty Pictures ,"Ricardo Darín,Soledad Villamil,Pablo Rago",El Secreto de Sus Ojos,"Espagne,Argentine",Espagnol,Long-métrage,2009,2 000 000 $,"3,6","4,2",20 articles de presse,5 prix et 10 nominations,"1974, Buenos Aires. Benjamin Esposito enquête sur le meurtre violent d'une jeune femme."
Fantastic Mr. Fox,17/02/2010,"Aventure,Comédie",88,Wes Anderson, Twentieth Century Fox France ,"George Clooney,Meryl Streep,Jason Schwartzman",,,"Anglais, Français",Long-métrage,2009,40 000 000 $,"4,3","4,2",468 Critiques Spectateurs,3 prix et 13 nominations,"M. Fox, le plus rusé des voleurs de poules, sa femme, Mme Fox, Ash, son fils, le cousin Kristofferson et tous les autres animaux de la forêt défient trois odieux fermiers. Ils vont vivre la plus périlleuse et délirante des aventures."
Sorcerer,,"Aventure,Thriller,Drame",121,William Friedkin, Les Bookmakers / La Rabbia ,"Roy Scheider,Bruno Cremer,Francisco Rabal",,,"Anglais, Français, Espagnol, Allemand",Long-métrage,1977,22 000 000 $,"4,2",,117 Critiques Spectateurs,,"Quatre étrangers de nationalités différentes, chacun recherché dans son pays, s'associent pour conduire un chargement de nitroglycérine à travers la jungle sud-américaine…"
Le Septieme Juré,,,96,Georges Lautner,,"Jacques Monod,Maurice Biraud,Bernard Blier",,,Français,Long-métrage,1961,-,"4,2",,49 Critiques Spectateurs,,
Loulou,,,133,Georg Wilhelm Pabst, Tamasa Distribution ,"Louise Brooks,Fritz Kortner,Franz Lederer",Die Büchse der Pandora,,Muet,Long-métrage,1929,-,,,,,"Loulou, belle, capricieuse, insouciante et innocemment perverse, est une créature qui ne vit que pour l’amour. Elle joue dans une revue que commandite son amant, Ludwig Schön, un puissant magnat de la presse et du music-hall fiancé à la fille du ministre de l’intérieur. Au soir de la première, Loulou oblige Ludwig à rompre. Elle se fait épouser par Schön, mais le soir des noces, il la surprend dans sa chambre en situation équivoque. Furieux il veut l’obliger à se suicider, mais dans la lutte, c’est lui qui est tué par accident. Accusée de meurtre, Loulou parvient à s’enfuir…"
Le Cirque,,"Drame,Romance",72,Charles Chaplin, Théâtre du Temple ,"Charles Chaplin,Al Ernest Garcia,Merna Kennedy",The Circus,,Muet,Long-métrage,1928,900 000 $,,,1 article de presse,5 nominations,"En fuyant la police, un vagabond se retrouve sur la piste d’un cirque. Ses étourderies provoquent l’hilarité du public et incitent le directeur de l’établissement à l’embaucher comme clown…"
Chien enragé,12/01/1961,Drame,122,Akira Kurosawa, Carlotta Films ,"Toshirô Mifune,Takashi Shimura,Keiko Awaji",Nora inu,,Japonais,Long-métrage,1949,-,"4,8","4,2",4 articles de presse,,"Dans le Japon d'après-guerre, un policier se fait subtiliser son arme. Son supérieur refuse sa démission et l'envoie à la poursuite du malfaiteur. Il mène son enquête dans les bas-fonds de Tokyo, où il côtoie la misère d'une population qui survit difficilement à la défaite de son pays."
Avengers: Endgame,24/04/2019,"Aventure,Science fiction",181,Joe Russo, The Walt Disney Company France ,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",,,Anglais,Long-métrage,2019,-,"3,2","4,2",33 articles de presse,3 nominations,"Thanos ayant anéanti la moitié de l’univers, les Avengers restants resserrent les rangs dans ce vingt-deuxième film des Studios Marvel, grande conclusion d’un des chapitres de l’Univers Cinématographique Marvel."
Platoon,25/03/1987,Drame,120,Oliver Stone, Solaris Distribution ,"Charlie Sheen,Tom Berenger,Willem Dafoe",,"Grande-Bretagne,U.S.A.","Anglais, Vietnamien",Long-métrage,1986,6 000 000 $,"4,6","4,2",5 articles de presse,10 prix et 10 nominations,"Septembre 1967: Chris Taylor, dix-neuf ans, rejoint la compagnie Bravo du 25ème régiment d'infanterie, près de la frontière cambodgienne. Chris, issu d'une famille bourgeoise s'est engagé volontairement et, plein d'idéal entend bien servir son pays. Mais la réalité est tout autre et ses illusions vont tomber les unes après les autres. Il sera également temoin de la rivalité sanglante qui oppose deux officiers qu'il admire."
Little Big Man,29/03/1971,Aventure,139,Arthur Penn, Carlotta Films ,"Dustin Hoffman,Faye Dunaway,Martin Balsam",,,Anglais,Long-métrage,1970,15 000 000 $,"4,2",,180 Critiques Spectateurs,3 nominations,"Âgé de 121 ans, Jack Crabb, seul survivant du massacre de Little Big Horn, raconte son histoire à un journaliste. Adopté par une famille de Cheyennes, ce visage pâle est surnommé Little Big Man à cause de son immense courage. Un jour, toute sa tribu est massacrée par les Blancs et Jack est alors recueilli par un pasteur et sa femme. Mais le jeune homme est partagé entre ses origines indiennes et son nouveau peuple.."
American Beauty,02/02/2000,,122,Sam Mendes, United International Pictures (UIP) ,"Kevin Spacey,Annette Bening,Thora Birch",,,Anglais,Long-métrage,1999,15 000 000 $,"3,9","4,2",28 articles de presse,14 prix et 16 nominations,"Une maison de rêve, un pavillon bourgeois discrètement cossu dissimule dans une banlieue résidentielle, c'est ici que résident Lester Burnhamm, sa femme Carolyn et leur fille Jane. L'agitation du monde et sa violence semblent bien loin ici. Mais derrière cette respectable façade se tisse une étrange et grinçante tragi-comédie familiale ou désirs inavoués, frustrations et violences refoulées conduiront inexorablement un homme vers la mort."
Mary et Max.,30/09/2009,Comédie,92,Adam Elliot, Gaumont Distribution ,"Toni Collette,Philip Seymour Hoffman,Eric Bana",Mary and Max,,"Anglais, Yiddish",Long-métrage,2009,8.240.000 AUD,"4,3","4,2",450 Critiques Spectateurs,1 prix et 4 nominations,"Sur plus de vingt ans et d'un continent à l'autre, Mary et Max raconte l'histoire d'une relation épistolaire entre deux personnes très différentes : Mary Dinkle, une fillette de 8 ans joufflue et solitaire, vivant dans la banlieue de Melbourne, en Australie, et Max Horowitz, un juif obèse de 44 ans, atteint du syndrome d'Asperger et habitant dans la jungle urbaine de New York."
The Grand Budapest Hotel,26/02/2014,Drame,100,Wes Anderson, Twentieth Century Fox France ,"Ralph Fiennes,Tony Revolori,F. Murray Abraham",,"U.S.A.,Allemagne","Anglais, Français",Long-métrage,2013,-,"4,5","4,2",34 articles de presse,12 prix et 18 nominations,
Silent Voice,22/08/2018,"Drame,Romance",129,Naoko Yamada, Art House ,"Miyu Irino,Saori Hayami,Aoi Yūki",Koe no katachi,,Japonais,Long-métrage,2018,-,"3,7","4,3",159 Critiques Spectateurs,,"Nishimiya est une élève douce et attentionnée. Chaque jour, pourtant, elle est harcelée par Ishida, car elle est sourde. Dénoncé pour son comportement, le garçon est à son tour mis à l'écart et rejeté par ses camarades. Des années plus tard, il apprend la langue des signes... et part à la recherche de la jeune fille."
The Greatest Showman,24/01/2018,Comédie musicale,104,Michael Gracey, Twentieth Century Fox France ,"Hugh Jackman,Zac Efron,Michelle Williams",,,Anglais,Long-métrage,2017,-,"2,7","4,2",25 articles de presse,1 prix et 3 nominations,"The Greatest Showman célèbre la naissance du show-business et l’émerveillement que l’on éprouve lorsque les rêves deviennent réalité. Inspirée par l’ambition et l’imagination de P.T Barnum, voici l’histoire d’un visionnaire parti de rien qui a créé un spectacle devenu un phénomène planétaire."
Le Salaire de la Peur,22/04/1953,Thriller,151,Henri-Georges Clouzot, Les Acacias ,"Yves Montand,Charles Vanel,Peter van Eyck",,"France,Italie","Français, Anglais, Espagnol",Long-métrage,1952,-,"4,2",,177 Critiques Spectateurs,3 prix et 13 nominations,"En Amérique Centrale, une compagnie pétrolière propose une grosse somme d'argent à qui acceptera de conduire deux camions chargés de nitroglycérine sur 500 kilomètres de pistes afin d'éteindre un incendie dans un puits de pétrole. Quatre aventuriers sont choisis et entament un voyage long et très dangereux..."
La Beauté du Diable,,Drame,96,René Clair,"
1 nomination
","Gérard Philipe,Michel Simon,Simone Valère",,"France,Italie",Français,Long-métrage,1950,-,"4,2",,40 Critiques Spectateurs,,
Harry Potter et les reliques de la mort - partie 2,13/07/2011,Aventure,130,David Yates, Warner Bros. France ,"Daniel Radcliffe,Rupert Grint,Emma Watson",Harry Potter and the Deathly Hallows - Part 2,"U.S.A.,Grande-Bretagne",Anglais,Long-métrage,2011,125 000 000 $,"3,8","4,2",19 articles de presse,5 prix et 14 nominations,"Dans la 2e Partie de cet épisode final, le combat entre les puissances du bien et du mal de l’univers des sorciers se transforme en guerre sans merci. Les enjeux n’ont jamais été si considérables et personne n’est en sécurité. Mais c’est Harry Potter qui peut être appelé pour l’ultime sacrifice alors que se rapproche l’ultime épreuve de force avec Voldemort."
L'Île aux chiens,11/04/2018,Aventure,102,Wes Anderson, Twentieth Century Fox France ,"Vincent Lindon,Bryan Cranston,Louis Garrel",Isle Of Dogs,"Allemagne,U.S.A.","Anglais, Japonais",Long-métrage,2018,-,"4,1","4,2",285 Critiques Spectateurs,2 prix et 11 nominations,"En raison d’une épidémie de grippe canine, le maire de Megasaki ordonne la mise en quarantaine de tous les chiens de la ville, envoyés sur une île qui devient alors l’Ile aux Chiens. Le jeune Atari, 12 ans, vole un avion et se rend sur l’île pour rechercher son fidèle compagnon, Spots. Aidé par une bande de cinq chiens intrépides et attachants, il découvre une conspiration qui menace la ville."
La Cité de Dieu,12/03/2003,Policier,135,Kátia Lund, Mars Distribution ,"Alexandre Rodrigues,Leandro Firmino da Hora,Seu Jorge",Cidade de Deus,,Portugais,Long-métrage,2002,3 300 000 $,"3,9","4,2",21 articles de presse,1 prix et 9 nominations,"Dans une favela qui a vu le jour à Rio de Janeiro dans les années soixante, Fusée est un gamin noir, pauvre, trop fragile pour devenir hors-la-loi, mais assez malin pour ne pas se contenter d'un travail sous payé. Il grandit dans un environnement violent, mais tente de voir la réalité autrement, avec l'oeil d'un artiste. Il rêve de devenir photographe professionnel."
Divorce à l'Italienne,22/05/1962,"Drame,Romance",104,Pietro Germi, Les Films du Camelia ,"Marcello Mastroianni,Daniela Rocca,Stefania Sandrelli",Divorzio all'Italiana,,Italien,Long-métrage,1961,-,"4,0","4,2",2 articles de presse,2 prix et 7 nominations,"Ferdinando Cefalu, un noble sicilien, est amoureux de sa jeune cousine, Angela. Mais il est marié à Rosalia, une femme insupportable, et le divorce est illégal en Italie... Plein de ressources, Ferdinando concocte donc un "" divorce à l'italienne "" : pousser sa femme dans les bras d'un amant, surprendre l'infidèle en pleine action et commettre un crime passionnel qui n'entraîne qu'un minimum de peine de prison..."
Love Exposure,,"Action,Comédie",237,Sion Sono, Metropolitan FilmExport ,"Makiko Watanabe,Itsuji Itao,Takahiro Nishijima",Ai no mukidashi,,Japonais,Long-métrage,2008,-,"4,2",,92 Critiques Spectateurs,,"Fils d’un prêtre respecté, Yu intègre un groupe de pervers professionnels afin de vivre dans le péché. Malgré une vie de débauche, le jeune homme ne désespère pas de trouver l’âme soeur. Sa rencontre avec Yoko, dont l’innocence bafouée n’a d’égal que sa haine pour la gent masculine, va propulser le jeune homme bien au-delà des limites du bien et du mal…"
L'Etrange Noël de M. Jack,07/12/1994,"Animation,Comédie musicale",75,Henry Selick, The Walt Disney Company France ,"Chris Sarandon,Danny Elfman,Catherine O'Hara",The Nightmare Before Christmas,,Anglais,Long-métrage,1993,18 000 000 $,"4,8","4,2",6 articles de presse,3 nominations,"Jack Skellington, roi des citrouilles et guide de Halloween-ville, s'ennuie : depuis des siècles, il en a assez de préparer la même fête de Halloween qui revient chaque année, et il rêve de changement. C'est alors qu'il a l'idée de s'emparer de la fête de Noël..."
Soul,,"Aventure,Famille",100,Pete Docter,"
6 prix et 3 nominations
","Omar Sy,Jamie Foxx,Camille Cottin",,,Anglais,Long-métrage,2020,-,"4,3","4,2",458 Critiques Spectateurs,6 prix et 3 nominations,
Patients,01/03/2017,Comédie,112, Grand Corps Malade, Gaumont Distribution ,"Pablo Pauly,Soufiane Guerrab,Moussa Mansaly",,,Français,Long-métrage,2016,-,"3,8","4,2",29 articles de presse,4 prix et 7 nominations,"Se laver, s'habiller, marcher, jouer au basket, voici ce que Ben ne peut plus faire à son arrivée dans un centre de rééducation suite à un grave accident. Ses nouveaux amis sont tétras, paras, traumas crâniens.... Bref, toute la crème du handicap. Ensemble ils vont apprendre la patience. Ils vont résister, se vanner, s'engueuler, se séduire mais surtout trouver l'énergie pour réapprendre à vivre. Patients est l'histoire d'une renaissance, d'un voyage chaotique fait de victoires et de défaites, de larmes et d’éclats de rire, mais surtout de rencontres : on ne guérit pas seul."
Nous trois ou rien,04/11/2015,,102, Kheiron, Gaumont Distribution ," Kheiron,Leïla Bekhti,Gérard Darmon",,,Français,Long-métrage,2014,-,"3,6","4,2",24 articles de presse,,"D’un petit village du sud de l’Iran aux cités parisiennes, Kheiron nous raconte le destin hors du commun de ses parents Hibat et Fereshteh, éternels optimistes, dans une comédie aux airs de conte universel qui évoque l’amour familial, le don de soi et surtout l’idéal d’un vivre-ensemble."
La La Land,25/01/2017,Romance,128,Damien Chazelle, SND ,"Ryan Gosling,Emma Stone,John Legend",,,Anglais,Long-métrage,2016,-,"4,4","4,2",41 articles de presse,24 prix et 21 nominations,"Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions."
Bienvenue à Gattaca,29/04/1998,,106,Andrew Niccol,"
 2 prix et 7 nominations
","Ethan Hawke,Uma Thurman,Jude Law",Gattaca,,Anglais,Long-métrage,1997,36 000 000 $,"4,2",,1000 Critiques Spectateurs,2 prix et 7 nominations,"Dans un monde parfait, Gattaca est un centre d'études et de recherches spatiales pour des jeunes gens au patrimoine génétique impeccable. Jérôme, candidat idéal, voit sa vie détruite par un accident tandis que Vincent, enfant naturel, rêve de partir pour l'espace. Chacun des deux va permettre à l'autre d'obtenir ce qu'il souhaite en déjouant les lois de Gattaca."
Violet Evergarden - le film,19/05/2021,"Drame,Fantastique",141,Taichi Ishidate, Eurozoom ,"Yui Ishikawa,Daisuke Namikawa,Takehito Koyasu",Gekijouban Violet Evergarden,,Japonais,Long-métrage,2020,-,"2,7","4,2",28 Critiques Spectateurs,,"Violet Evergarden est toujours incapable d'oublier Gilbert, son ancien supérieur hiérarchique. Un jour, alors qu'elle reçoit une demande d'un jeune client, CH Postal découvre une lettre sans adresse dans leur entrepôt."
Mr. Smith au Sénat,19/01/1940,,125,Frank Capra, Columbia ,"Claude Rains,James Stewart,Jean Arthur",Mr Smith Goes to Washington,,Anglais,Long-métrage,1939,1 900 000 $,"4,0","4,2",2 articles de presse,1 prix et 9 nominations,"Jefferson Smith est très aimé des Boys Rangers, un club de jeunes garçons qu'il dirige. Cet homme populaire et naïf est une affaire pour le gouverneur Hopper et son chef politique Jim Taylor, qui en font un sénateur idéal pour couvrir leurs sombres histoires. Mr. Smith devient alors vite la risée du Congrès et est, malgré lui, compromis dans une affaire louche. Après un moment de découragement et grâce à sa secrétaire, il prend la parole au Sénat et la garde vingt-trois heures durant!"
Les Indestructibles 2,04/07/2018,"Famille,Aventure",118,Brad Bird, The Walt Disney Company France ,"Gérard Lanvin,Craig T. Nelson,Déborah Perret",The Incredibles 2,,Anglais,Long-métrage,2018,-,"4,2","4,2",543 Critiques Spectateurs,4 nominations,"Notre famille de super-héros préférée est de retour! Cette fois c’est Hélène qui se retrouve sur le devant de la scène laissant à Bob le soin de mener à bien les mille et une missions de la vie quotidienne et de s’occuper de Violette, Flèche et de bébé Jack-Jack. C’est un changement de rythme difficile pour la famille d’autant que personne ne mesure réellement l’étendue des incroyables pouvoirs du petit dernier… Lorsqu’un nouvel ennemi fait surface, la famille et Frozone vont devoir s’allier comme jamais pour déjouer son plan machiavélique."
"3 Billboards, Les Panneaux de la vengeance",17/01/2018,,116,Martin McDonagh, Twentieth Century Fox France ,"Frances McDormand,Woody Harrelson,Sam Rockwell","Three Billboards Outside Ebbing, Missouri","Grande-Bretagne,U.S.A.",Anglais,Long-métrage,2017,-,"3,9","4,2",35 articles de presse,16 prix et 19 nominations,"Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville."
L'Ange ivre,06/02/1991,Thriller,98,Akira Kurosawa, Carlotta Films ,"Toshirô Mifune,Takashi Shimura,Reisaburo Yamamoto",Yoidore Tenshi,,Japonais,Long-métrage,1948,-,"4,0","4,2",1 article de presse,,"Appelé en pleine nuit à soigner un jeune gangster pour une blessure à la main, un médecin alcoolique décèle une affection plus grave, la tuberculose. Il tente de soigner le jeune homme qui ne veut rien entendre, et malgré les disputes et les menaces, il se prend d'amitié pour lui. Le chassé-croisé des deux hommes que tout oppose trouvera une issue tragique dans les milieux violents de la pègre japonaise."
Dragons 2,02/07/2014,"Aventure,Famille",103,Dean DeBlois, Twentieth Century Fox France ,"Donald Reignoux,Jay Baruchel,Cate Blanchett",How to Train Your Dragon 2,,Anglais,Long-métrage,2014,145 000 000 $,"4,0","4,2",985 Critiques Spectateurs,1 prix et 4 nominations,
The Revenant,24/02/2016,Aventure,156,Alejandro González Iñárritu, Twentieth Century Fox France ,"Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson",,"U.S.A.,Hong-Kong,Taïwan","Anglais, Français",Long-métrage,2015,-,"3,8","4,2",45 articles de presse,14 prix et 13 nominations,"Dans une Amérique profondément sauvage, Hugh Glass, un trappeur, est attaqué par un ours et grièvement blessé. Abandonné par ses équipiers, il est laissé pour mort. Mais Glass refuse de mourir. Seul, armé de sa volonté et porté par l’amour qu’il voue à sa femme et à leur fils, Glass entreprend un voyage de plus de 300 km dans un environnement hostile, sur la piste de l’homme qui l’a trahi. Sa soif de vengeance va se transformer en une lutte héroïque pour braver tous les obstacles, revenir chez lui et trouver la rédemption."
Les Diaboliques,29/01/1955,"Thriller,Epouvante-horreur",117,Henri-Georges Clouzot, Les Acacias ,"Simone Signoret,Vera Clouzot,Paul Meurisse",,,Français,Long-métrage,1955,-,"4,3",,213 Critiques Spectateurs,1 prix et 1 nomination,"Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît..."
Midnight Express,01/09/1978,,120,Alan Parker, Columbia Films ,"Brad Davis,Irene Miracle,Bo Hopkins",,,"Anglais, Turc",Long-métrage,1978,2 300 000 $,"2,0","4,3",5 articles de presse,9 prix et 14 nominations,"Billy Hayes, touriste en Turquie, est arrêté à la frontière avec deux kilogrammes de drogue sur lui. Condamné à quelques jours de prison, le jeune homme découvre que sa peine a été muée en prison à perpétuité par le gouvernement souhaitant faire de son cas un exemple. Désemparé, Billy multiplie les procès et parcourt les prisons les plus sordides."
Le Nom de la Rose,17/12/1986,"Drame,Thriller,Policier",131,Jean-Jacques Annaud, Artistes Auteurs Associés (A.A.A.) ,"Sean Connery,Christian Slater,Helmut Qualtinger",,"Italie,France,Allemagne",Anglais,Long-métrage,1986,20 000 000 $,"4,8","4,2",5 articles de presse,# prix,
Nausicaä de la vallée du vent,23/08/2006,Aventure,117,Hayao Miyazaki, Buena Vista International ,"Gorô Naya,Ichirô Nagai,Mîna Tominaga",Kaze no tani no Naushika,,Japonais,Long-métrage,1984,-,"4,5","4,2",453 Critiques Spectateurs,,"Sur une Terre ravagée par la folie des hommes durant les « sept jours de feu », une poignée d’humains a réussi à survivre dans une vallée protégée par le vent. Ce peuple agricole est pourtant menacé par une forêt toxique qui ne cesse de prendre de l’ampleur, forêt où seuls survivent des insectes géants et mutants. Ces quelques survivants voient un jour leur roi bien-aimé assassiné et leur princesse Nausicaä faite prisonnière. Or cette dernière, sensible à la nature et à l’écosystème, est seule capable de communiquer avec les mutants…"
Papillon,25/01/1974,"Judiciaire,Drame,Aventure",145,Franklin J. Schaffner,"
2 nominations
","Steve McQueen,Dustin Hoffman,Victor Jory",,"France,U.S.A.",Anglais,Long-métrage,1973,12 000 000 $,"4,0","4,3",5 articles de presse,2 nominations,"Henri ""Papillon"" Charrière, un malfrat de petite envergure, est jugé à tort pour un meurtre qu'il n'a pas commis. Celui-ci est condamné à vie dans une prison d'une colonie française : le bagne de Cayenne. Mais Papillon n'a qu'une seule idée en tête : s'évader."
Mademoiselle,01/11/2016,Romance,151,Park Chan-Wook, The Jokers / Bac Films ,"Kim Min-Hee,Tae-ri Kim,Jung-woo Ha",Agassi,,"Coréen, Japonais",Long-métrage,2016,-,"3,8","4,2",36 articles de presse,1 prix et 5 nominations,"Corée. Années 30, pendant la colonisation japonaise. Une jeune femme (Sookee) est engagée comme servante d’une riche japonaise (Hideko), vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret. Avec l’aide d’un escroc se faisant passer pour un comte japonais, ils ont d’autres plans pour Hideko…"
HEIMAT II – L’exode,23/10/2013,Historique,231,Edgar Reitz, Les Films du Losange ,"Jan Dieter Schneider,Antonia Bill,Maximilian Scheidt",Die andere Heimat - Chronik einer Sehnsucht (part 2),"Allemagne,France",Allemand,Long-métrage,2013,-,"4,2","4,2",15 articles de presse,,
Au nom du père,09/03/1994,,133,Jim Sheridan,"
1 prix et 16 nominations
","Daniel Day-Lewis,Pete Postlethwaite,Emma Thompson",In the name of the father,"Irlande,Grande-Bretagne",Anglais,Long-métrage,1993,13 000 000 $,"3,6","4,2",5 articles de presse,1 prix et 16 nominations,"En 1975, Gerry Conlon, jeune délinquant originaire de Belfast, est arrêté par la police londonienne qui l'accuse d'être l'instigateur des attentats terroristes à Guildford pour le compte de l'IRA. Sous la pression des policiers, Gerry signe des aveux fabriqués de toutes pièces qui non seulement le mettent en cause mais également Pau Hill son ami d'enfance, un couple d'amis hippies, ainsi que plusieurs membres de sa famille dont son propre père."
Dune,15/09/2021,Drame,156,Denis Villeneuve, Warner Bros. France ,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",,,Anglais,Long-métrage,2021,-,"4,0","4,3",40 articles de presse,12 prix et 14 nominations,"L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la ressource la plus précieuse au monde, capable de décupler la puissance de l'humanité. Tandis que des forces maléfiques se disputent le contrôle de cette planète, seuls ceux qui parviennent à dominer leur peur pourront survivre…"
Piège de cristal,21/09/1988,,132,John McTiernan,"
5 nominations
","Bruce Willis,Alan Rickman,Alexander Godunov",Die Hard,,Anglais,Long-métrage,1988,28 000 000 $,"3,6","4,2",9 articles de presse,5 nominations,"John McClane, policier new-yorkais, est venu rejoindre sa femme Holly, dont il est séparé depuis plusieurs mois, pour les fêtes de Noël dans le secret espoir d'une réconciliation. Celle-ci est cadre dans une multinationale japonaise, la Nakatomi Corporation. Son patron, M. Takagi, donne une soirée en l'honneur de ses employés, à laquelle assiste McClane. Tandis qu'il s'isole pour téléphoner, un commando investit l'immeuble et coupe toutes les communications avec l'extérieur..."
La grande illusion,09/06/1937,Guerre,114,Jean Renoir, Carlotta Films ,"Jean Gabin,Dita Parlo,Erich Von Stroheim",,,"Français, Allemand, Anglais, Russe",Long-métrage,1937,-,"5,0","4,2",3 articles de presse,1 prix et 6 nominations,"Première Guerre mondiale. Deux soldats français sont faits prisonniers par le commandant von Rauffenstein, un Allemand raffiné et respectueux. Conduits dans un camp de prisonniers, ils aident leurs compagnons de chambrée à creuser un tunnel secret. Mais à la veille de leur évasion, les détenus sont transférés. Ils sont finalement emmenés dans une forteresse de haute sécurité dirigée par von Rauffenstein. Celui-ci traite les prisonniers avec courtoisie, se liant même d'amitié avec Boeldieu. Mais les officiers français préparent une nouvelle évasion."
Mystic River,15/10/2003,"Thriller,Policier",137,Clint Eastwood, Warner Bros. France ,"Tim Robbins,Kevin Bacon,Laurence Fishburne",,"U.S.A.,Australie",Anglais,Long-métrage,2003,30 000 000 $,"4,7","4,2",16 articles de presse,5 prix et 17 nominations,"Jimmy Markum, Dave Boyle et Sean Devine ont grandi ensemble dans les rues de Boston. Rien ne semblait devoir altérer le cours de leur amitié jusqu'au jour où Dave se fit enlever par un inconnu sous les yeux de ses amis. Leur complicité juvénile ne résista pas à un tel événement et leurs chemins se séparèrent inéluctablement."
Hasta la vista,07/03/2012,,113,Geoffrey Enthoven, Les Films 13 ,"Robrecht Vanden Thoren,Johan Heldenbergh,Gilles De Schrijver",,,"Néerlandais, Français, Anglais, Espagnol",Long-métrage,2011,-,"3,5","4,2",21 articles de presse,2 prix et 7 nominations,"Trois jeunes d’une vingtaine d’années aiment le vin et les femmes, mais ils sont encore vierges. Sous prétexte d’une route des vins, ils embarquent pour un voyage en Espagne dans l’espoir d’avoir leur première expérience sexuelle. Rien ne les arrêtera… Pas même leurs handicaps : l'un est aveugle, l'autre est confiné sur une chaise roulante et le troisième est complètement paralysé."
Dragons 3 : Le monde caché,06/02/2019,"Aventure,Famille",104,Dean DeBlois, Universal Pictures International France ,"Donald Reignoux,Jay Baruchel,Florine Orphelin",How To Train Your Dragon: The Hidden World,,Anglais,Long-métrage,2019,-,"3,9","4,2",364 Critiques Spectateurs,3 nominations,"Harold est maintenant le chef de Berk au côté d’Astrid et Krokmou, en tant que dragon, est devenu le leader de son espèce. Ils réalisent enfin leurs rêves de vivre en paix entre vikings et dragons. Mais lorsque l’apparition soudaine d’une Furie Eclair coïncide avec la plus grande menace que le village n’ait jamais connue, Harold et Krokmou sont forcés de quitter leur village pour un voyage dans un monde caché dont ils n’auraient jamais soupçonnés l’existence. Alors que leurs véritables destins se révèlent, dragons et vikings vont se battre ensemble jusqu’au bout du monde pour protéger tout ce qu’ils chérissent."
