titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Les Affranchis,12/09/1990,Drame,145,Martin Scorsese, Warner Bros. France ,"Ray Liotta,Robert De Niro,Joe Pesci",Goodfellas,,Anglais,Long-métrage,1990,25 000 000 $,"5,0","4,5",5 articles de presse,7 prix et 16 nominations,"Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero et voue une grande admiration pour Jimmy Conway, qui a fait du détournement de camions sa grande spécialité. Lucide et ambitieux, il contribue au casse des entrepôts de l'aéroport d'Idlewild et épouse Karen, une jeune Juive qu'il trompe régulièrement. Mais son implication dans le trafic de drogue le fera plonger..."
Your Name,28/12/2016,Fantastique,110,Makoto Shinkai, Eurozoom ,"Yoann Borg,Ryûnosuke Kamiki,Alice Orsat",Kimi no na wa.,,"Japonais, Chinois",Long-métrage,2016,-,"4,0","4,5",701 Critiques Spectateurs,3 nominations,"Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis. À travers ses rêves, Mitsuha se voit littéralement propulsée dans la vie du jeune garçon au point qu’elle croit vivre la réalité... Tout bascule lorsqu’elle réalise que Taki rêve également d’une vie dans les montagnes, entouré d’une famille traditionnelle… dans la peau d’une jeune fille ! Une étrange relation s’installe entre leurs deux corps qu’ils accaparent mutuellement. Quel mystère se cache derrière ces rêves étranges qui unissent deux destinées que tout oppose et qui ne se sont jamais rencontrées ?"
Parasite,05/06/2019,,132,Bong Joon Ho, The Jokers / Les Bookmakers ,"Song Kang-Ho,Woo-sik Choi,Park So-Dam",Gisaengchung,,Coréen,Long-métrage,2019,-,"4,8","4,5",36 articles de presse,10 prix et 20 nominations,"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne..."
Seven,31/01/1996,"Thriller,Drame",130,David Fincher, Metropolitan FilmExport ,"Brad Pitt,Morgan Freeman,Gwyneth Paltrow",Se7en,,Anglais,Long-métrage,1995,30 000 000 $,"3,6","4,5",5 articles de presse,3 nominations,"Pour conclure sa carrière, l'inspecteur Somerset, vieux flic blasé, tombe à sept jours de la retraite sur un criminel peu ordinaire. John Doe, c'est ainsi que se fait appeler l'assassin, a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres basés sur les sept pechés capitaux: la gourmandise, l'avarice, la paresse, l'orgueil, la luxure, l'envie et la colère."
La Vérité,02/11/1960,,127,Henri-Georges Clouzot, Les Acacias ,"Brigitte Bardot,Paul Meurisse,Charles Vanel",,"France,Italie",Français,Long-métrage,1960,-,"4,9","4,4",7 articles de presse,,"Dominique comparaît aux assises pour le meurtre de son amant, Gilbert, fiancé de sa soeur Annie. Elle doit se battre contre l'avocat, qui tente de ternir, contre son gré, la mémoire de Gilbert, et contre le procureur, qui essaie de la faire passer pour un monstre sans coeur aux yeux du jury... ."
Whiplash,24/12/2014,Musical,107,Damien Chazelle, Ad Vitam ,"Miles Teller,J.K. Simmons,Paul Reiser",,,Anglais,Long-métrage,2014,3 300 000 $,"4,1","4,4",30 articles de presse,14 prix et 16 nominations,"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. Il a pour objectif d’intégrer le fleuron des orchestres dirigé par Terence Fletcher, professeur féroce et intraitable. Lorsque celui-ci le repère enfin, Andrew se lance, sous sa direction, dans la quête de l’excellence..."
Les Temps modernes,13/03/1936,Comédie dramatique,87,Charles Chaplin, Théâtre du Temple ,"Charles Chaplin,Paulette Goddard,Henry Bergman",Modern Times,,Muet,Long-métrage,1936,1 500 000 $,"4,6","4,4",8 articles de presse,3 nominations,"Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…"
Usual Suspects,19/07/1995,Thriller,106,Bryan Singer,"
4 prix et 5 nominations
","Chazz Palminteri,Kevin Spacey,Gabriel Byrne",The Usual Suspects,"U.S.A.,Allemagne","Anglais, Français, Espagnol, Hongrois",Long-métrage,1995,6 000 000 $,"4,6","4,4",5 articles de presse,4 prix et 5 nominations,"Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…"
La Vie est belle,21/10/1998,,117,Roberto Benigni, Bac Films ,"Roberto Benigni,Horst Buchholz,Marisa Paredes",La vita e bella,,Italien,Long-métrage,1998,-,"3,7","4,4",10 articles de presse,7 prix et 10 nominations,"En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les lois raciales sont entrées en vigueur et Guido est juif. Il est alors déporté avec son fils. Par amour pour eux, Dora monte de son plein gré dans le train qui les emmène aux camps de la mort où Guido veut tout faire pour éviter l'horreur à son fils..."
Retour vers le futur,30/10/1985,"Aventure,Comédie",116,Robert Zemeckis, CIC ,"Michael J. Fox,Christopher Lloyd,Lea Thompson",Back to the Future,,Anglais,Long-métrage,1985,19 000 000 $,"3,6","4,5",5 articles de presse,1 prix et 13 nominations,"1985. Le jeune Marty McFly mène une existence anonyme auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l'expulser du lycée. Ami de l'excentrique professeur Emmett Brown, il l'accompagne un soir tester sa nouvelle expérience : le voyage dans le temps"
"Les Enfants Loups, Ame & Yuki",29/08/2012,Fantastique,117,Mamoru Hosoda, Eurozoom ,"Kumiko Aso,Megumi Hayashibara,Takuma Hiraoka",Okami kodomo no ame to yuki,,"Japonais, Français",Long-métrage,2012,-,"4,1","4,4",431 Critiques Spectateurs,3 nominations,"Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants à l'abri des regards. Ils emménagent dans un village proche d'une forêt luxuriante…"
Star Wars : Episode V - L'Empire contre-attaque,20/08/1980,Aventure,124,Irvin Kershner,"
1 prix et 7 nominations
","Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode V - The Empire Strikes Back,,Anglais,Long-métrage,1980,30 000 000 $,"5,0","4,5",5 articles de presse,1 prix et 7 nominations,"Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales. Parvenus à s'échapper, la princesse Leia, Han Solo, Chewbacca et C-3P0 se dirigent vers Bespin, la cité des nuages gouvernée par Lando Calrissian, ancien compagnon de Han. Suivant les instructions d'Obi-Wan Kenobi, Luke Skywalker se rend quant à lui vers le système de Dagobah, planète marécageuse où il doit recevoir l'enseignement du dernier maître Jedi, Yoda. Apprenant l'arrestation de ses compagnons par les"
Green Book : Sur les routes du sud,23/01/2019,Biopic,130,Peter Farrelly, Metropolitan FilmExport ,"Viggo Mortensen,Mahershala Ali,Linda Cardellini",Green Book,,Anglais,Long-métrage,2018,-,"4,0","4,5",29 articles de presse,7 prix et 12 nominations,"En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts. Durant leur périple de Manhattan jusqu’au Sud profond, ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur, où l’on ne refusera pas de servir Shirley et où il ne sera ni humilié ni maltraité."
Le Kid,06/02/1921,,52,Charles Chaplin, Théâtre du Temple ,"Charles Chaplin,Jackie Coogan,Edna Purviance",The Kid,,Muet,Long-métrage,1921,250 000 $,"4,0","4,4",4 articles de presse,,"Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent..."
Les Sentiers de la gloire,26/03/1975,Drame,88,Stanley Kubrick, Carlotta Films ,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",Paths of Glory,,Anglais,Long-métrage,1957,935 000 $,"4,6","4,4",7 articles de presse,2 nominations,"En 1916, durant la Première Guerre mondiale, le général français Broulard ordonne au général Mireau de lancer une offensive suicidaire contre une position allemande imprenable, surnommée ""La fourmilière"". Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons, épuisés, refusent d'avancer..."
"Le Parrain, 2e partie",27/08/1975,Drame,200,Francis Ford Coppola, Park Circus France ,"Kathleen Beller,Ignazio Pappalardo,Roman Coppola",The Godfather: Part II,,"Anglais, Espagnol, Italien, Latin",Long-métrage,1974,13 000 000 $,"4,7","4,5",10 articles de presse,6 prix et 12 nominations,"Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd alors le soutien d'un de ses lieutenants, Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable, soupçonnant Hyman Roth, le chef de la mafia juive."
Le Dictateur,04/04/1945,,125,Charles Chaplin, Théâtre du Temple ,"Charles Chaplin,Jack Oakie,Paulette Goddard",The Great Dictator,,Anglais,Long-métrage,1940,2 000 000 $,"5,0","4,5",15 articles de presse,6 nominations,"À son retour de la guerre de 1914-1918, un petit barbier juif a perdu la mémoire. Après des années d’hôpital, il retrouve sa boutique dans le ghetto. Mais il découvre un monde en proie à la folie. Un dictateur hystérique, Adenoïd Hynkel, son parfait sosie, sème la terreur dans le pays. Avec l’aide de sa compagne Hannah, le barbier résiste aux SS qui menacent la petite communauté. Il se retrouve acteur malgré lui de cette tragique mascarade…"
Memories of Murder,23/06/2004,"Drame,Action",130,Bong Joon Ho, The Jokers / Les Bookmakers ,"Song Kang-Ho,Kim Sang-kyung,Hie-bong Byeon",Salinui chueok,,Coréen,Long-métrage,2003,-,"4,4","4,3",20 articles de presse,4 prix et 6 nominations,"En 1986, dans la province de Gyunggi, le corps d'une jeune femme violée puis assassinée est retrouvé dans la campagne. Deux mois plus tard, d'autres crimes similaires ont lieu. Dans un pays qui n'a jamais connu de telles atrocités, la rumeur d'actes commis par un serial killer grandit de jour en jour. Une unité spéciale de la police est ainsi créée dans la région afin de trouver rapidement le coupable. Elle est placée sous les ordres d'un policier local et d'un détective spécialement envoyé de Séoul à sa demande. Devant l'absence de preuves concrètes, les deux hommes sombrent peu à peu dans le doute..."
Le Tombeau des lucioles,19/06/1996,"Drame,Guerre",90,Isao Takahata, Les Films du Paradoxe ,"J. Robert Spencer,Ayano Shiraishi,Veronica Taylor",Hotaru No Haka,,Japonais,Long-métrage,1988,-,"4,0","4,4",840 Critiques Spectateurs,2 nominations,"Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de partir avec sa petite soeur. Ils se réfugient dans un bunker désaffecté en pleine campagne et vivent des jours heureux illuminés par la présence de milliers de lucioles. Mais bientôt la nourriture commence cruellement à manquer."
Certains l'aiment chaud,09/09/1959,Romance,121,Billy Wilder, Park Circus France ,"Marilyn Monroe,Tony Curtis,Jack Lemmon",Some Like It Hot,,Anglais,Long-métrage,1959,3 500 000 $,"3,2","4,2",5 articles de presse,5 prix et 6 nominations,"Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent illico amoureux d'une ravissante et blonde créature, Alouette, qui veut épouser un milliardaire."
Requiem for a Dream,21/03/2001,,102,Darren Aronofsky, Sagittaire Films ,"Jared Leto,Ellen Burstyn,Jennifer Connelly",,,Anglais,Long-métrage,2000,4 500 000 $,"4,0","4,2",18 articles de presse,4 nominations,"Harry Goldfarb est un junkie. Il passe ses journées en compagnie de sa petite amie Marion et son copain Tyrone. Ensemble, ils s'inventent un paradis artificiel. En quête d'une vie meilleure, le trio est entraîné dans une spirale infernale qui les enfonce toujours un peu plus dans l'angoisse et le désespoir."
Brève Rencontre,20/11/1946,Romance,86,David Lean, Carlotta Films ,"Celia Johnson,Trevor Howard,Cyril Raymond",Brief Encounter,,Anglais,Long-métrage,1945,-,"4,2",,47 Critiques Spectateurs,1 prix et 12 nominations,"Dans le café-buffet de la gare de Milford, un homme et une femme se disent adieu. Troublée par l’arrivée fortuite d’une amie encombrante, Laura, la femme, fait un malaise au moment où l’homme la quitte pour prendre son train. De retour à la maison, elle passe la soirée en compagnie de son mari et imagine secrètement qu’elle lui confesse sa liaison…"
