title,boxoffice
Haute couture,92 692
Des hommes,75 111
Riders of Justice,15 441
The Housewife,10 429
Les Fantasmes,60 910
Tralala,41 732
Entre les vagues,10 080
The Good criminal,116 387
"Bruno Reidal, confession d'un meurtrier",4 760
A Perfect Enemy,2 824
Le Calendrier,27 119
Ondine,23 017
Tempura,15 217
Parents d'élèves,110 248
Sons of Philadelphia,15 334
En décalage,4 494
Les Trolls 2 - Tournée mondiale,419 574
Relic,39 142
Felicità,13 933
Louxor,3 597
La Nuit des rois,2 258
Sentinelle sud,12 440
Antebellum,85 213
Tropique de la violence,4 697
Burning Casablanca (Zanka Contact),5 444
Teddy,20 269
La Bonne épouse,171 000
A l’ombre des filles,25 250
Shorta,4 927
Peninsula,107 865
Falling,18 436
Piro Piro,6 853
L'Un des nôtres,10 884
L'Amour c’est mieux que la vie,105 611
Nitram,10 078
Seize Printemps,9 101
J’y crois encore,9 103 614
Belle-Fille,141 458
Cette musique ne joue pour personne,51 677
Drunk,114 935
Terrible Jungle,83 427
Tout Simplement Noir,255 537
La Baleine et l'escargote,40 156
J’irai mourir dans les Carpates,50 838
Tenet,948 378
The Gentlemen,238 040
The Hunt,19 864
Kung-Fu Zohra,28 119
Hokusai,52 791
Une vie démente,9 306
Nos plus belles années,21 010
La Voie de la justice,113 153
Les Croods 2 : une nouvelle ère,288 149
Le Dernier voyage,18 373
The Duke,54 622
La Pièce rapportée,26 288
Supernova,11 765
C'est quoi ce papy ?!,120 764
SOL,83 565
Passion Simple,17 414
Fuis-moi je te suis,6 917
Suis-moi je te fuis,11 537
Albatros,47 815
Josep,61 028
The King Of Staten Island,14 320
Madre,30 484
Police,84 682
Effacer l’historique,256 355
Le Sens de la famille,283 561
Joyeuse retraite !,477 116
Monster Hunter,1 125 000
Respect,63 758
Miss,113 727
La Daronne,130 560
The Green Knight,6 784 000
First Cow,26 646
La Voix d'Aida,17 087
Waves,1 283
Profession du père,25 406
On sourit pour la photo,37 740
Babysitter,8 556
Violet Evergarden - le film,2 828
Mon grand-père et moi,50 862
Rouge,35 011
De son vivant,90 106
Le Loup et le lion,199 085
Promising Young Woman,45 320
The Grudge,105 972
Eugénie Grandet,70 150
Enragé,144 754
Lui,120 111
L'Origine Du Monde,117 938
Bigfoot Family,84 767
Minari,22 413
Bad Boys For Life,651 309
C'est magnifique !,90 935
Enquête sur un scandale d'état,101 542
Trois fois rien,55 960
Les Minions 2 : Il était une fois Gru,1 360 765
"Calamity, une enfance de Martha Jane Cannary",60 051
The Power,17 761
Les Nouveaux mutants,160 373
Sonic le film,771 015
Les 2 Alfred,118 883
Nomadland,125 027
Scooby !,191 223
La Mission,2 400 000
Une femme du monde,21 018
Wonder Woman 1984,16 700 000
Le Discours,121 740
Désigné Coupable,148 446
King,228 478
Eté 85,137 684
ADN,48 077
"Les Choses qu’on dit, les choses qu’on fait",77 092
Mes très chers enfants,198 247
Adieu Monsieur Haffmann,261 930
Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini,168 930
Les Jeunes amants,152 312
Fatale,918 112
Greenland - Le dernier refuge,193 402
Zaï Zaï Zaï Zaï,47 192
Faces cachées,3 406
La Vraie famille,61 129
Rien à foutre,53 656
L'école du bout du monde,15 192
La Nuée,23 596
Les Tuche 4,852 098
Aline,595 211
Le Peuple Loup,42 627
Le Bonheur des uns...,95 111
Nightmare Island,206 429
Le Test,150 143
Médecin de nuit,41 933
Canailles,36 523
Le Grand jour du Lièvre,9 376
Le Diable n'existe pas,26 645
Mandibules,50 543
2 coeurs,565 000
Irréversible - Inversion Intégrale,2 905
The Empty Man,1 265 000
The Father,153 927
J'adore ce que vous faites,72 462
De l'autre côté du ciel,71 513
10 jours sans maman,541 102
La très très grande classe,168 103
Permis de construire,211 995
Adieu Les Cons,600 444
Invisible Man,349 741
Un vrai bonhomme,21 774
Mon Cousin,205 217
Antoinette dans les Cévennes,173 550
Le Voyage du Dr Dolittle,416 180
La Famille Asada,51 420
Limbo,3 912
À l’abordage,5 612
En avant,515 381
Birds of Prey et la fantabuleuse histoire de Harley Quinn,412 178
Boîte noire,292 081
L'Appel de la forêt,522 494
After - Chapitre 2,420 000
Bac Nord,483 381
L'Arbre à voeux,50 457
Envole-moi,54 583
Fatima,12 767
Vaurien,4 233
Bloodshot,9 176 695
The Boy : la malédiction de Brahms,95 830
Viens je t’emmène,26 493
Eiffel,408 803
Lucky Strike,34 808
Kokon,487
Slalom,16 200
Tendre Et Saignant,72 295
A Good Man,8 255
The Night,11 010
Sentimental,9 914
"Josée, le tigre et les poissons",10 060
Aristocrats,28 303
L'Esprit de famille,122 373
Possessor,227 500
Le Cas Richard Jewell,385 394
Le Braquage du siècle,5 589
Le Traducteur,2 975
Tove,2 306
Selon La Police,5 704
Filles de joie,28 192
"Chien Pourri, la vie à Paris !",15 304
"Barbie : Grande Ville, Grands Rêves",391
