title,boxoffice
Le Visiteur du futur,147 188
Le Chêne,53 196
The French Dispatch,197 450
Entre la vie et la mort,31 723
Azuro,11 228
Annette,66 761
Malignant,69 056
Le Trésor du Petit Nicolas,148 775
Le Vétéran,3 000 000
After Blue (Paradis sale),11 166
Mince alors 2 !,45 542
L'Histoire de ma femme,21 259
Les Amours d’Anaïs,28 954
Ron Débloque,137 238
My Hero Academia - World Heroes' Mission,129 395
Murder Party,41 645
Reprise en main,39 242
My Son,34 698
Un monde,15 718
Pil,117 333
Mi iubita mon amour,7 225
Le Tour du monde en 80 jours,163 520
Haut et Fort,15 126
Adieu Paris,35 841
She Will,554
Un espion ordinaire,103 555
Un héros,64 589
Trigger Point,29 262
Champagne !,1 547
Don't Breathe 2,58 266
Contes du hasard et autres fantaisies,55 324
Tromperie,41 734
Les SEGPA,228 318
Inexorable,15 001
Présidents,249 345
Space Jam - Nouvelle ère,182 763
La Revanche des Crevettes Pailletées,69 481
Belle et Sébastien : Nouvelle génération,179 709
Escape Game 2 - Le Monde est un piège,82 707
Chaos Walking,3 825 000
Snake Eyes,13 350 000
Compétition officielle,61 295
Charlotte,11 017
Spider-Man : No Way Home - Version longue,6 000 000
Compartiment N°6,42 636
Les Promesses,130 294
Une jeune fille qui va bien,68 056
Mystère à Saint-Tropez : une enquête de l'inspecteur Boulin,116 540
Les Passagers de la nuit,78 880
La Traversée,5 764
Blue Bayou,7 783
Fragile,14 212
Affamés,75 483
France,75 033
Sublime,3 463
Alors on danse,167 617
Reminiscence,99 007
Madres paralelas,221 999
Le Temps des secrets,26 744
La Fine fleur,116 388
Vortex,13 046
Godzilla vs Kong,11 600 000
Rose,41 035
The Sadness,18 013
The Chef,24 140
Gagarine,26 007
Petite Nature,33 148
American Nightmare 5 : Sans limites,173 729
Le Capitaine Volkonogov s'est échappé,12 018
On est fait pour s’entendre,158 922
Red Rocket,24 843
Ducobu Président !,295 230
355,120 131
Vaillante,302
La Brigade,145 097
Candyman,74 266
Une affaire de détails,4 705 527
Mortal Kombat,22 515 000
Les Secrets de mon père,11 978
Icare,18 155
Les Bodin's en Thaïlande,580 181
5ème Set,28 769
Mes frères et moi,45 784
Halloween Kills,128 699
Onoda - 10 000 nuits dans la jungle,14 592
La Proie d'une ombre,35 748
Les Folies fermières,64 286
Willy’s Wonderland,97 164
Barbaque,126 252
Great Freedom,10 070
Lamb,13 930
Dune,1 030 687
Ouistreham,126 975
I’m Your Man,16 932
Giulia,86
Les Grandes vacances de cowboy et indien,3 507
Mascarade,91 498
El buen patrón,57 333
Nightmare Alley,142 309
Spirale : L'Héritage de Saw,33 994
La Maison des égarées,4 640
Marcel le Coquillage (avec ses chaussures),7 514
Limbo,23 509
Une histoire d'amour et de désir,16 502
Si on chantait,118 824
Un Triomphe,143 968
Placés,49 668
Une robe pour Mrs. Harris,38 711
Sword Art Online - Progressive - Aria of a Starless Night,28 400
Julie (en 12 chapitres),67 515
Serre Moi Fort,43 695
After Yang,14 818
Oranges sanguines,17 696
Les Méchants,77 098
Black Phone,136 339
La Pat’ Patrouille - Le film,459 566
Robuste,17 245
Un autre monde,195 408
Tre Piani,65 389
Pleasure,11 214
Cry Macho,126 797
Tout s'est bien passé,100 494
Separation,1 831 000
Benedetta,106 776
Drive My Car,48 971
Les Repentis,11 537
Shang-Chi et la Légende des Dix Anneaux,481 173
Suprêmes,77 095
The Card Counter,29 051
Belle,54 238
Madeleine Collins,68 324
Les Intranquilles,53 677
Venom: Let There Be Carnage,676 090
Amants,136 003
À plein temps,100 254
Ils sont vivants,24 084
Raya et le dernier dragon,8 600 000
La Fracture,114 592
Nobody,80 440
Mad God,6 856
Jungle Cruise,284 661
Freaks Out,23 855
Cruella,379 133
S.O.S. Fantômes : L'Héritage,280 226
Black Widow,440 689
Free Guy,174 093
Le Sommet des Dieux,49 532
Les Choses humaines,89 353
Goliath,267 284
The Deep House,150 204
Super-héros malgré lui,576 138
La Traversée,189 578
Qu'est-ce qu'on a tous fait au Bon Dieu ?,874 683
Belfast,80 551
The Suicide Squad,256 516
Sans un bruit 2,228 844
Les Olympiades,81 883
Titane,88 523
OSS 117: Alerte rouge en Afrique noire,685 878
Les Eternels,775 467
Pourris gâtés,148 506
Fast & Furious 9,1 301 589
Jardins enchantés,8 127
Opération Portugal,147 706
Sundown,31 985
Conjuring 3 : sous l'emprise du diable,665 476
Old,105 841
L'Evénement,62 150
Resident Evil : Bienvenue à Raccoon City,110 288
Tous en scène 2,1 173 587
La Place d'une autre,22 520
West Side Story,177 526
Un homme en colère,149 025
En Attendant Bojangles,228 476
La Méthode Williams,90 468
Délicieux,130 477
House of Gucci,293 474
Matrix Resurrections,513 133
Un tour chez ma fille,146 389
Ninjababy,8 494
"Encanto, la fantastique famille Madrigal",526 906
Camila sortira ce soir,3 198
The Innocents,11 449
Illusions Perdues,230 106
The King's Man : Première Mission,336 793
Le Dernier duel,147 221
Last Night in Soho,51 314
Licorice Pizza,116 871
Stillwater,135 483
Rumba la vie,151 081
Spider-Man: No Way Home,2 867 515
Mourir peut attendre,1 384 858
D'Artagnan et les trois Mousquetaires,20 012
Les Meilleures,6 262
Princesse Dragon,40 755
Les Lendemains de veille,3 350
Guermantes,5 141
D'où l'on vient,27 128
Samhain,5 932
Murina,23 677
Ma nuit,1 804
Ogre - Der Fluch,16 198
"Costa Brava, Lebanon",6 597
La Famille Addams 2 : une virée d'enfer,156 133
Cher Evan Hansen,3 700
Arthur Rambo,22 203
Tom,2 313
"Ainbo, princesse d'Amazonie",109 322
Le Monde d'hier,43 740
Junk Head,6 264
Next Door,8 910
Mastemah,3 603
Bad Luck Banging or Loony Porn,6 321
La Fièvre de Petrov,8 947
La Ruche,2 197
Judas and the Black Messiah,2 000 000
Playlist,16 168
The Novice,420
Ça tourne à Saint-Pierre et Miquelon,2 177
Land,40
Les Héroïques,7 434
Le Rapport Auschwitz,6 658
Baby Boss 2 : une affaire de famille,362 162
I Comete,9 083
Twist À Bamako,47 130
Utama : La Terre Oubliée,8 948
Abuela,45 509
L'Homme de la cave,30 792
Le Roi cerf,11 756
Amel & les fauves,1 039
Cœurs vaillants,11 488
Clara Sola,8 643
Le Soleil de trop près,3 009
Bloody Milkshake,10 853
L'Été l’éternité,991
Ceux qui veulent ma mort,2 800 000
Bergman Island,31 781
Tom et Jerry,87 570
Petite maman,29 219
The Cursed,1 721 708
La chance sourit à madame Nikuko,15 105
Le Monde après nous,11 831
Valentina,5 740
Pig,10 015
Une mère,9 062
Où est Anne Frank !,14 543
Les Sorcières d'Akelarre,20 879
Clifford,163 178
"Varsovie 83, une affaire d'État",13 976
Hitman & Bodyguard 2,214 788
Many Saints Of Newark - Une histoire des Soprano,12 136
Le Piège de Huda,3 389
Voyagers,133
Flag Day,36 741
Juste sous vos yeux,7 264
Ma famille afghane,11 763
Cyrano,2 350
La Croisade,12 567
Dédales,8 937
Compagnons,54 164
Olga,11 221
Neptune Frost,415
Hit The Road,25 480
Evolution,6 943
