title,boxoffice
Nos âmes d'enfants,20 705
Ice Road,57 091
Les Gagnants,35 199
Il buco,5 839
Le Médecin imaginaire,72 100
Piggy,208
Spirit : l'indomptable,118 045
Le Tigre qui s'invita pour le thé,20 803
La Chapelle du Diable,19 511
Plumes,5 471
Detective Conan - The Scarlet Bullet,13 102
Zahorí,813
Le grand mouvement,2 836
Memento Mori,495
Natural Light,1 901
Saloum,988
Entre ciel et terre,1 804
Tom Medina,12 011
Années 20,672
The Djinn,50 312
Coeur errant,816
Medusa,1 316
Même les souris vont au paradis,2 867
Le Chemin du bonheur,6 341
Rêve,273
Memory Box,10 607
La Mif,1 709
All Eyes Off Me,2 553
Anima Bella,1 795
Suzanna Andler,9 052
L'Enfant,1 447
La Colline où rugissent les lionnes,4 342
"Lingui, les liens sacrés",5 606
L'Été nucléaire,937
L'Horizon,2 664
Pierre Lapin 2,482 349
A Journal for Jordan,1 175 000
Libertad,7 245
A Chiara,14 821
L'Homme de Dieu,1 515
Les Voisins de mes voisins sont mes voisins,3 565
Bonne mère,13 256
Tokyo Shaking,24 348
America Latina,4 183
Amants super-héroïques,5 141
Ariaferma,5 159
Wild Men,5 004
Aya,2 019
La Jeune Fille et l'Araignée,1 008
The House Next Door: Meet the Blacks 2,1 011 756
La Nuit aux amants,1 084
Lucie perd son cheval,596
Super Z,59
La Femme du fossoyeur,842
Les Promesses d’Hasan,5 671
Le Roi du monde,1 140
Nudo mixteco : trois destins de femmes,69
To Kill the Beast,593
Ce qui reste,1 724
Anatomy of Time,250
Employé / patron,5 472
L'Esprit sacré,774
Jeunesse en sursis,314
Down In Paris,334
12 Mighty Orphans,251 569
Introduction,3 830
Hero Mode,11 843
The Beta Test,4 057
Face à la mer,1 136
Les Poings desserrés,11 271
Le Pied nickelé,17
La Cure,28
L'Instant présent,200
Censor,34 299
Van Gogh In Love,82
La Dernière nuit de Lise Broholm,4 306
Boogie,1 200 000
Pas pareil... et pourtant !,165
107 Mothers,584
Ali & Ava,10 476
Sans Toi,68
Piccolo corpo,374
Azor,523
Le Genou d’Ahed,14 835
Poet,1 350
Despedida,47
Spiral,38
Sous le ciel de Koutaïssi,1 914
Le Prince,3 019
La Légende du roi crabe,4 325
Seule la joie,1 394
Estación catorce,127
Carte Blanche,7
Les Affluents,1 186
Hikikomori,81
Doctor,4 124
Pas... de quartier,330
Jakob’s Wife,27 588
Jesús López,474
Ce ne sera pas notre dernier Noël,917
Un monde pour Julius,423
Les Femmes du pavillon J,176
Journal de Tûoa,2 687
Women Do Cry,3 705
Anatolia,926
Luzzu,50
Belladones,49
Cérémonie secrète,17
La Fraude,57
In The Earth,-1
No Man’s Land,58 969
American Underdog,6 200 000
Spiral,4 550 000
Senior Moment,16 543
Last Call,29 610
Indiana Jones et le Cadran de la Destinée,1 089 875
Une nuit,58 679
The Flash,388 700
Il Boemo,34 803
Insidious: The Red Door,306 107
Farang,79 426
À contretemps,28 720
Miraculous - le film,660 421
Mission: Impossible – Dead Reckoning Partie 1,930 141
Spider-Man : Across The Spider-Verse,550 808
Élémentaire,426 818
Asteroid City,117 498
Vers un avenir radieux,91 786
