titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,recompenses,description,film_id_allocine
Ne pas avaler,1997-11-05,Drame,119,Gary Oldman,Mission,"Ray Winstone,Kathy Burke,Charlie Creed-Miles",Grande-Bretagne,Anglais,Long-métrage,1997,,"L'histoire d'une famille ordinaire qui vit dans le sud de Londres. Film autobiographique, ""je l'ai voulu honnete, vrai, sans concessions, declare le realisateur, comme l'album-photo de tous ceux qui m'ont touche et trouble dans ma vie"" Gary Oldman.",12120
Bholaa Shankar,2023-08-11,Action_Drame,150,Meher Ramesh,Friday Entertainment," Chiranjeevi,Tamannaah Bhatia,Vennela Kishore",Inde,Autre,Long-métrage,2023,,Bhola Shankar est un ancien gangster qui arrive à Kolkata avec sa sœur adoptive Radha pour son éducation et également pour une mission personnelle de traquer un réseau criminel responsable de la mort de la famille de Radha.,317869
Metallica M72 World Tour Live from TX #2,2023-08-21,Concert,165,Gene McAuliffe,Pathé Live,,U.S.A.,Anglais,Evénement spécial,2023,,"Le M72 World Tour de Metallica débarque sur grand écran pour la seconde des deux soirées diffusées en direct d’Arlington, au Texas, dans les cinémas du monde entier.",316604
La Bête Dans La Jungle,2023-08-16,Drame,103,Patric Chiha,Les Films du Losange,"Anaïs Demoustier,Tom Mercier,Béatrice Dalle",France,Français,Long-métrage,2023,,"Pendant 25 ans, dans une immense boîte de nuit, un homme et une femme guettent ensemble un événement mystérieux. De 1979 à 2004, l’histoire du disco à la techno, l’histoire d’un amour, l’histoire d’une obsession. La "" chose "" finalement se manifestera, mais sous une forme autrement plus tragique que prévu.",280227
Ninja Turtles: Teenage Years,2023-08-09,Action_Animation_Aventure,99,Jeff Rowe,Paramount Pictures France,"Aloïs Agaësse-Mahieu,Micah Abbey,Kylian Trouillard",U.S.A.,Anglais,Long-métrage,2023,,"Après des années passées loin du monde des humains, les frères Tortues entreprennent de gagner le cœur des New-Yorkais et d'être acceptés comme des adolescents normaux grâce à des actes héroïques. Leur nouvelle amie April O'Neil les aide à s'attaquer à un mystérieux syndicat du crime mais ils se retrouvent dépassés par les événements lorsqu'une armée de mutants se déploie contre eux.",284995
La Voie Royale,2023-08-09,Drame,107,Frédéric Mermoud,Pyramide Distribution,"Suzanne Jouannet,Marie Colomb,Maud Wyler",France,Français,Long-métrage,2023,,"Sophie est une lycéenne brillante. Encouragée par son professeur de mathématiques, elle quitte la ferme familiale pour suivre une classe préparatoire scientifique. Au fil de rencontres, de succès et d’échecs, face à une compétition acharnée, Sophie réalise que son rêve, intégrer Polytechnique, représente plus qu’un concours... un vrai défi d’ascension sociale.",295616
Kasaba,2023-08-16,Drame,82,Nuri Bilge Ceylan,Memento Distribution,"Mehmet Emin Toprak,Emin Ceylan,Havva Saglam",Turquie,Turc,Long-métrage,1997,,"Turquie, un petit village dans les années 70. Au fil des saisons deux enfants se frottent au monde adulte à sa complexité et à sa cruauté... Le premier long métrage, inédit en salles, du réalisateur de Winter Sleep, Palme d'Or, Festival de Cannes 2014.",21382
Metallica M72 World Tour - Concert #1,2023-08-19,Concert,165,Gene McAuliffe,Pathé Live,,U.S.A.,Anglais,Evénement spécial,2023,,,315241
L'Expérience Almodóvar,2023-08-16,Drame_Western,61,Pedro Almodóvar,Pathé,"Tilda Swinton,Ethan Hawke,Pedro Pascal",Espagne,Anglais,Moyen-métrage,2023,,Deux moyens-métrages de Pedro Almodovar : La Voix humaine et Strange Way of Life.,317465
Quand les vagues se retirent,2023-08-16,Drame_Thriller,187,Lav Diaz,Epicentre Films,"John Lloyd Cruz,Ronnie Lazaro,Don Melvin Boongaling",Philippines,Filipino,Long-métrage,2022,,"Le lieutenant Hermes Papauran, l’un des meilleurs enquêteurs des Philippines, se trouve dans un profond dilemme moral. En tant que membre des forces de l’ordre, il est le témoin privilégié de la campagne meurtrière anti-drogue que son institution mène avec dévouement. Les atrocités corrodent Hermes physiquement et spirituellement, lui causant une grave maladie de peau qui résulte de l’anxiété et de la culpabilité. Pour guérir, il devra affronter ses propres démons.",255377
